training_arm,method,model_seed,epoch,learning_rate,train_total_loss,validation_field_cluster_rel_l2
m4_counterfactual,pooled_static,20261401,1,0.001,0.0021370547663536856,0.249154416564852
m4_counterfactual,pooled_static,20261401,2,0.0009957224306869053,0.002088529484171886,0.24779387153685092
m4_counterfactual,pooled_static,20261401,3,0.0009829629131445341,0.002066965968697332,0.2464721181895584
m4_counterfactual,pooled_static,20261401,4,0.0009619397662556433,0.002038170585728949,0.24335504537448288
m4_counterfactual,pooled_static,20261401,5,0.0009330127018922194,0.001994976735295495,0.24059698251076042
m4_counterfactual,pooled_static,20261401,6,0.0008966766701456175,0.001964835965191014,0.23979455297812818
m4_counterfactual,pooled_static,20261401,7,0.0008535533905932737,0.0019446820784651208,0.23802892183884977
m4_counterfactual,pooled_static,20261401,8,0.0008043807145043603,0.0019221761147491633,0.23725128397345543
m4_counterfactual,pooled_static,20261401,9,0.00075,0.0019142162724165245,0.23524730545468628
m4_counterfactual,pooled_static,20261401,10,0.000691341716182545,0.0019067307075602002,0.23482822650112212
m4_counterfactual,pooled_static,20261401,11,0.0006294095225512604,0.001903953454893781,0.2344914405141026
m4_counterfactual,pooled_static,20261401,12,0.000565263096110026,0.0018967970463563688,0.23423177460208536
m4_counterfactual,pooled_static,20261401,13,0.0005,0.0018943227056297473,0.2344437104649842
m4_counterfactual,pooled_static,20261401,14,0.00043473690388997423,0.0018933541683509247,0.2340964090079069
m4_counterfactual,pooled_static,20261401,15,0.0003705904774487397,0.001891330225771526,0.23342274259775878
m4_counterfactual,pooled_static,20261401,16,0.0003086582838174552,0.001889153802767396,0.2342178822029382
m4_counterfactual,pooled_static,20261401,17,0.0002500000000000001,0.001887370510667097,0.23352593942545355
m4_counterfactual,pooled_static,20261401,18,0.00019561928549563967,0.0018861188829760068,0.23323263246566056
m4_counterfactual,pooled_static,20261401,19,0.00014644660940672628,0.001884407668694621,0.23338500098325313
m4_counterfactual,pooled_static,20261401,20,0.00010332332985438248,0.0018827498279279098,0.2331944582052529
m4_counterfactual,pooled_static,20261401,21,6.698729810778065e-05,0.001882482895598514,0.23333691158331932
m4_counterfactual,pooled_static,20261401,22,3.806023374435663e-05,0.0018829638276656624,0.23341540447436274
m4_counterfactual,pooled_static,20261401,23,1.70370868554659e-05,0.001882142869362724,0.23316130083985626
