training_arm,source_split,candidate,comparator,independent_field_count,model_seed_count,mean_field_gain_pct,field_cluster_ci95_low_pct,field_cluster_ci95_high_pct,median_field_gain_pct,p10_field_gain_pct,harm_rate_gt_1pct,positive_seed_count,seed_mean_gains_pct
m4_counterfactual,test_family_ood,correct_ray_set,locked_fno,32,3,0.705527913400918,0.36748987357601276,1.06233672189084,0.49096080964408495,-0.49171619813147577,0.0625,3,0.81436676;0.23747419;1.06474280
m4_counterfactual,test_family_ood,correct_ray_set,pooled_static,32,3,-1.0409179423223986,-1.180089002004501,-0.9028824496986486,-1.0575457007707678,-1.5773074289683802,0.5208333333333334,0,-0.03168378;-1.93170402;-1.15936603
m4_counterfactual,test_family_ood,correct_ray_set,geometry_only,32,3,-0.8237412381089568,-0.9525332662254885,-0.697434331855452,-0.7457617797057342,-1.4012999891069253,0.4375,1,-0.74933352;-2.30907344;0.58718324
m4_counterfactual,test_family_ood,correct_ray_set,shuffled_pairing,32,3,-0.2630233366888398,-0.40815286296938447,-0.12012221588191554,-0.3257007548146213,-0.6747453236606459,0.1875,2,0.13728297;-0.95640985;0.03005687
m4_counterfactual,test_iid,correct_ray_set,locked_fno,32,3,8.153770887762406,5.655985533933511,10.911921899639921,5.227249670813668,1.8567191376620154,0.041666666666666664,3,9.08249601;7.48355663;7.89526002
m4_counterfactual,test_iid,correct_ray_set,pooled_static,32,3,0.7678560864770345,-0.09833841180185396,1.5562494902982218,0.7813324128499873,-0.8441510256885376,0.1875,2,0.96720049;2.12592714;-0.78955938
m4_counterfactual,test_iid,correct_ray_set,geometry_only,32,3,1.092720863254816,0.05132313914865352,2.024594492625261,1.3512512462198765,-1.738796281440022,0.14583333333333334,3,1.00035358;1.09930840;1.17850062
m4_counterfactual,test_iid,correct_ray_set,shuffled_pairing,32,3,0.17684581869366361,-0.11636361351746227,0.4564590462679858,0.2578265173601493,-0.6664679327863907,0.10416666666666667,2,0.56164085;-0.87986714;0.84876375
m4_counterfactual,test_joint_ood,correct_ray_set,locked_fno,32,3,0.8920503801131527,0.5422514159779895,1.2432675462571963,1.0624819767305758,-0.24890845017365967,0.0625,3,1.23509433;0.33524247;1.10581434
m4_counterfactual,test_joint_ood,correct_ray_set,pooled_static,32,3,-1.098675670849392,-1.2745480570374892,-0.9258304081390452,-1.0846786112392515,-1.667312198466564,0.53125,1,0.01252150;-1.83194867;-1.47659984
m4_counterfactual,test_joint_ood,correct_ray_set,geometry_only,32,3,-0.949793098371462,-1.113204209863613,-0.7966155527058377,-0.9487675876015149,-1.653853175061199,0.4895833333333333,1,-0.81459946;-2.39350089;0.35872105
m4_counterfactual,test_joint_ood,correct_ray_set,shuffled_pairing,32,3,-0.2866700651476606,-0.39878413557658393,-0.17374721598835635,-0.3586055286281741,-0.6561792385338453,0.19791666666666666,2,0.15792268;-1.03777104;0.01983816
m4_counterfactual,test_noise_ood,correct_ray_set,locked_fno,32,3,8.684447728411662,6.054997367789612,11.677550116755842,4.711758830771018,2.2731057657452545,0.020833333333333332,3,10.31356390;8.12046817;7.61931111
m4_counterfactual,test_noise_ood,correct_ray_set,pooled_static,32,3,0.3196609208653157,-0.3554619653354616,1.0184571906614415,0.47939684875297334,-1.7895889741764701,0.3229166666666667,2,0.88063977;3.03636535;-2.95802236
m4_counterfactual,test_noise_ood,correct_ray_set,geometry_only,32,3,0.5096414706393899,-0.2795747760818868,1.2443714874358425,1.0117297260539968,-2.5388025016207076,0.1875,2,0.75371976;1.66856962;-0.89336497
m4_counterfactual,test_noise_ood,correct_ray_set,shuffled_pairing,32,3,0.07502077060802216,-0.149510719598145,0.30627540996240354,-0.002825028308743917,-0.5963971522256353,0.14583333333333334,2,0.56674403;-0.78974847;0.44806675
m4_counterfactual,val,correct_ray_set,locked_fno,40,3,10.92918088958707,8.111406167441407,13.895187553781806,5.539261741656626,2.6824019599771813,0.0,3,11.56748382;10.95052884;10.26953001
m4_counterfactual,val,correct_ray_set,pooled_static,40,3,0.6993523817509142,0.0543664090668779,1.3247832997133857,0.5418417449436406,-0.9389028960326329,0.2916666666666667,2,0.47173805;3.86552494;-2.23920584
m4_counterfactual,val,correct_ray_set,geometry_only,40,3,1.4444993540718314,0.5148918039884368,2.380127243568028,0.9120064217406446,-1.768597503625315,0.16666666666666666,3,0.82853689;2.61251715;0.89244402
m4_counterfactual,val,correct_ray_set,shuffled_pairing,40,3,-0.19670520492137833,-0.40227978009787463,-0.007469783033276259,-0.17335896244864774,-0.6930674181463381,0.125,2,0.01982107;-0.76862658;0.15868989
