training_arm,method,model_seed,epoch,learning_rate,train_total_loss,validation_field_cluster_rel_l2
m1_repeat,static,20261401,1,0.001,0.0021589426272839774,0.2519778583664447
m1_repeat,static,20261401,2,0.0009957224306869053,0.0020900953146337996,0.24861326958052815
m1_repeat,static,20261401,3,0.0009829629131445341,0.0020806652704777663,0.24858334218151867
m1_repeat,static,20261401,4,0.0009619397662556433,0.00207881708338391,0.24857251411303877
m1_repeat,static,20261401,5,0.0009330127018922194,0.0020776708821358624,0.24832904804497957
m1_repeat,static,20261401,6,0.0008966766701456175,0.002074747096048668,0.24843100258149206
m1_repeat,static,20261401,7,0.0008535533905932737,0.0020737763930810615,0.24834051802754403
m1_repeat,static,20261401,8,0.0008043807145043603,0.0020743705637869423,0.2485784526448697
m1_repeat,static,20261401,9,0.00075,0.002073770408605924,0.24857066008262335
m1_repeat,static,20261401,10,0.000691341716182545,0.0020705614588223398,0.24805842372588813
m1_repeat,static,20261401,11,0.0006294095225512604,0.0020715371541882633,0.24824578170664607
m1_repeat,static,20261401,12,0.000565263096110026,0.0020672189450124277,0.2480504870880395
m1_repeat,static,20261401,13,0.0005,0.0020634359381801913,0.24776892429217695
m1_repeat,static,20261401,14,0.00043473690388997423,0.0020615062545402906,0.24754299060441554
m1_repeat,static,20261401,15,0.0003705904774487397,0.0020599067967850713,0.24761940618045628
m1_repeat,static,20261401,16,0.0003086582838174552,0.002057313879777212,0.24722684351727367
m1_repeat,static,20261401,17,0.0002500000000000001,0.0020532802998786794,0.24715208127163352
m1_repeat,static,20261401,18,0.00019561928549563967,0.002050895911816042,0.2468556495849043
m1_repeat,static,20261401,19,0.00014644660940672628,0.0020490886199695524,0.24689127928577365
m1_repeat,static,20261401,20,0.00010332332985438248,0.002046354666526895,0.24668582575395703
m1_repeat,static,20261401,21,6.698729810778065e-05,0.002046254408196546,0.2466706550680101
m1_repeat,static,20261401,22,3.806023374435663e-05,0.0020456983700569255,0.2467134132515639
m1_repeat,static,20261401,23,1.70370868554659e-05,0.002044986881810473,0.24670063159428537
m1_repeat,static,20261401,24,4.277569313094809e-06,0.00204453721162281,0.24669555174186825
m1_repeat,k_cardinality,20261401,1,0.001,0.002158937758213142,0.25197659973055125
m1_repeat,k_cardinality,20261401,2,0.0009957224306869053,0.0020900908137264198,0.24861233620904385
m1_repeat,k_cardinality,20261401,3,0.0009829629131445341,0.002080665215908084,0.24858220745809376
m1_repeat,k_cardinality,20261401,4,0.0009619397662556433,0.0020788206144061404,0.2485717966221273
m1_repeat,k_cardinality,20261401,5,0.0009330127018922194,0.0020776628058229107,0.24832757879048586
m1_repeat,k_cardinality,20261401,6,0.0008966766701456175,0.0020747389789903536,0.24842905160039663
m1_repeat,k_cardinality,20261401,7,0.0008535533905932737,0.002073764226224739,0.24833885645493864
m1_repeat,k_cardinality,20261401,8,0.0008043807145043603,0.002074346902372781,0.24858019687235355
m1_repeat,k_cardinality,20261401,9,0.00075,0.002073727778042667,0.2485663996078074
m1_repeat,k_cardinality,20261401,10,0.000691341716182545,0.0020705124123196585,0.24805372836999595
m1_repeat,k_cardinality,20261401,11,0.0006294095225512604,0.002071475490811281,0.24824328389950095
m1_repeat,k_cardinality,20261401,12,0.000565263096110026,0.002067120205902029,0.2480421948712319
m1_repeat,k_cardinality,20261401,13,0.0005,0.002063270782673499,0.24775672066025436
m1_repeat,k_cardinality,20261401,14,0.00043473690388997423,0.0020612613887351474,0.24752446222119034
m1_repeat,k_cardinality,20261401,15,0.0003705904774487397,0.0020595877707819455,0.247595600085333
m1_repeat,k_cardinality,20261401,16,0.0003086582838174552,0.002056883832119638,0.24719309541396797
m1_repeat,k_cardinality,20261401,17,0.0002500000000000001,0.0020527583081275226,0.24711533980444073
m1_repeat,k_cardinality,20261401,18,0.00019561928549563967,0.0020502994746493643,0.24681501388549804
m1_repeat,k_cardinality,20261401,19,0.00014644660940672628,0.002048445778927999,0.24684570832177996
m1_repeat,k_cardinality,20261401,20,0.00010332332985438248,0.002045710566744674,0.24664135011844338
m1_repeat,k_cardinality,20261401,21,6.698729810778065e-05,0.002045584484585561,0.24662513602524996
m1_repeat,k_cardinality,20261401,22,3.806023374435663e-05,0.0020450294628972187,0.2466695573180914
m1_repeat,k_cardinality,20261401,23,1.70370868554659e-05,0.002044311954523437,0.2466561349108815
m1_repeat,k_cardinality,20261401,24,4.277569313094809e-06,0.0020438626932445915,0.2466509561985731
m1_repeat,shuffled_geometry,20261401,1,0.001,0.0021589146308542695,0.25197023442015054
m1_repeat,shuffled_geometry,20261401,2,0.0009957224306869053,0.002089996434369823,0.24860328421927988
m1_repeat,shuffled_geometry,20261401,3,0.0009829629131445341,0.0020804652602237185,0.2485657822806388
m1_repeat,shuffled_geometry,20261401,4,0.0009619397662556433,0.0020786047090950886,0.24855278856121005
m1_repeat,shuffled_geometry,20261401,5,0.0009330127018922194,0.00207731375558069,0.24829619512893258
m1_repeat,shuffled_geometry,20261401,6,0.0008966766701456175,0.0020743404238601215,0.24840231793932616
m1_repeat,shuffled_geometry,20261401,7,0.0008535533905932737,0.002073321661009686,0.2483122352976352
m1_repeat,shuffled_geometry,20261401,8,0.0008043807145043603,0.002073606284102425,0.24860094143077732
m1_repeat,shuffled_geometry,20261401,9,0.00075,0.002072790628881194,0.24849535659886896
m1_repeat,shuffled_geometry,20261401,10,0.000691341716182545,0.0020695965431514196,0.24800417493097485
m1_repeat,shuffled_geometry,20261401,11,0.0006294095225512604,0.002070479076792253,0.24823206537403167
m1_repeat,shuffled_geometry,20261401,12,0.000565263096110026,0.0020659303256252313,0.24797616843134165
m1_repeat,shuffled_geometry,20261401,13,0.0005,0.0020615513880329673,0.24767771097831429
m1_repeat,shuffled_geometry,20261401,14,0.00043473690388997423,0.0020590417479979806,0.24739865702576935
m1_repeat,shuffled_geometry,20261401,15,0.0003705904774487397,0.002057176110247383,0.24747878252528607
m1_repeat,shuffled_geometry,20261401,16,0.0003086582838174552,0.002053886251087533,0.24701874791644512
m1_repeat,shuffled_geometry,20261401,17,0.0002500000000000001,0.0020492410505539736,0.24691933901049196
m1_repeat,shuffled_geometry,20261401,18,0.00019561928549563967,0.0020463919470785187,0.24660075390711428
m1_repeat,shuffled_geometry,20261401,19,0.00014644660940672628,0.0020441459833818953,0.2466139645781368
m1_repeat,shuffled_geometry,20261401,20,0.00010332332985438248,0.002041389272926608,0.24639891558326782
m1_repeat,shuffled_geometry,20261401,21,6.698729810778065e-05,0.0020411534096638206,0.246373667800799
m1_repeat,shuffled_geometry,20261401,22,3.806023374435663e-05,0.0020405508308613206,0.24643898559734226
m1_repeat,shuffled_geometry,20261401,23,1.70370868554659e-05,0.002039734624850098,0.24642076389864087
m1_repeat,shuffled_geometry,20261401,24,4.277569313094809e-06,0.0020393002429045736,0.24641397944651544
m1_repeat,correct_geometry,20261401,1,0.001,0.0021589247095107566,0.25197161473333834
m1_repeat,correct_geometry,20261401,2,0.0009957224306869053,0.0020900217612506823,0.2486020397860557
m1_repeat,correct_geometry,20261401,3,0.0009829629131445341,0.0020804856678296344,0.24856732739135623
m1_repeat,correct_geometry,20261401,4,0.0009619397662556433,0.0020786043176485693,0.2485628035850823
m1_repeat,correct_geometry,20261401,5,0.0009330127018922194,0.0020773193129571153,0.2483060998376459
m1_repeat,correct_geometry,20261401,6,0.0008966766701456175,0.0020743592838698534,0.2484107234980911
m1_repeat,correct_geometry,20261401,7,0.0008535533905932737,0.0020733343189931475,0.2483184828888625
m1_repeat,correct_geometry,20261401,8,0.0008043807145043603,0.002073628589278087,0.24859933829866349
m1_repeat,correct_geometry,20261401,9,0.00075,0.0020728295668959616,0.24849544889293612
m1_repeat,correct_geometry,20261401,10,0.000691341716182545,0.0020695924002211543,0.24801477938890457
m1_repeat,correct_geometry,20261401,11,0.0006294095225512604,0.0020705939619801938,0.24821362341754138
m1_repeat,correct_geometry,20261401,12,0.000565263096110026,0.002065964568464551,0.2479838856961578
m1_repeat,correct_geometry,20261401,13,0.0005,0.0020616863170289435,0.2476993550080806
m1_repeat,correct_geometry,20261401,14,0.00043473690388997423,0.002059253873449052,0.24744869833812116
m1_repeat,correct_geometry,20261401,15,0.0003705904774487397,0.0020572759916831274,0.24749882416799665
m1_repeat,correct_geometry,20261401,16,0.0003086582838174552,0.002053986348619219,0.24706546161323786
m1_repeat,correct_geometry,20261401,17,0.0002500000000000001,0.0020493392345088068,0.24696462843567132
m1_repeat,correct_geometry,20261401,18,0.00019561928549563967,0.0020463634486077354,0.24666835460811853
m1_repeat,correct_geometry,20261401,19,0.00014644660940672628,0.002044031176046701,0.24664901657961308
m1_repeat,correct_geometry,20261401,20,0.00010332332985438248,0.002041210306197172,0.24644953585229815
m1_repeat,correct_geometry,20261401,21,6.698729810778065e-05,0.0020409414762980306,0.24642250603064894
m1_repeat,correct_geometry,20261401,22,3.806023374435663e-05,0.002040290718286997,0.24647503248415886
m1_repeat,correct_geometry,20261401,23,1.70370868554659e-05,0.0020394150509673637,0.24645592616870998
m1_repeat,correct_geometry,20261401,24,4.277569313094809e-06,0.002038971758884145,0.2464495873078704
m1_repeat,static,20261402,1,0.001,0.0021317086830094922,0.24989577839151025
m1_repeat,static,20261402,2,0.0009957224306869053,0.0020913434724207035,0.2488980851136148
m1_repeat,static,20261402,3,0.0009829629131445341,0.0020844451733864843,0.24838577215559782
m1_repeat,static,20261402,4,0.0009619397662556433,0.002084438056044746,0.24844615068286657
m1_repeat,static,20261402,5,0.0009330127018922194,0.002080610602570232,0.2483339212369174
m1_repeat,static,20261402,6,0.0008966766701456175,0.0020786815774044955,0.24900421854108573
m1_repeat,static,20261402,7,0.0008535533905932737,0.002079589014465455,0.24818803211674095
m1_repeat,static,20261402,8,0.0008043807145043603,0.0020788979425560685,0.2484940540511161
m1_repeat,static,20261402,9,0.00075,0.0020776061690412463,0.24825525437481702
m1_repeat,static,20261402,10,0.000691341716182545,0.0020765370129083747,0.24835583628155292
m1_repeat,static,20261402,11,0.0006294095225512604,0.002075107514974661,0.24807939953170716
m1_repeat,static,20261402,12,0.000565263096110026,0.0020766689274751117,0.24839890701696277
m1_repeat,static,20261402,13,0.0005,0.0020734637284476774,0.2480066389311105
m1_repeat,static,20261402,14,0.00043473690388997423,0.00207323209833703,0.2479556357488036
m1_repeat,static,20261402,15,0.0003705904774487397,0.002071114672435215,0.24815444345586002
m1_repeat,static,20261402,16,0.0003086582838174552,0.002071092944970587,0.2482471127063036
m1_repeat,static,20261402,17,0.0002500000000000001,0.0020700645531178453,0.24795547714456917
m1_repeat,static,20261402,18,0.00019561928549563967,0.002068886168854078,0.2478991967625916
m1_repeat,static,20261402,19,0.00014644660940672628,0.0020681870606495067,0.24788952455855906
m1_repeat,static,20261402,20,0.00010332332985438248,0.0020686013871454635,0.2478829544968903
m1_repeat,static,20261402,21,6.698729810778065e-05,0.0020696518397016915,0.24788745804689824
m1_repeat,static,20261402,22,3.806023374435663e-05,0.002068402101576794,0.24782888046465815
m1_repeat,static,20261402,23,1.70370868554659e-05,0.0020676229032687843,0.2478365554474294
m1_repeat,static,20261402,24,4.277569313094809e-06,0.0020678605229477397,0.24783754674717784
m1_repeat,k_cardinality,20261402,1,0.001,0.0021316981816198676,0.2498940160498023
m1_repeat,k_cardinality,20261402,2,0.0009957224306869053,0.0020913276603096165,0.24889821633696557
m1_repeat,k_cardinality,20261402,3,0.0009829629131445341,0.002084443601052044,0.2483861078042537
