training_arm,model_seed,pair_index,source_index,geometry_id,wrong_geometry_id,embedding_swap_l2,modulation_swap_l2,correction_swap_relative_pct,correct_descriptor_field_rel_l2,wrong_descriptor_field_rel_l2,correct_descriptor_field_gain_pct
m1_repeat,20261401,0,180,g_011010111,g_101011110,0.2432307004928589,0.16147899627685547,10.058210372924805,0.39938288927078247,0.39986535906791687,0.12065806239843369
m1_repeat,20261401,1,180,g_101011110,g_111001110,0.3617044985294342,0.2812418043613434,17.015945434570312,0.32910972833633423,0.328440397977829,-0.20379051566123962
m1_repeat,20261401,2,180,g_111001110,g_111010110,0.019061526283621788,0.012921925634145737,0.421352744102478,0.5339397192001343,0.5339252948760986,-0.0027015621308237314
m1_repeat,20261401,3,180,g_111010110,g_011010111,0.13448336720466614,0.12887579202651978,9.143431663513184,0.4026672840118408,0.40299779176712036,0.08201229572296143
m1_repeat,20261401,4,171,g_011010111,g_101011110,0.2432307004928589,0.16147899627685547,10.021005630493164,0.37810760736465454,0.3787747919559479,0.17614281177520752
m1_repeat,20261401,5,171,g_101011110,g_111001110,0.3617044985294342,0.2812418043613434,15.897005081176758,0.21401390433311462,0.21246689558029175,-0.7281175255775452
m1_repeat,20261401,6,171,g_111001110,g_111010110,0.019061526283621788,0.012921925634145737,0.34665387868881226,0.3161226809024811,0.3160726726055145,-0.015821771696209908
m1_repeat,20261401,7,171,g_111010110,g_011010111,0.13448336720466614,0.12887579202651978,9.145303726196289,0.38262322545051575,0.38320741057395935,0.1524461954832077
m1_repeat,20261401,8,160,g_011010111,g_101011110,0.2432307004928589,0.16147899627685547,3.7676873207092285,0.20220081508159637,0.20092971622943878,-0.6326087117195129
m1_repeat,20261401,9,160,g_101011110,g_111001110,0.3617044985294342,0.2812418043613434,6.409991264343262,0.17231012880802155,0.17414450645446777,1.0533652305603027
m1_repeat,20261401,10,160,g_111001110,g_111010110,0.019061526283621788,0.012921925634145737,0.1753198504447937,0.17323993146419525,0.17327353358268738,0.019392527639865875
m1_repeat,20261401,11,160,g_111010110,g_011010111,0.13448336720466614,0.12887579202651978,3.532108783721924,0.17771600186824799,0.17664453387260437,-0.6065673232078552
m1_repeat,20261401,12,196,g_011010111,g_101011110,0.2432307004928589,0.16147899627685547,7.880669593811035,0.19052943587303162,0.1884370595216751,-1.1103847026824951
m1_repeat,20261401,13,196,g_101011110,g_111001110,0.3617044985294342,0.2812418043613434,13.223156929016113,0.1537695825099945,0.15747001767158508,2.3499300479888916
m1_repeat,20261401,14,196,g_111001110,g_111010110,0.019061526283621788,0.012921925634145737,0.3194150924682617,0.20150388777256012,0.20154793560504913,0.021854767575860023
m1_repeat,20261401,15,196,g_111010110,g_011010111,0.13448336720466614,0.12887579202651978,7.176555633544922,0.176040381193161,0.17431555688381195,-0.9894838929176331
m1_repeat,20261401,16,174,g_011010111,g_101011110,0.2432307004928589,0.16147899627685547,7.720828056335449,0.15949709713459015,0.15905071794986725,-0.28065210580825806
m1_repeat,20261401,17,174,g_101011110,g_111001110,0.3617044985294342,0.2812418043613434,12.777159690856934,0.117613784968853,0.11824417114257812,0.5331224203109741
m1_repeat,20261401,18,174,g_111001110,g_111010110,0.019061526283621788,0.012921925634145737,0.2803221344947815,0.17454756796360016,0.17455750703811646,0.005693868268281221
m1_repeat,20261401,19,174,g_111010110,g_011010111,0.13448336720466614,0.12887579202651978,6.686527729034424,0.14028778672218323,0.14001430571079254,-0.1953236162662506
m1_repeat,20261401,20,178,g_011010111,g_101011110,0.2432307004928589,0.16147899627685547,7.563022136688232,0.2386551797389984,0.23965585231781006,0.4175456464290619
m1_repeat,20261401,21,178,g_101011110,g_111001110,0.3617044985294342,0.2812418043613434,13.052136421203613,0.16968265175819397,0.168180450797081,-0.893207848072052
m1_repeat,20261401,22,178,g_111001110,g_111010110,0.019061526283621788,0.012921925634145737,0.35082632303237915,0.4536323547363281,0.453610897064209,-0.004730413667857647
m1_repeat,20261401,23,178,g_111010110,g_011010111,0.13448336720466614,0.12887579202651978,6.872926235198975,0.24409641325473785,0.2449551373720169,0.35056382417678833
