training_arm,model_seed,pair_index,source_index,geometry_id,wrong_geometry_id,embedding_swap_l2,modulation_swap_l2,correction_swap_relative_pct,correct_descriptor_field_rel_l2,wrong_descriptor_field_rel_l2,correct_descriptor_field_gain_pct
m1_repeat,20261401,24,173,g_011010111,g_101011110,0.2432307004928589,0.16147899627685547,3.4436111450195312,0.28952112793922424,0.2884562313556671,-0.3691709339618683
m1_repeat,20261401,25,173,g_101011110,g_111001110,0.3617044985294342,0.2812418043613434,5.621659755706787,0.2184775173664093,0.2204304337501526,0.8859558701515198
m1_repeat,20261401,26,173,g_111001110,g_111010110,0.019061526283621788,0.012921925634145737,0.13745132088661194,0.24565187096595764,0.24569913744926453,0.019237546250224113
m1_repeat,20261401,27,173,g_111010110,g_011010111,0.13448336720466614,0.12887579202651978,2.979156494140625,0.2536415457725525,0.2526479661464691,-0.3932664394378662
m1_repeat,20261401,28,167,g_011010111,g_101011110,0.2432307004928589,0.16147899627685547,8.36142349243164,0.31189584732055664,0.31274425983428955,0.2712799608707428
m1_repeat,20261401,29,167,g_101011110,g_111001110,0.3617044985294342,0.2812418043613434,14.479201316833496,0.28359103202819824,0.28257256746292114,-0.3604258596897125
m1_repeat,20261401,30,167,g_111001110,g_111010110,0.019061526283621788,0.012921925634145737,0.4028853178024292,0.5010160803794861,0.5010049939155579,-0.0022128450218588114
m1_repeat,20261401,31,167,g_111010110,g_011010111,0.13448336720466614,0.12887579202651978,7.575677871704102,0.3086424171924591,0.3094283938407898,0.2540092170238495
m1_repeat,20261401,32,166,g_011010111,g_101011110,0.2432307004928589,0.16147899627685547,11.828533172607422,0.2727535665035248,0.275421679019928,0.9687373042106628
m1_repeat,20261401,33,166,g_101011110,g_111001110,0.3617044985294342,0.2812418043613434,20.985233306884766,0.24822495877742767,0.24459122121334076,-1.4856369495391846
m1_repeat,20261401,34,166,g_111001110,g_111010110,0.019061526283621788,0.012921925634145737,0.5335978269577026,0.5838746428489685,0.5838343501091003,-0.006901399232447147
m1_repeat,20261401,35,166,g_111010110,g_011010111,0.13448336720466614,0.12887579202651978,10.494621276855469,0.26800376176834106,0.27032068371772766,0.8571012616157532
m1_repeat,20261401,36,169,g_011010111,g_101011110,0.2432307004928589,0.16147899627685547,8.655336380004883,0.3844725489616394,0.38513073325157166,0.1708989292383194
m1_repeat,20261401,37,169,g_101011110,g_111001110,0.3617044985294342,0.2812418043613434,14.533855438232422,0.259847491979599,0.25884827971458435,-0.3860223591327667
m1_repeat,20261401,38,169,g_111001110,g_111010110,0.019061526283621788,0.012921925634145737,0.38423481583595276,0.5064883828163147,0.5064724087715149,-0.003153981175273657
m1_repeat,20261401,39,169,g_111010110,g_011010111,0.13448336720466614,0.12887579202651978,7.803553104400635,0.3860050141811371,0.38656824827194214,0.1457010805606842
m1_repeat,20261401,40,197,g_011010111,g_101011110,0.2432307004928589,0.16147899627685547,6.839966773986816,0.14323291182518005,0.14358441531658173,0.24480615556240082
m1_repeat,20261401,41,197,g_101011110,g_111001110,0.3617044985294342,0.2812418043613434,11.820194244384766,0.10021306574344635,0.10009588301181793,-0.11707048118114471
m1_repeat,20261401,42,197,g_111001110,g_111010110,0.019061526283621788,0.012921925634145737,0.2668357491493225,0.22622708976268768,0.2262127548456192,-0.0063369181007146835
m1_repeat,20261401,43,197,g_111010110,g_011010111,0.13448336720466614,0.12887579202651978,6.124795436859131,0.14266015589237213,0.14304208755493164,0.2670064866542816
m1_repeat,20261401,44,176,g_011010111,g_101011110,0.2432307004928589,0.16147899627685547,6.711604118347168,0.19075296819210052,0.19015684723854065,-0.31348907947540283
m1_repeat,20261401,45,176,g_101011110,g_111001110,0.3617044985294342,0.2812418043613434,11.238652229309082,0.1421077847480774,0.14259885251522064,0.3443700671195984
m1_repeat,20261401,46,176,g_111001110,g_111010110,0.019061526283621788,0.012921925634145737,0.2716907262802124,0.20542408525943756,0.20542271435260773,-0.0006673589232377708
m1_repeat,20261401,47,176,g_111010110,g_011010111,0.13448336720466614,0.12887579202651978,6.088965892791748,0.1748623549938202,0.17456597089767456,-0.16978342831134796
m1_repeat,20261401,48,186,g_011010111,g_101011110,0.2432307004928589,0.16147899627685547,8.710089683532715,0.15799959003925323,0.15829125046730042,0.18425555527210236
m1_repeat,20261401,49,186,g_101011110,g_111001110,0.3617044985294342,0.2812418043613434,14.680901527404785,0.13394644856452942,0.1327841579914093,-0.8753232359886169
m1_repeat,20261401,50,186,g_111001110,g_111010110,0.019061526283621788,0.012921925634145737,0.3313600718975067,0.19541725516319275,0.1953897327184677,-0.014085921458899975
m1_repeat,20261401,51,186,g_111010110,g_011010111,0.13448336720466614,0.12887579202651978,7.689815521240234,0.15169686079025269,0.15227405726909637,0.3790510892868042
m1_repeat,20261401,52,165,g_011010111,g_101011110,0.2432307004928589,0.16147899627685547,5.1658759117126465,0.18137027323246002,0.17985276877880096,-0.843748152256012
m1_repeat,20261401,53,165,g_101011110,g_111001110,0.3617044985294342,0.2812418043613434,8.528564453125,0.14056791365146637,0.14258719980716705,1.4161763191223145
m1_repeat,20261401,54,165,g_111001110,g_111010110,0.019061526283621788,0.012921925634145737,0.20075565576553345,0.1536642462015152,0.15369319915771484,0.018838150426745415
m1_repeat,20261401,55,165,g_111010110,g_011010111,0.13448336720466614,0.12887579202651978,4.539502143859863,0.14374051988124847,0.14246876537799835,-0.8926549553871155
m1_repeat,20261401,56,199,g_011010111,g_101011110,0.2432307004928589,0.16147899627685547,5.859109878540039,0.19499796628952026,0.1939622163772583,-0.5339956879615784
m1_repeat,20261401,57,199,g_101011110,g_111001110,0.3617044985294342,0.2812418043613434,9.69899845123291,0.12179861217737198,0.12414667755365372,1.8913638591766357
m1_repeat,20261401,58,199,g_111001110,g_111010110,0.019061526283621788,0.012921925634145737,0.2370646744966507,0.23151692748069763,0.23152859508991241,0.005039381328970194
m1_repeat,20261401,59,199,g_111010110,g_011010111,0.13448336720466614,0.12887579202651978,5.171802520751953,0.17521736025810242,0.1744288206100464,-0.45206958055496216
m1_repeat,20261401,60,193,g_011010111,g_101011110,0.2432307004928589,0.16147899627685547,7.929405212402344,0.24744002521038055,0.2485584169626236,0.44995126128196716
m1_repeat,20261401,61,193,g_101011110,g_111001110,0.3617044985294342,0.2812418043613434,14.00733470916748,0.21621541678905487,0.214834064245224,-0.6429858207702637
m1_repeat,20261401,62,193,g_111001110,g_111010110,0.019061526283621788,0.012921925634145737,0.40967702865600586,0.5681718587875366,0.56816166639328,-0.0017939250683411956
m1_repeat,20261401,63,193,g_111010110,g_011010111,0.13448336720466614,0.12887579202651978,7.147724628448486,0.24823810160160065,0.24920156598091125,0.38662052154541016
m1_repeat,20261401,64,170,g_011010111,g_101011110,0.2432307004928589,0.16147899627685547,8.244037628173828,0.27811315655708313,0.27840614318847656,0.10523712635040283
m1_repeat,20261401,65,170,g_101011110,g_111001110,0.3617044985294342,0.2812418043613434,14.024107933044434,0.1877194046974182,0.18795724213123322,0.12653805315494537
m1_repeat,20261401,66,170,g_111001110,g_111010110,0.019061526283621788,0.012921925634145737,0.3378759026527405,0.3790876865386963,0.3790736198425293,-0.003710808465257287
m1_repeat,20261401,67,170,g_111010110,g_011010111,0.13448336720466614,0.12887579202651978,7.611469268798828,0.28334641456604004,0.2835465967655182,0.07059939950704575
m1_repeat,20261401,68,185,g_011010111,g_101011110,0.2432307004928589,0.16147899627685547,7.642923355102539,0.13165652751922607,0.13226614892482758,0.4609050750732422
m1_repeat,20261401,69,185,g_101011110,g_111001110,0.3617044985294342,0.2812418043613434,13.32237434387207,0.1509498506784439,0.1500570923089981,-0.5949457883834839
m1_repeat,20261401,70,185,g_111001110,g_111010110,0.019061526283621788,0.012921925634145737,0.28997620940208435,0.18850737810134888,0.1884702891111374,-0.019678957760334015
m1_repeat,20261401,71,185,g_111010110,g_011010111,0.13448336720466614,0.12887579202651978,6.879098892211914,0.13957133889198303,0.1401268094778061,0.3964056372642517
m1_repeat,20261401,72,183,g_011010111,g_101011110,0.2432307004928589,0.16147899627685547,9.458809852600098,0.28590869903564453,0.28747159242630005,0.543668806552887
m1_repeat,20261401,73,183,g_101011110,g_111001110,0.3617044985294342,0.2812418043613434,16.328041076660156,0.20245946943759918,0.19953998923301697,-1.463105320930481
m1_repeat,20261401,74,183,g_111001110,g_111010110,0.019061526283621788,0.012921925634145737,0.39774778485298157,0.40310755372047424,0.4030608534812927,-0.01158639881759882
m1_repeat,20261401,75,183,g_111010110,g_011010111,0.13448336720466614,0.12887579202651978,8.571861267089844,0.28684696555137634,0.2882676422595978,0.4928325414657593
m1_repeat,20261401,76,190,g_011010111,g_101011110,0.2432307004928589,0.16147899627685547,13.285453796386719,0.4974079132080078,0.498426616191864,0.2043837457895279
m1_repeat,20261401,77,190,g_101011110,g_111001110,0.3617044985294342,0.2812418043613434,21.13888931274414,0.28848975896835327,0.28684741258621216,-0.5725505352020264
m1_repeat,20261401,78,190,g_111001110,g_111010110,0.019061526283621788,0.012921925634145737,0.46516919136047363,0.41884881258010864,0.4188046455383301,-0.010545977391302586
m1_repeat,20261401,79,190,g_111010110,g_011010111,0.13448336720466614,0.12887579202651978,11.871659278869629,0.5005243420600891,0.5013471245765686,0.1641143411397934
m1_repeat,20261401,80,175,g_011010111,g_101011110,0.2432307004928589,0.16147899627685547,5.05869197845459,0.21125797927379608,0.2102271169424057,-0.4903565049171448
m1_repeat,20261401,81,175,g_101011110,g_111001110,0.3617044985294342,0.2812418043613434,8.38009262084961,0.17327238619327545,0.17503106594085693,1.0047814846038818
m1_repeat,20261401,82,175,g_111001110,g_111010110,0.019061526283621788,0.012921925634145737,0.18630728125572205,0.18476645648479462,0.18481287360191345,0.025115737691521645
m1_repeat,20261401,83,175,g_111010110,g_011010111,0.13448336720466614,0.12887579202651978,4.389586448669434,0.18368269503116608,0.18274211883544922,-0.5147013664245605
m1_repeat,20261401,84,177,g_011010111,g_101011110,0.2432307004928589,0.16147899627685547,5.9566850662231445,0.18875645101070404,0.1874884068965912,-0.6763319969177246
m1_repeat,20261401,85,177,g_101011110,g_111001110,0.3617044985294342,0.2812418043613434,9.947978973388672,0.15171636641025543,0.1538149118423462,1.364331603050232
m1_repeat,20261401,86,177,g_111001110,g_111010110,0.019061526283621788,0.012921925634145737,0.22612224519252777,0.18866148591041565,0.18869924545288086,0.020010435953736305
m1_repeat,20261401,87,177,g_111010110,g_011010111,0.13448336720466614,0.12887579202651978,5.21929407119751,0.16457805037498474,0.16348421573638916,-0.6690766215324402
m1_repeat,20261401,88,164,g_011010111,g_101011110,0.2432307004928589,0.16147899627685547,7.63231086730957,0.15865954756736755,0.1575496792793274,-0.704456090927124
m1_repeat,20261401,89,164,g_101011110,g_111001110,0.3617044985294342,0.2812418043613434,12.909971237182617,0.12482614815235138,0.1262209266424179,1.1050294637680054
m1_repeat,20261401,90,164,g_111001110,g_111010110,0.019061526283621788,0.012921925634145737,0.3160005807876587,0.1890730857849121,0.1890837401151657,0.005634715314954519
m1_repeat,20261401,91,164,g_111010110,g_011010111,0.13448336720466614,0.12887579202651978,6.906841278076172,0.14262226223945618,0.14176715910434723,-0.6031743288040161
m1_repeat,20261401,92,168,g_011010111,g_101011110,0.2432307004928589,0.16147899627685547,8.2381010055542,0.2643736004829407,0.265523761510849,0.43316689133644104
m1_repeat,20261401,93,168,g_101011110,g_111001110,0.3617044985294342,0.2812418043613434,14.613134384155273,0.24023565649986267,0.23884430527687073,-0.5825347900390625
m1_repeat,20261401,94,168,g_111001110,g_111010110,0.019061526283621788,0.012921925634145737,0.43613573908805847,0.5763553380966187,0.5763440728187561,-0.0019546097610145807
m1_repeat,20261401,95,168,g_111010110,g_011010111,0.13448336720466614,0.12887579202651978,7.438385009765625,0.26781389117240906,0.2688102722167969,0.3706633150577545
m1_repeat,20261401,96,182,g_011010111,g_101011110,0.2432307004928589,0.16147899627685547,13.27127742767334,0.44847211241722107,0.4493164122104645,0.1879076212644577
m1_repeat,20261401,97,182,g_101011110,g_111001110,0.3617044985294342,0.2812418043613434,20.944318771362305,0.2610625624656677,0.2594623565673828,-0.6167391538619995
m1_repeat,20261401,98,182,g_111001110,g_111010110,0.019061526283621788,0.012921925634145737,0.4767526090145111,0.4319460391998291,0.4319106936454773,-0.008183533325791359
m1_repeat,20261401,99,182,g_111010110,g_011010111,0.13448336720466614,0.12887579202651978,11.798338890075684,0.452115923166275,0.45282381772994995,0.15632891654968262
m1_repeat,20261401,100,181,g_011010111,g_101011110,0.2432307004928589,0.16147899627685547,10.08099365234375,0.41675376892089844,0.41737380623817444,0.14855682849884033
m1_repeat,20261401,101,181,g_101011110,g_111001110,0.3617044985294342,0.2812418043613434,16.25139045715332,0.2970028817653656,0.2960864007472992,-0.30953162908554077
m1_repeat,20261401,102,181,g_111001110,g_111010110,0.019061526283621788,0.012921925634145737,0.3690529465675354,0.39682137966156006,0.3967916965484619,-0.00748077966272831
m1_repeat,20261401,103,181,g_111010110,g_011010111,0.13448336720466614,0.12887579202651978,9.204794883728027,0.42581358551979065,0.4263392388820648,0.12329462170600891
m1_repeat,20261401,104,188,g_011010111,g_101011110,0.2432307004928589,0.16147899627685547,7.325484752655029,0.160893514752388,0.15981706976890564,-0.67354816198349
m1_repeat,20261401,105,188,g_101011110,g_111001110,0.3617044985294342,0.2812418043613434,12.29848575592041,0.11520837992429733,0.11742983758449554,1.891731858253479
m1_repeat,20261401,106,188,g_111001110,g_111010110,0.019061526283621788,0.012921925634145737,0.2869768440723419,0.18072952330112457,0.1807466596364975,0.009480858221650124
m1_repeat,20261401,107,188,g_111010110,g_011010111,0.13448336720466614,0.12887579202651978,6.476226806640625,0.14311328530311584,0.14225544035434723,-0.6030313968658447
m1_repeat,20261401,108,194,g_011010111,g_101011110,0.2432307004928589,0.16147899627685547,11.107962608337402,0.3688260614871979,0.37002032995224,0.3227575123310089
m1_repeat,20261401,109,194,g_101011110,g_111001110,0.3617044985294342,0.2812418043613434,18.608572006225586,0.26116886734962463,0.25988441705703735,-0.49423906207084656
m1_repeat,20261401,110,194,g_111001110,g_111010110,0.019061526283621788,0.012921925634145737,0.4119715094566345,0.41039976477622986,0.4103647768497467,-0.00852605514228344
m1_repeat,20261401,111,194,g_111010110,g_011010111,0.13448336720466614,0.12887579202651978,9.889123916625977,0.3715816140174866,0.37256941199302673,0.26513126492500305
m1_repeat,20261401,112,163,g_011010111,g_101011110,0.2432307004928589,0.16147899627685547,5.536435604095459,0.17480520904064178,0.1739531308412552,-0.4898320436477661
m1_repeat,20261401,113,163,g_101011110,g_111001110,0.3617044985294342,0.2812418043613434,9.641103744506836,0.17042994499206543,0.17153896391391754,0.6465113759040833
m1_repeat,20261401,114,163,g_111001110,g_111010110,0.019061526283621788,0.012921925634145737,0.24214251339435577,0.2185411900281906,0.21856601536273956,0.01135827787220478
m1_repeat,20261401,115,163,g_111010110,g_011010111,0.13448336720466614,0.12887579202651978,5.190302848815918,0.18549132347106934,0.1848699301481247,-0.33612459897994995
m1_repeat,20261401,116,192,g_011010111,g_101011110,0.2432307004928589,0.16147899627685547,9.885810852050781,0.3508446216583252,0.35160887241363525,0.21735821664333344
m1_repeat,20261401,117,192,g_101011110,g_111001110,0.3617044985294342,0.2812418043613434,15.74592399597168,0.19721534848213196,0.19500650465488434,-1.1327025890350342
m1_repeat,20261401,118,192,g_111001110,g_111010110,0.019061526283621788,0.012921925634145737,0.3354663848876953,0.27711376547813416,0.27705854177474976,-0.01993214339017868
m1_repeat,20261401,119,192,g_111010110,g_011010111,0.13448336720466614,0.12887579202651978,9.100801467895508,0.3582707643508911,0.3589543402194977,0.19043532013893127
m1_repeat,20261401,120,187,g_011010111,g_101011110,0.2432307004928589,0.16147899627685547,6.128325462341309,0.1647060513496399,0.16351507604122162,-0.7283580899238586
m1_repeat,20261401,121,187,g_101011110,g_111001110,0.3617044985294342,0.2812418043613434,10.29861831665039,0.12578018009662628,0.12719102203845978,1.1092307567596436
m1_repeat,20261401,122,187,g_111001110,g_111010110,0.019061526283621788,0.012921925634145737,0.2540426254272461,0.1524989902973175,0.15250270068645477,0.0024329989682883024
m1_repeat,20261401,123,187,g_111010110,g_011010111,0.13448336720466614,0.12887579202651978,5.539363861083984,0.13721135258674622,0.13637679815292358,-0.6119475364685059
m1_repeat,20261401,124,161,g_011010111,g_101011110,0.2432307004928589,0.16147899627685547,5.79213285446167,0.2500191926956177,0.24801738560199738,-0.8071237206459045
m1_repeat,20261401,125,161,g_101011110,g_111001110,0.3617044985294342,0.2812418043613434,9.225700378417969,0.19520559906959534,0.19858473539352417,1.7016092538833618
m1_repeat,20261401,126,161,g_111001110,g_111010110,0.019061526283621788,0.012921925634145737,0.22772151231765747,0.1990223526954651,0.19909127056598663,0.034616220742464066
m1_repeat,20261401,127,161,g_111010110,g_011010111,0.13448336720466614,0.12887579202651978,5.021335124969482,0.20797602832317352,0.20614862442016602,-0.8864496946334839
m1_repeat,20261401,128,191,g_011010111,g_101011110,0.2432307004928589,0.16147899627685547,8.42485237121582,0.3927449882030487,0.3928914964199066,0.03728973865509033
m1_repeat,20261401,129,191,g_101011110,g_111001110,0.3617044985294342,0.2812418043613434,13.84830379486084,0.32283562421798706,0.32271531224250793,-0.03728114813566208
m1_repeat,20261401,130,191,g_111001110,g_111010110,0.019061526283621788,0.012921925634145737,0.34798720479011536,0.4560239017009735,0.4560205638408661,-0.0007319538854062557
m1_repeat,20261401,131,191,g_111010110,g_011010111,0.13448336720466614,0.12887579202651978,7.58368444442749,0.3963658809661865,0.3965300917625427,0.04141194000840187
m1_repeat,20261401,132,195,g_011010111,g_101011110,0.2432307004928589,0.16147899627685547,6.7567620277404785,0.1976449191570282,0.19851471483707428,0.4381517469882965
m1_repeat,20261401,133,195,g_101011110,g_111001110,0.3617044985294342,0.2812418043613434,12.016127586364746,0.1542287915945053,0.15333949029445648,-0.5799558162689209
m1_repeat,20261401,134,195,g_111001110,g_111010110,0.019061526283621788,0.012921925634145737,0.3200378119945526,0.43205949664115906,0.43204623460769653,-0.0030695865862071514
m1_repeat,20261401,135,195,g_111010110,g_011010111,0.13448336720466614,0.12887579202651978,6.160084247589111,0.19945785403251648,0.2002267837524414,0.3840293884277344
m1_repeat,20261401,136,172,g_011010111,g_101011110,0.2432307004928589,0.16147899627685547,7.374782085418701,0.19950222969055176,0.19797588884830475,-0.7709730863571167
m1_repeat,20261401,137,172,g_101011110,g_111001110,0.3617044985294342,0.2812418043613434,12.685728073120117,0.17833605408668518,0.18126490712165833,1.615786075592041
m1_repeat,20261401,138,172,g_111001110,g_111010110,0.019061526283621788,0.012921925634145737,0.2875560522079468,0.1891808807849884,0.18923921883106232,0.03082767128944397
m1_repeat,20261401,139,172,g_111010110,g_011010111,0.13448336720466614,0.12887579202651978,6.735959529876709,0.1864907592535019,0.1850762963294983,-0.7642593383789062
m1_repeat,20261401,140,179,g_011010111,g_101011110,0.2432307004928589,0.16147899627685547,7.60648250579834,0.23890994489192963,0.23993496596813202,0.427207887172699
m1_repeat,20261401,141,179,g_101011110,g_111001110,0.3617044985294342,0.2812418043613434,13.420037269592285,0.2213495969772339,0.22013823688030243,-0.5502724647521973
m1_repeat,20261401,142,179,g_111001110,g_111010110,0.019061526283621788,0.012921925634145737,0.37654948234558105,0.49436676502227783,0.4943583309650421,-0.0017060615355148911
m1_repeat,20261401,143,179,g_111010110,g_011010111,0.13448336720466614,0.12887579202651978,6.846210956573486,0.23455563187599182,0.2354755997657776,0.3906850218772888
m1_repeat,20261401,144,162,g_011010111,g_101011110,0.2432307004928589,0.16147899627685547,7.517542839050293,0.13110066950321198,0.13096970319747925,-0.09999740868806839
m1_repeat,20261401,145,162,g_101011110,g_111001110,0.3617044985294342,0.2812418043613434,12.938139915466309,0.10657809674739838,0.10680435597896576,0.2118445783853531
m1_repeat,20261401,146,162,g_111001110,g_111010110,0.019061526283621788,0.012921925634145737,0.29067131876945496,0.1789432018995285,0.17891241610050201,-0.01720719039440155
m1_repeat,20261401,147,162,g_111010110,g_011010111,0.13448336720466614,0.12887579202651978,6.723610877990723,0.12091823667287827,0.12110058218240738,0.15057359635829926
m1_repeat,20261401,148,198,g_011010111,g_101011110,0.2432307004928589,0.16147899627685547,6.115741729736328,0.1552126705646515,0.15335115790367126,-1.2138888835906982
m1_repeat,20261401,149,198,g_101011110,g_111001110,0.3617044985294342,0.2812418043613434,10.14246940612793,0.13747011125087738,0.13977861404418945,1.6515421867370605
m1_repeat,20261401,150,198,g_111001110,g_111010110,0.019061526283621788,0.012921925634145737,0.24154871702194214,0.15776388347148895,0.15780293941497803,0.024749819189310074
m1_repeat,20261401,151,198,g_111010110,g_011010111,0.13448336720466614,0.12887579202651978,5.4165873527526855,0.13595496118068695,0.13448819518089294,-1.0906280279159546
m1_repeat,20261401,152,189,g_011010111,g_101011110,0.2432307004928589,0.16147899627685547,7.052613258361816,0.171400249004364,0.16985882818698883,-0.9074717164039612
m1_repeat,20261401,153,189,g_101011110,g_111001110,0.3617044985294342,0.2812418043613434,11.9122896194458,0.13231292366981506,0.13431838154792786,1.4930628538131714
m1_repeat,20261401,154,189,g_111001110,g_111010110,0.019061526283621788,0.012921925634145737,0.2893986105918884,0.16301071643829346,0.163004070520401,-0.004077148623764515
m1_repeat,20261401,155,189,g_111010110,g_011010111,0.13448336720466614,0.12887579202651978,6.416075229644775,0.1441008746623993,0.1430971324443817,-0.7014411687850952
m1_repeat,20261401,156,184,g_011010111,g_101011110,0.24323071539402008,0.16147898137569427,10.008512496948242,0.1719602793455124,0.17123690247535706,-0.42244216799736023
m1_repeat,20261401,157,184,g_101011110,g_111001110,0.36170440912246704,0.2812417149543762,16.68588638305664,0.12621168792247772,0.12839347124099731,1.6992945671081543
m1_repeat,20261401,158,184,g_111001110,g_111010110,0.01906144618988037,0.012921818532049656,0.3905870318412781,0.1985531896352768,0.1985739916563034,0.010475702583789825
m1_repeat,20261401,159,184,g_111010110,g_011010111,0.13448336720466614,0.12887582182884216,8.8800630569458,0.150940403342247,0.15042023360729218,-0.34581100940704346
m1_repeat,20261402,0,180,g_011010111,g_101011110,0.8813323974609375,0.8867815136909485,12.156726837158203,0.3985178768634796,0.3990832269191742,0.14166219532489777
m1_repeat,20261402,1,180,g_101011110,g_111001110,0.34871068596839905,0.3407643139362335,4.949037075042725,0.3267465829849243,0.3268342614173889,0.02682657353579998
m1_repeat,20261402,2,180,g_111001110,g_111010110,0.29956483840942383,0.28980517387390137,3.659461498260498,0.5356422662734985,0.535767138004303,0.023307090625166893
m1_repeat,20261402,3,180,g_111010110,g_011010111,0.8450406193733215,0.8402304649353027,12.153677940368652,0.40254855155944824,0.4021605849266052,-0.09647057950496674
m1_repeat,20261402,4,171,g_011010111,g_101011110,0.8813323974609375,0.8867815136909485,12.338295936584473,0.37832537293434143,0.37899571657180786,0.17687366902828217
m1_repeat,20261402,5,171,g_101011110,g_111001110,0.34871068596839905,0.3407643139362335,5.019854545593262,0.21384306252002716,0.2141391485929489,0.13826806843280792
m1_repeat,20261402,6,171,g_111001110,g_111010110,0.29956483840942383,0.28980517387390137,3.905924081802368,0.3192272484302521,0.31927916407585144,0.016260268166661263
m1_repeat,20261402,7,171,g_111010110,g_011010111,0.8450406193733215,0.8402304649353027,12.274820327758789,0.3844206929206848,0.3838289678096771,-0.15416374802589417
m1_repeat,20261402,8,160,g_011010111,g_101011110,0.8813323974609375,0.8867815136909485,11.318185806274414,0.20621004700660706,0.20839062333106995,1.046388864517212
m1_repeat,20261402,9,160,g_101011110,g_111001110,0.34871068596839905,0.3407643139362335,4.32208251953125,0.17935258150100708,0.1793758124113083,0.012950971722602844
