training_arm,method,model_seed,source_split,pair_index,source_index,sample_seed,geometry_id,geometry_partition,family_id,noise_level,field_rel_l2,audit_reprojection_rel_l2
m1_repeat,locked_fno,20261401,val,45,176,30360837,g_101011110,validation,0,0.02,0.1450532227754593,0.16027748584747314
m1_repeat,locked_fno,20261401,val,46,176,30360837,g_111001110,validation,0,0.02,0.21763069927692413,0.37365302443504333
m1_repeat,locked_fno,20261401,val,47,176,30360837,g_111010110,validation,0,0.02,0.19121110439300537,0.21357855200767517
m1_repeat,locked_fno,20261401,val,48,186,30360847,g_011010111,validation,0,0.02,0.1711408942937851,0.14223378896713257
m1_repeat,locked_fno,20261401,val,49,186,30360847,g_101011110,validation,0,0.02,0.11463828384876251,0.10259445011615753
m1_repeat,locked_fno,20261401,val,50,186,30360847,g_111001110,validation,0,0.02,0.19995161890983582,0.29442110657691956
m1_repeat,locked_fno,20261401,val,51,186,30360847,g_111010110,validation,0,0.02,0.15351362526416779,0.13119985163211823
m1_repeat,locked_fno,20261401,val,52,165,30360826,g_011010111,validation,0,0.05,0.21535712480545044,0.19041071832180023
m1_repeat,locked_fno,20261401,val,53,165,30360826,g_101011110,validation,0,0.05,0.15599942207336426,0.08839758485555649
m1_repeat,locked_fno,20261401,val,54,165,30360826,g_111001110,validation,0,0.05,0.18423976004123688,0.21922479569911957
m1_repeat,locked_fno,20261401,val,55,165,30360826,g_111010110,validation,0,0.05,0.17269426584243774,0.13875624537467957
m1_repeat,locked_fno,20261401,val,56,199,30360860,g_011010111,validation,0,0.05,0.22286038100719452,0.2145005464553833
m1_repeat,locked_fno,20261401,val,57,199,30360860,g_101011110,validation,0,0.05,0.1378583312034607,0.10188471525907516
m1_repeat,locked_fno,20261401,val,58,199,30360860,g_111001110,validation,0,0.05,0.2536281943321228,0.38720861077308655
m1_repeat,locked_fno,20261401,val,59,199,30360860,g_111010110,validation,0,0.05,0.1982167512178421,0.19101552665233612
m1_repeat,locked_fno,20261401,val,60,193,30360854,g_011010111,validation,1,0.05,0.24792389571666718,0.275836318731308
m1_repeat,locked_fno,20261401,val,61,193,30360854,g_101011110,validation,1,0.05,0.20293888449668884,0.25863805413246155
m1_repeat,locked_fno,20261401,val,62,193,30360854,g_111001110,validation,1,0.05,0.5744084715843201,0.6761758327484131
m1_repeat,locked_fno,20261401,val,63,193,30360854,g_111010110,validation,1,0.05,0.24701233208179474,0.26544225215911865
m1_repeat,locked_fno,20261401,val,64,170,30360831,g_011010111,validation,1,0.02,0.28938472270965576,0.4800536334514618
m1_repeat,locked_fno,20261401,val,65,170,30360831,g_101011110,validation,1,0.02,0.18363872170448303,0.39014819264411926
m1_repeat,locked_fno,20261401,val,66,170,30360831,g_111001110,validation,1,0.02,0.3854125738143921,0.6277417540550232
m1_repeat,locked_fno,20261401,val,67,170,30360831,g_111010110,validation,1,0.02,0.29340097308158875,0.4878273010253906
m1_repeat,locked_fno,20261401,val,68,185,30360846,g_011010111,validation,0,0.05,0.14762228727340698,0.1329369693994522
m1_repeat,locked_fno,20261401,val,69,185,30360846,g_101011110,validation,0,0.05,0.14236345887184143,0.14748145639896393
m1_repeat,locked_fno,20261401,val,70,185,30360846,g_111001110,validation,0,0.05,0.19556698203086853,0.2813655436038971
m1_repeat,locked_fno,20261401,val,71,185,30360846,g_111010110,validation,0,0.05,0.1466551125049591,0.12774845957756042
m1_repeat,locked_fno,20261401,val,72,183,30360844,g_011010111,validation,1,0.05,0.2904007136821747,0.38935473561286926
m1_repeat,locked_fno,20261401,val,73,183,30360844,g_101011110,validation,1,0.05,0.18873904645442963,0.3259723484516144
m1_repeat,locked_fno,20261401,val,74,183,30360844,g_111001110,validation,1,0.05,0.41011911630630493,0.6535239815711975
m1_repeat,locked_fno,20261401,val,75,183,30360844,g_111010110,validation,1,0.05,0.2894282341003418,0.3778687119483948
m1_repeat,locked_fno,20261401,val,76,190,30360851,g_011010111,validation,1,0.02,0.5006442070007324,0.4791494905948639
m1_repeat,locked_fno,20261401,val,77,190,30360851,g_101011110,validation,1,0.02,0.27720314264297485,0.3002334237098694
m1_repeat,locked_fno,20261401,val,78,190,30360851,g_111001110,validation,1,0.02,0.42265841364860535,0.46748092770576477
