seed,split,sample_index,geometry_id,active_views,model_relative_l2,fallback_relative_l2,relative_gain_percent
71,validation,0,g_1001110,4,0.19985347986221313,0.4110584259033203,51.380760192871094
71,validation,1,g_0111110,5,0.22284747660160065,0.4050900340080261,44.988162994384766
71,validation,2,g_0011101,4,0.20610235631465912,0.2616700232028961,21.23577880859375
71,validation,3,g_0111110,5,0.30069056153297424,0.34794944524765015,13.582111358642578
71,validation,4,g_1100110,4,0.17188285291194916,0.37590155005455017,54.27450180053711
71,validation,5,g_1011101,5,0.3779546022415161,0.5133850574493408,26.379898071289062
71,validation,6,g_1000111,4,0.2935806214809418,0.46697402000427246,37.13127517700195
71,validation,7,g_1011011,5,0.29387518763542175,0.5767710208892822,49.0482063293457
71,validation,8,g_1111000,4,0.16897065937519073,0.3548591732978821,52.38374328613281
71,validation,9,g_1011101,5,0.21544580161571503,0.5367727279663086,59.86274719238281
71,validation,10,g_0001111,4,0.3054790198802948,0.3733597993850708,18.181062698364258
71,validation,11,g_1011101,5,0.3585672080516815,0.49707311391830444,27.86429214477539
71,validation,12,g_1100110,4,0.1532914638519287,0.3217901289463043,52.36290740966797
71,validation,13,g_1011011,5,0.22947412729263306,0.4606209695339203,50.18157196044922
71,validation,14,g_1001011,4,0.2149282693862915,0.4113107919692993,47.74553298950195
71,validation,15,g_1011101,5,0.3267829418182373,0.5906664133071899,44.67555236816406
71,test,0,g_1100010,3,0.6012688279151917,0.6094345450401306,1.3398841619491577
71,test,1,g_1010110,4,0.30178380012512207,0.5829693675041199,48.233333587646484
71,test,2,g_1100001,3,0.6397822499275208,0.7086361050605774,9.716390609741211
71,test,3,g_0100111,4,0.3888762891292572,0.5895982384681702,34.04384994506836
71,test,4,g_0001101,3,0.5205682516098022,0.5809988975524902,10.401164054870605
71,test,5,g_1100011,4,0.6418282389640808,0.7592145800590515,15.461549758911133
71,test,6,g_0110100,3,0.546463131904602,0.6421558856964111,14.90179443359375
71,test,7,g_1100011,4,0.6129905581474304,0.7125208377838135,13.96875286102295
71,test,8,g_1010100,3,0.549981951713562,0.6804671883583069,19.175830841064453
71,test,9,g_1010110,4,0.4171162545681,0.5610666871070862,25.656564712524414
71,test,10,g_1100010,3,0.5096635818481445,0.6173181533813477,17.43907356262207
71,test,11,g_0011110,4,0.1822551041841507,0.3288540840148926,44.578731536865234
71,test,12,g_1100001,3,0.7217981815338135,0.7687740325927734,6.1104888916015625
71,test,13,g_1100011,4,0.6219792366027832,0.7628880739212036,18.47044563293457
71,test,14,g_1101000,3,0.6359546780586243,0.697898268699646,8.875733375549316
71,test,15,g_1001101,4,0.12980450689792633,0.5398674607276917,75.95623016357422
71,test,16,g_1000011,3,0.6435891389846802,0.7150976061820984,9.999818801879883
71,test,17,g_1101001,4,0.5990321636199951,0.749841570854187,20.11216926574707
71,test,18,g_0101100,3,0.5037333965301514,0.5871049165725708,14.200447082519531
71,test,19,g_0110011,4,0.437873512506485,0.4829791486263275,9.339044570922852
71,test,20,g_0011001,3,0.5288175940513611,0.6421443819999695,17.648178100585938
71,test,21,g_0100111,4,0.39497244358062744,0.6076986789703369,35.00521469116211
71,test,22,g_0110001,3,0.6834083199501038,0.7758957147598267,11.920080184936523
71,test,23,g_1001101,4,0.2490769922733307,0.5707421898841858,56.35910415649414
