seed,epoch,train_relative_l2,validation_relative_l2
71,1,0.40131235122680664,0.42960697412490845
71,5,0.39001262187957764,0.418914258480072
71,10,0.3810589611530304,0.4078529477119446
71,15,0.3627110421657562,0.38801443576812744
71,20,0.3394905924797058,0.35238009691238403
71,25,0.31425216794013977,0.31668683886528015
71,30,0.30877721309661865,0.304786741733551
71,35,0.29182326793670654,0.3055959641933441
71,40,0.2834275960922241,0.3080317974090576
71,45,0.27737176418304443,0.3033583164215088
71,50,0.27068576216697693,0.29546070098876953
71,55,0.2638753652572632,0.28665992617607117
71,60,0.2566138505935669,0.2768440246582031
71,65,0.24904775619506836,0.2692941725254059
71,70,0.24008767306804657,0.26198506355285645
71,75,0.23093388974666595,0.2585015594959259
71,80,0.22308841347694397,0.25248292088508606
72,1,0.40131235122680664,0.42945247888565063
72,5,0.3895230293273926,0.41929101943969727
72,10,0.3820762038230896,0.4102245569229126
72,15,0.367415189743042,0.3948361873626709
72,20,0.349535197019577,0.36972901225090027
72,25,0.3213038146495819,0.33164581656455994
72,30,0.3008650839328766,0.2966650128364563
72,35,0.2948625087738037,0.293304979801178
72,40,0.27641016244888306,0.2900976836681366
72,45,0.2690992057323456,0.28750163316726685
72,50,0.2627846598625183,0.2858852744102478
72,55,0.2574348747730255,0.27969515323638916
72,60,0.25087741017341614,0.27186888456344604
72,65,0.24599558115005493,0.26785987615585327
72,70,0.24100330471992493,0.2643212080001831
72,75,0.23515920341014862,0.25936076045036316
72,80,0.23059816658496857,0.2556345462799072
73,1,0.40131235122680664,0.42939090728759766
73,5,0.38992488384246826,0.4221726655960083
73,10,0.3840264678001404,0.4137818515300751
73,15,0.3743593990802765,0.40314623713493347
73,20,0.3624863028526306,0.3864961862564087
73,25,0.34180617332458496,0.3617142140865326
73,30,0.31158140301704407,0.3181256353855133
73,35,0.2996351718902588,0.3021226227283478
73,40,0.28439587354660034,0.29564139246940613
73,45,0.27329036593437195,0.2948196530342102
73,50,0.2681919038295746,0.2923033535480499
73,55,0.26076823472976685,0.28497111797332764
73,60,0.254971981048584,0.27601778507232666
73,65,0.24885989725589752,0.26522916555404663
73,70,0.2433166801929474,0.25720280408859253
73,75,0.23730680346488953,0.25166094303131104
73,80,0.23035651445388794,0.2460395097732544
