truth_family,repeat_count,model,trial_count,nll_gain_median,nll_gain_p10,nll_gain_p90,nll_harm_p90,coverage_error_p90,energy_error_median,graph_activation_rate,amplitude_activation_rate,low_rank_drift_activation_rate,spatial_fraction_median
component_iid,4,always_amplitude_graph,72,-0.06995562051328497,-0.08800337461714754,-0.05671885166113113,0.08800337461714754,0.95,0.2580334045231112,1.0,1.0,0.0,0.0
component_iid,4,always_graph,72,0.0,-0.00032732140550653096,0.0,0.0003273214055065309,0.19937499999999994,0.025859727228933736,1.0,0.0,0.0,0.0
component_iid,4,always_low_rank_drift,72,-0.07343029105177556,-0.09177846067180169,-0.059769680055876774,0.09177846067180169,0.95,0.25513820865223497,1.0,0.0,1.0,0.0
component_iid,4,component_iid,72,0.0,0.0,0.0,0.0,0.19937499999999994,0.025278316979626635,0.0,0.0,0.0,0.0
component_iid,4,dg_covgate,72,0.0,0.0,0.0,0.0,0.19937499999999994,0.025278316979626635,0.013888888888888888,0.0,0.0,0.0
component_iid,4,diagonal_shrinkage,72,-0.013008625922362183,-0.015455175451813009,-0.010653283015987069,0.015455175451813007,0.2981249999999999,0.028283569016294433,0.0,0.0,0.0,0.0
graph_heat,4,always_amplitude_graph,72,-0.042953211267725,-0.06239903188624365,-0.02930452473895646,0.06239903188624365,0.95,0.2704972577705934,1.0,1.0,0.0,0.75
graph_heat,4,always_graph,72,0.03420058002999227,0.029146990363727608,0.036987632354949375,0.0,0.2281249999999999,0.027562358964970966,1.0,0.0,0.0,0.75
graph_heat,4,always_low_rank_drift,72,-0.04675030188711926,-0.06614263331924679,-0.03246890038752095,0.06614263331924679,0.95,0.2688129360532965,1.0,0.0,1.0,0.75
graph_heat,4,component_iid,72,0.0,0.0,0.0,0.0,0.2599999999999999,0.030991695545432157,0.0,0.0,0.0,0.0
graph_heat,4,dg_covgate,72,0.03420058002999227,0.029146990363727608,0.036987632354949375,0.0,0.2281249999999999,0.027562358964970966,1.0,0.0,0.0,0.75
graph_heat,4,diagonal_shrinkage,72,-0.032824987848190545,-0.03505987789174292,-0.029479928024676427,0.03505987789174292,0.34812499999999996,0.03846467384914708,0.0,0.0,0.0,0.0
nonstationary_drift,4,always_amplitude_graph,72,0.04443203987264466,0.019094006787009656,0.0687757047758455,0.0,0.95,0.27222100143058614,1.0,1.0,0.0,0.5
nonstationary_drift,4,always_graph,72,0.07038739121581994,0.06027691834065729,0.08879589374758146,0.0,0.3218749999999999,0.031445673099695565,1.0,0.0,0.0,0.5
nonstationary_drift,4,always_low_rank_drift,72,0.04084304844106024,0.015709501832404184,0.0655017349275634,0.0,0.95,0.2674881290958383,1.0,0.0,1.0,0.5
nonstationary_drift,4,component_iid,72,0.0,0.0,0.0,0.0,0.3612499999999999,0.05981783862269592,0.0,0.0,0.0,0.0
nonstationary_drift,4,dg_covgate,72,0.07018238238198571,0.06022656267600126,0.08879589374758146,0.0,0.3218749999999999,0.0317541836960675,0.9722222222222222,0.0,0.0,0.5
nonstationary_drift,4,diagonal_shrinkage,72,-0.0033448135490699027,-0.010314732318572339,0.01559602508610309,0.010314732318572339,0.34249999999999997,0.053448551054959895,0.0,0.0,0.0,0.0
component_iid,8,always_amplitude_graph,72,-0.022464189819419556,-0.026640759707146834,-0.018840075076134766,0.026640759707146834,0.655625,0.09819351883226682,1.0,1.0,0.0,0.0
component_iid,8,always_graph,72,0.0,-0.00021113625708932827,0.0,0.00021113625708932827,0.06812499999999998,0.016559726967586196,1.0,0.0,0.0,0.0
component_iid,8,always_low_rank_drift,72,-0.02585443203434734,-0.029866356180569854,-0.02185462172914321,0.029866356180569854,0.655,0.09636060648709299,1.0,0.0,1.0,0.0
component_iid,8,component_iid,72,0.0,0.0,0.0,0.0,0.06874999999999998,0.016148944992202326,0.0,0.0,0.0,0.0
component_iid,8,dg_covgate,72,0.0,0.0,0.0,0.0,0.06874999999999998,0.016148944992202326,0.0,0.0,0.0,0.0
component_iid,8,diagonal_shrinkage,72,-0.014669952749397641,-0.016546928333119104,-0.013051301171090279,0.016546928333119104,0.16187499999999996,0.019665554157426646,0.0,0.0,0.0,0.0
graph_heat,8,always_amplitude_graph,72,0.007964779004792533,0.003011140311458327,0.01421189967375618,0.0,0.699375,0.11306366203043378,1.0,1.0,0.0,0.75
graph_heat,8,always_graph,72,0.03374106230244167,0.03088502151745376,0.03645964998551203,0.0,0.1174999999999999,0.018541803972687728,1.0,0.0,0.0,0.75
graph_heat,8,always_low_rank_drift,72,0.004693283832675643,-0.0002942347122791398,0.011032853853147872,0.0002992807386666736,0.6925,0.1111547886175375,1.0,0.0,1.0,0.75
graph_heat,8,component_iid,72,0.0,0.0,0.0,0.0,0.1499999999999999,0.01948376080817385,0.0,0.0,0.0,0.0
graph_heat,8,dg_covgate,72,0.03374106230244167,0.03088502151745376,0.03645964998551203,0.0,0.1174999999999999,0.018541803972687728,1.0,0.0,0.0,0.75
graph_heat,8,diagonal_shrinkage,72,-0.0342151431217137,-0.036207828523238915,-0.0319359913526162,0.036207828523238915,0.2537499999999999,0.03262868375270863,0.0,0.0,0.0,0.0
nonstationary_drift,8,always_amplitude_graph,72,0.0973048835946313,0.08397704971427385,0.10977961623853098,0.0,0.6499999999999999,0.10619312028334213,1.0,1.0,0.0,0.5
nonstationary_drift,8,always_graph,72,0.07086799369681207,0.06401764062412114,0.0847944785245102,0.0,0.17499999999999993,0.02406483359646225,1.0,0.0,0.0,0.5
nonstationary_drift,8,always_low_rank_drift,72,0.09516158614509596,0.08134854978145167,0.10706973096517476,0.0,0.636875,0.0997162146360073,1.0,0.0,1.0,0.5
nonstationary_drift,8,component_iid,72,0.0,0.0,0.0,0.0,0.26062499999999994,0.04754426974014135,0.0,0.0,0.0,0.0
nonstationary_drift,8,dg_covgate,72,0.09185816670509728,0.0685304456858318,0.10836455975697908,0.0,0.6443749999999998,0.09164384915653759,1.0,0.5972222222222222,0.1111111111111111,0.5
nonstationary_drift,8,diagonal_shrinkage,72,0.006640892508221974,0.0013206773056952282,0.016617558299255708,0.0,0.1806249999999999,0.04485984070397434,0.0,0.0,0.0,0.0
component_iid,12,always_amplitude_graph,72,-0.012871423781602997,-0.014688537584588324,-0.010798962211327146,0.014688537584588324,0.375,0.06429835824204644,1.0,1.0,0.0,0.0
component_iid,12,always_graph,72,0.0,-0.00014783786713810088,0.0,0.00014783786713810088,0.0862499999999999,0.012871814093483785,1.0,0.0,0.0,0.0
component_iid,12,always_low_rank_drift,72,-0.015874234415273913,-0.01753669254862169,-0.013346423926567708,0.01753669254862169,0.3681249999999999,0.06215463995462953,1.0,0.0,1.0,0.0
component_iid,12,component_iid,72,0.0,0.0,0.0,0.0,0.0862499999999999,0.012828053073497842,0.0,0.0,0.0,0.0
component_iid,12,dg_covgate,72,0.0,0.0,0.0,0.0,0.0862499999999999,0.012828053073497842,0.0,0.0,0.0,0.0
component_iid,12,diagonal_shrinkage,72,-0.015454107050695942,-0.016845797743828238,-0.014305199979836947,0.016845797743828238,0.16749999999999995,0.025500402988470908,0.0,0.0,0.0,0.0
graph_heat,12,always_amplitude_graph,72,0.0200336695006611,0.01642771748251224,0.023077528370892296,0.0,0.39374999999999993,0.06148777107358905,1.0,1.0,0.0,0.75
graph_heat,12,always_graph,72,0.03447807072495368,0.032054661761756,0.036981287155328446,0.0,0.061874999999999986,0.016358372520867352,1.0,0.0,0.0,0.75
graph_heat,12,always_low_rank_drift,72,0.017078679029060018,0.01342632944241775,0.020120259498123662,0.0,0.38125,0.05978708976912134,1.0,0.0,1.0,0.75
graph_heat,12,component_iid,72,0.0,0.0,0.0,0.0,0.07437499999999996,0.016999624998470263,0.0,0.0,0.0,0.0
graph_heat,12,dg_covgate,72,0.03447807072495368,0.03202460609998905,0.036981287155328446,0.0,0.06812499999999998,0.016358372520867352,1.0,0.013888888888888888,0.0,0.75
graph_heat,12,diagonal_shrinkage,72,-0.03506906108229968,-0.037120017595825415,-0.03318315548337256,0.037120017595825415,0.19937499999999994,0.021998160136161106,0.0,0.0,0.0,0.0
nonstationary_drift,12,always_amplitude_graph,72,0.10670841574635548,0.09764885407825238,0.11715187274020535,0.0,0.404375,0.06366156674169113,1.0,1.0,0.0,0.5
nonstationary_drift,12,always_graph,72,0.07185952297115683,0.06382272483638263,0.08139797271666838,0.0,0.1806249999999999,0.017233342229462087,1.0,0.0,0.0,0.5
nonstationary_drift,12,always_low_rank_drift,72,0.10563942510437674,0.09639226328706689,0.1164908498635372,0.0,0.38687499999999997,0.05743087164690999,1.0,0.0,1.0,0.5
nonstationary_drift,12,component_iid,72,0.0,0.0,0.0,0.0,0.20562499999999992,0.03810984049683239,0.0,0.0,0.0,0.0
nonstationary_drift,12,dg_covgate,72,0.10630066907054891,0.09745277223617914,0.1161732846736846,0.0,0.404375,0.06340527669429025,1.0,0.8611111111111112,0.125,0.5
nonstationary_drift,12,diagonal_shrinkage,72,0.013055448502779066,0.007167767204017217,0.02267798956711913,0.0,0.15562499999999999,0.03434886810930057,0.0,0.0,0.0,0.0
component_iid,20,always_amplitude_graph,72,-0.007028371418056234,-0.008292317362141666,-0.006029408620753807,0.008292317362141666,0.1875,0.03283539285227226,1.0,1.0,0.0,0.0
component_iid,20,always_graph,72,0.0,-8.200744400350679e-05,0.0,8.200744400350679e-05,0.04375000000000007,0.012467727851314479,1.0,0.0,0.0,0.0
component_iid,20,always_low_rank_drift,72,-0.009574898451737202,-0.010849104492838246,-0.008545663032582685,0.010849104492838246,0.17437499999999992,0.031049428845429293,1.0,0.0,1.0,0.0
component_iid,20,component_iid,72,0.0,0.0,0.0,0.0,0.04375000000000007,0.012592026708294202,0.0,0.0,0.0,0.0
component_iid,20,dg_covgate,72,0.0,0.0,0.0,0.0,0.04375000000000007,0.012592026708294202,0.0,0.0,0.0,0.0
component_iid,20,diagonal_shrinkage,72,-0.015903916249941807,-0.016889292341499162,-0.01477245817301016,0.016889292341499162,0.13062499999999996,0.02318088518698983,0.0,0.0,0.0,0.0
graph_heat,20,always_amplitude_graph,72,0.026349935900548793,0.024579233529296786,0.028580021712049743,0.0,0.21749999999999997,0.03590952489119892,1.0,1.0,0.0,0.75
graph_heat,20,always_graph,72,0.0344853755405633,0.0330714030933144,0.03635312426997113,0.0,0.04999999999999993,0.011870463006941667,1.0,0.0,0.0,0.75
graph_heat,20,always_low_rank_drift,72,0.023849332199376683,0.021978347128464783,0.026198231845783026,0.0,0.20624999999999993,0.03396389963848481,1.0,0.0,1.0,0.75
graph_heat,20,component_iid,72,0.0,0.0,0.0,0.0,0.09312499999999999,0.014214563518211258,0.0,0.0,0.0,0.0
graph_heat,20,dg_covgate,72,0.0344853755405633,0.0330714030933144,0.03635312426997113,0.0,0.04999999999999993,0.011870463006941667,1.0,0.0,0.0,0.75
