truth_family,repeat_count,seed_index,view_index,model,mean_nll_per_dimension,nll_gain_vs_component_iid,whitened_energy_ratio,absolute_log_energy_ratio,chi_square_95_coverage,absolute_coverage_error,graph_activated,amplitude_activated,low_rank_drift_activated,selected_spatial_fraction,selected_diffusion_time,selected_component_correlation,selected_component_variance_ratio,selected_amplitude_log_standard_deviation,selected_low_rank_eigenvalue_sum,gate_validation_gain_per_dimension
component_iid,4,4,0,diagonal_shrinkage,1.5829003675028148,-0.012363959713774353,0.9491940997325369,0.05214197048226618,1.0,0.050000000000000044,False,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0
component_iid,4,4,0,always_graph,1.5706342659184274,-9.785812938689631e-05,0.9264926924957898,0.07634912050230086,1.0,0.050000000000000044,True,False,False,0.25,0.2,0.25,1.25,0.0,0.0,0.0
component_iid,4,4,0,always_amplitude_graph,1.6312733208486727,-0.06073691305963225,1.2067141587814234,0.18790109450121206,0.08125,0.8687499999999999,True,True,False,0.25,0.2,0.25,1.25,0.217133168652147,0.0,0.0
component_iid,4,4,0,always_low_rank_drift,1.635277150226716,-0.06474074243767558,1.205162201355306,0.18661416481778184,0.0875,0.8624999999999999,True,False,True,0.25,0.2,0.25,1.25,0.217133168652147,132.55634988353614,0.0
component_iid,4,4,0,dg_covgate,1.5705364077890405,0.0,0.9262176438288883,0.07664603542043946,1.0,0.050000000000000044,False,False,False,0.0,0.0,0.25,1.25,0.0,0.0,0.0
component_iid,4,5,0,component_iid,1.5782462274399365,0.0,1.0158298630772922,0.015705877532610206,0.9,0.04999999999999993,False,False,False,0.0,0.0,0.25,1.25,0.0,0.0,0.0
component_iid,4,5,0,diagonal_shrinkage,1.5918130625196567,-0.01356683507972023,1.021836463723092,0.021601463051073848,0.90625,0.043749999999999956,False,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0
component_iid,4,5,0,always_graph,1.5782462274399365,0.0,1.0158298630772922,0.015705877532610206,0.9,0.04999999999999993,True,False,False,0.0,0.2,0.25,1.25,0.0,0.0,0.0
component_iid,4,5,0,always_amplitude_graph,1.6460025428056202,-0.06775631536568372,1.2946419242433749,0.2582341505407926,0.00625,0.94375,True,True,False,0.0,0.2,0.25,1.25,0.2186605962080085,0.0,0.0
component_iid,4,5,0,always_low_rank_drift,1.6480239888146877,-0.06977776137475122,1.2889859726600013,0.25385584155493673,0.00625,0.94375,True,False,True,0.0,0.2,0.25,1.25,0.2186605962080085,142.42437947083312,0.0
component_iid,4,5,0,dg_covgate,1.5782462274399365,0.0,1.0158298630772922,0.015705877532610206,0.9,0.04999999999999993,False,False,False,0.0,0.0,0.25,1.25,0.0,0.0,0.0
component_iid,4,6,0,component_iid,1.5826271087883321,0.0,1.0107822880999466,0.010724573723003278,0.91875,0.03125,False,False,False,0.0,0.0,0.25,1.25,0.0,0.0,0.0
component_iid,4,6,0,diagonal_shrinkage,1.596888615086993,-0.014261506298660853,1.031629576478164,0.03113966510472117,0.88125,0.06874999999999998,False,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0
component_iid,4,6,0,always_graph,1.5826271087883321,0.0,1.0107822880999466,0.010724573723003278,0.91875,0.03125,True,False,False,0.0,0.2,0.25,1.25,0.0,0.0,0.0
component_iid,4,6,0,always_amplitude_graph,1.6554002664653307,-0.07277315767699855,1.3156501571498032,0.27433095952986786,0.00625,0.94375,True,True,False,0.0,0.2,0.25,1.25,0.22355314371578583,0.0,0.0
component_iid,4,6,0,always_low_rank_drift,1.6592499295201157,-0.07662282073178361,1.3137422083986396,0.2728797123816475,0.00625,0.94375,True,False,True,0.0,0.2,0.25,1.25,0.22355314371578583,135.85537738132376,0.0
component_iid,4,6,0,dg_covgate,1.5826271087883321,0.0,1.0107822880999466,0.010724573723003278,0.91875,0.03125,False,False,False,0.0,0.0,0.25,1.25,0.0,0.0,0.0
component_iid,4,7,0,component_iid,1.5769618551928684,0.0,0.9951072927725001,0.004904715704828266,0.95,0.0,False,False,False,0.0,0.0,0.25,1.25,0.0,0.0,0.0
component_iid,4,7,0,diagonal_shrinkage,1.5875991478258997,-0.01063729263303137,1.0067617034747607,0.006738945687827021,0.9125,0.03749999999999998,False,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0
component_iid,4,7,0,always_graph,1.5769618551928684,0.0,0.9951072927725001,0.004904715704828266,0.95,0.0,True,False,False,0.0,0.2,0.25,1.25,0.0,0.0,0.0
component_iid,4,7,0,always_amplitude_graph,1.6633527133093082,-0.08639085811643987,1.3267730838605565,0.28274974137651215,0.00625,0.94375,True,True,False,0.0,0.2,0.25,1.0,0.23098692862003195,0.0,0.0
component_iid,4,7,0,always_low_rank_drift,1.667081755264278,-0.09011990007140969,1.324665982214418,0.28116033876366026,0.00625,0.94375,True,False,True,0.0,0.2,0.25,1.0,0.23098692862003195,132.9377319100063,0.0
component_iid,4,7,0,dg_covgate,1.5769618551928684,0.0,0.9951072927725001,0.004904715704828266,0.95,0.0,False,False,False,0.0,0.0,0.25,1.25,0.0,0.0,0.0
component_iid,8,0,0,component_iid,1.5205232471834624,0.0,1.0168875287771595,0.01674651977786705,0.925,0.02499999999999991,False,False,False,0.0,0.0,0.25,1.25,0.0,0.0,0.0
component_iid,8,0,0,diagonal_shrinkage,1.5357715755506978,-0.015248328367235331,1.0282589756889102,0.027867057182357654,0.9,0.04999999999999993,False,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0
component_iid,8,0,0,always_graph,1.5205232471834624,0.0,1.0168875287771595,0.01674651977786705,0.925,0.02499999999999991,True,False,False,0.0,0.2,0.25,1.25,0.0,0.0,0.0
component_iid,8,0,0,always_amplitude_graph,1.5469493690015823,-0.026426121818119874,1.1404222332933167,0.13139857391449006,0.325,0.625,True,True,False,0.0,0.2,0.25,1.25,0.14632935465497318,0.0,0.0
component_iid,8,0,0,always_low_rank_drift,1.5503266931082786,-0.029803445924816208,1.1384318113429759,0.1296517113094205,0.33125,0.6187499999999999,True,False,True,0.0,0.2,0.25,1.25,0.14632935465497318,87.01224247460075,0.0
component_iid,8,0,0,dg_covgate,1.5205232471834624,0.0,1.0168875287771595,0.01674651977786705,0.925,0.02499999999999991,False,False,False,0.0,0.0,0.25,1.25,0.0,0.0,0.0
component_iid,8,1,0,component_iid,1.5296325101319665,0.0,0.9902316261283184,0.009816397433047458,0.9625,0.012500000000000067,False,False,False,0.0,0.0,0.25,1.25,0.0,0.0,0.0
component_iid,8,1,0,diagonal_shrinkage,1.5443009147000502,-0.014668404568083604,1.0104289559288548,0.0103749495303467,0.94375,0.006249999999999978,False,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0
component_iid,8,1,0,always_graph,1.5296325101319665,0.0,0.9902316261283184,0.009816397433047458,0.9625,0.012500000000000067,True,False,False,0.0,0.2,0.25,1.25,0.0,0.0,0.0
component_iid,8,1,0,always_amplitude_graph,1.548472036735978,-0.01883952660401156,1.0903981564628045,0.08654291070066823,0.625,0.32499999999999996,True,True,False,0.0,0.2,0.25,1.25,0.13371988304273863,0.0,0.0
component_iid,8,1,0,always_low_rank_drift,1.5518844688591553,-0.02225195872718877,1.088467104433537,0.08477038022848567,0.6375,0.3125,True,False,True,0.0,0.2,0.25,1.25,0.13371988304273863,87.50235245903954,0.0
