total_budget,fixed_learned_gain_vs_support_pct,adaptive_learned_gain_vs_support_pct,fixed_over_adaptive_retention,minimum_fixed_retention,retention_ratio_point_threshold_pass,minimum_same_budget_gain_pct,same_budget_union_direct_pass,current_checkpoint_path_pass
4,1.1219123074645876,1.0393023534631682,1.0794859683769078,0.8,True,5.0,False,False
6,1.3698907340286346,1.3673654663711647,1.0018468125161677,0.8,True,5.0,False,False
8,1.1767674999715507,1.1767674999715507,1.0,0.8,True,5.0,False,False
