total_budget,query_strategy,method,independent_field_count,model_seed_count,source_domain_count,mean_field_rel_l2,mean_audit_reprojection_rel_l2,mean_improvement_vs_support_pct,mean_improvement_vs_union_pct,median_improvement_vs_union_pct,p10_improvement_vs_union_pct,cvar10_improvement_vs_union_pct,harm_rate_gt_1pct_vs_union,improvement_vs_union_ci95_cluster_low,improvement_vs_union_ci95_cluster_high,maximum_support_correction_leakage
4,adaptive_energy,learned_query_correction,88,3,5,0.44403811410724003,0.5925699542053087,1.0393023534631682,-20.441733666492027,-17.656921079433456,-50.93137355770214,-61.99865023455702,0.9174999999999998,-24.36963298219973,-16.73750956177339,1.8864611650365095e-09
4,adaptive_energy,numeric_query_null_update,88,3,5,0.41611274576891866,0.5441665436993294,6.4367021929022625,-13.020548915400187,-11.891277766283443,-35.96029331212886,-45.66846177939926,0.6575,-15.997983838125782,-10.116794625167362,2.5664770311720493e-16
4,adaptive_energy,support_fit_base,88,3,5,0.4487630297294967,0.6051603885983184,0.0,-21.854134833202615,-19.437641274833634,-51.974257455217106,-65.93835438619823,0.9174999999999998,-25.911612473396506,-18.016016486709823,0.0
4,adaptive_energy,support_physics_lift,88,3,5,0.8201075738833493,0.9593031651373012,-113.660308504629,-161.69937029180258,-143.5456023068638,-312.23111350493974,-372.4974323393451,0.9999999999999998,-179.53407201480914,-144.43796882148172,0.0
4,adaptive_energy,union_physics_lift,88,3,5,0.7086485569526075,0.6681617315900403,-79.57140463647899,-118.71982062715523,-115.4066403382799,-227.28190469388676,-259.3601461536761,0.9999999999999998,-130.38078132556862,-107.20944509853877,0.0
4,adaptive_energy,union_support_fit_direct,88,3,5,0.3864731084683056,0.5078261428306906,15.35933497011566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,fixed,learned_query_correction,88,3,5,0.4436919077681882,0.5912222970554516,1.1219123074645876,-20.170134143319455,-16.036418918392915,-54.53487748406138,-66.43301869842229,0.8799999999999999,-24.320433425984294,-16.273292623214786,1.8864611650365095e-09
4,fixed,numeric_query_null_update,88,3,5,0.4176192102207288,0.5301007251050295,5.745017912709743,-13.884701493803707,-7.967801913101778,-39.41410774868222,-54.66712659195077,0.645,-17.445798013448982,-10.457566624257634,2.586342918499343e-16
4,fixed,support_fit_base,88,3,5,0.4487630297294967,0.6051603885983184,0.0,-21.694109890113175,-18.134829078448544,-55.617122278140634,-70.19262762331948,0.8799999999999999,-26.032396173388584,-17.52634432318603,0.0
4,fixed,support_physics_lift,88,3,5,0.8201075738833493,0.9593031651373012,-113.660308504629,-159.9734988967267,-146.200418963684,-293.2690280611582,-353.89635527087944,0.9999999999999998,-176.38973183836163,-143.85912006764696,0.0
4,fixed,union_physics_lift,88,3,5,0.7193358935808383,0.6426008246457223,-84.51822996590394,-124.45822324164361,-115.95071582239189,-233.7010535801462,-280.82631724285494,0.9999999999999998,-137.5032215604109,-111.80838681194655,0.0
4,fixed,union_support_fit_direct,88,3,5,0.38570718245093794,0.498837028890206,15.25380969495319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,max_gap,learned_query_correction,88,3,5,0.4445962895301964,0.5919717131712618,0.8966735012792927,-13.75863355350768,-6.575440980128778,-38.30509235296429,-47.49801155437298,0.8224999999999999,-17.19808728494489,-10.494361687381343,1.8864611650365095e-09
4,max_gap,numeric_query_null_update,88,3,5,0.4302727569403687,0.5688572377585366,4.433888914748433,-9.419132220996485,-3.1147221361512716,-30.991468551095974,-38.72365751044185,0.6349999999999999,-12.290512837367526,-6.711556615149832,1.753119556533743e-16
4,max_gap,support_fit_base,88,3,5,0.4487630297294967,0.6051603885983184,0.0,-14.771619249353034,-7.523354132990883,-39.68561286511651,-48.31671559107109,0.8674999999999997,-18.12857742956597,-11.535991210926985,0.0
4,max_gap,support_physics_lift,88,3,5,0.8201075738833493,0.9593031651373012,-113.660308504629,-151.32373980510914,-100.7371553527439,-291.35440173847684,-369.88125290268084,0.9999999999999998,-172.27109612806976,-131.1116083273687,0.0
