seed,source_split,sample_index,sample_seed,family_id,noise_level,total_budget,support_count,query_strategy,query_index,query_angle_deg,audit_index,audit_angle_deg,audit_count,support_fit_residual_weight,union_fit_residual_weight,method,alpha,field_rel_l2,gradient_rel_l2,support_reprojection_rel_l2,audit_reprojection_rel_l2,qfit_noisy_residual,support_correction_leakage,correction_norm_ratio,field_improvement_vs_support_pct,field_improvement_vs_union_pct
20260710,test_iid,80,20460710,0,0.02,4,3,fixed,4,80.0,3,60.0,1,0.3306824862957001,0.3944273591041565,support_physics_lift,0.0,0.7053441369519698,0.8631010260029038,0.7189900881772314,0.8751373832615863,0.4727903089209557,0.0,0.0,-181.84313806008652,-295.0315175316455
20260710,test_iid,80,20460710,0,0.02,4,3,fixed,4,80.0,3,60.0,1,0.3306824862957001,0.3944273591041565,union_physics_lift,0.0,0.5796303414029935,0.7241703206344836,0.45040496863149493,0.46610160391140343,0.3512579018047592,0.0,0.0,-131.6101116851468,-224.62487653381103
20260710,test_iid,80,20460710,0,0.02,4,3,fixed,4,80.0,3,60.0,1,0.3306824862957001,0.3944273591041565,support_fit_base,0.0,0.25026124169813146,0.357444506735935,0.2540583780889726,0.4358435602027213,0.3768431075079697,0.0,0.0,0.0,-40.16006217168511
20260710,test_iid,80,20460710,0,0.02,4,3,fixed,4,80.0,3,60.0,1,0.3306824862957001,0.3944273591041565,union_support_fit_direct,0.0,0.17855388890394427,0.2985458425778249,0.146286729357398,0.3570335266591771,0.28872373236342963,0.0,0.0,28.652999684383833,0.0
20260710,test_iid,80,20460710,0,0.02,4,3,fixed,4,80.0,3,60.0,1,0.3306824862957001,0.3944273591041565,learned_query_correction,0.0,0.25026124169813146,0.357444506735935,0.2540583780889726,0.4358435602027213,0.3768431075079697,0.0,0.0,0.0,-40.16006217168511
20260710,test_iid,80,20460710,0,0.02,4,3,fixed,4,80.0,3,60.0,1,0.3306824862957001,0.3944273591041565,numeric_query_null_update,0.0,0.24295803137903163,0.3961262698466313,0.2540583780889726,0.20404397110942218,0.001122178018408531,1.2895294829938854e-16,0.19563230542118795,2.9182346693060386,-36.0698626448701
20260710,test_iid,81,20460711,0,0.05,4,3,fixed,4,80.0,3,60.0,1,0.0,0.13378041982650757,support_physics_lift,0.0,0.8882961787909796,1.0498181109017217,1.0860884977596938,0.9735096061087328,0.6111077763884376,0.0,0.0,-101.26482483458224,-253.42893722556192
20260710,test_iid,81,20460711,0,0.05,4,3,fixed,4,80.0,3,60.0,1,0.0,0.13378041982650757,union_physics_lift,0.0,0.7087842125693165,0.8451881102479825,0.7018731903378033,0.5370165371322234,0.6896316947168468,0.0,0.0,-60.5920793022892,-182.00599862047443
20260710,test_iid,81,20460711,0,0.05,4,3,fixed,4,80.0,3,60.0,1,0.0,0.13378041982650757,support_fit_base,0.0,0.4413568935953163,0.5908853266365834,0.44381529389484725,0.625946366491858,0.5187017203355656,0.0,0.0,0.0,-75.60392756958002
20260710,test_iid,81,20460711,0,0.05,4,3,fixed,4,80.0,3,60.0,1,0.0,0.13378041982650757,union_support_fit_direct,0.0,0.2513365729930387,0.38052916409719595,0.21693282014222162,0.35705949426231637,0.25154062825252305,0.0,0.0,43.05366549368508,0.0
20260710,test_iid,81,20460711,0,0.05,4,3,fixed,4,80.0,3,60.0,1,0.0,0.13378041982650757,learned_query_correction,0.1261195334534888,0.44148597127591027,0.5908669802551703,0.4438152938931832,0.6243321090003412,0.5185658194477344,1.5421044609881672e-10,0.008296642617212246,-0.02924564733591936,-75.65528407494506
20260710,test_iid,81,20460711,0,0.05,4,3,fixed,4,80.0,3,60.0,1,0.0,0.13378041982650757,numeric_query_null_update,0.0,0.4575664539905208,0.6815484424254156,0.44381529389484725,0.3821573177534655,0.001443047369114114,1.3663139860678512e-16,0.24695074429491456,-3.672665054152398,-82.05327165114709
20260710,test_iid,82,20460712,0,0.02,4,3,fixed,4,80.0,3,60.0,1,0.8281695246696472,0.4861876368522644,support_physics_lift,0.0,0.7187117013996399,0.8999607339442205,0.7595775983845708,0.8793315499113523,0.6500809720077264,0.0,0.0,-184.9162638597812,-240.58908662691883
20260710,test_iid,82,20460712,0,0.02,4,3,fixed,4,80.0,3,60.0,1,0.8281695246696472,0.4861876368522644,union_physics_lift,0.0,0.6057526416504877,0.7769761262503286,0.48488951820923015,0.5649738015080074,0.7018946039826266,0.0,0.0,-140.13631494546456,-187.05910664854494
20260710,test_iid,82,20460712,0,0.02,4,3,fixed,4,80.0,3,60.0,1,0.8281695246696472,0.4861876368522644,support_fit_base,0.0,0.25225365925460047,0.42952785962185763,0.25653670640977577,0.4672296843664907,0.3360449177522287,0.0,0.0,0.0,-19.54006486429871
20260710,test_iid,82,20460712,0,0.02,4,3,fixed,4,80.0,3,60.0,1,0.8281695246696472,0.4861876368522644,union_support_fit_direct,0.0,0.21102017933549072,0.3412838383660174,0.21665074499338358,0.3851298343964395,0.2687848835994486,0.0,0.0,16.346038365028914,0.0
20260710,test_iid,82,20460712,0,0.02,4,3,fixed,4,80.0,3,60.0,1,0.8281695246696472,0.4861876368522644,learned_query_correction,0.0,0.25225365925460047,0.42952785962185763,0.25653670640977577,0.4672296843664907,0.3360449177522287,0.0,0.0,0.0,-19.54006486429871
20260710,test_iid,82,20460712,0,0.02,4,3,fixed,4,80.0,3,60.0,1,0.8281695246696472,0.4861876368522644,numeric_query_null_update,0.0,0.234941966570369,0.41175407609062087,0.2565367064097758,0.39649222003029605,0.0005534705488344585,8.242967817576031e-17,0.12015763748606553,6.862811320683396,-11.336255760039343
20260710,test_iid,83,20460713,0,0.05,4,3,fixed,4,80.0,3,60.0,1,0.29767942428588867,0.3094392418861389,support_physics_lift,0.0,0.6612228673655041,0.8392102086212713,0.6132380854283623,0.8700269572004449,0.4954108054037004,0.0,0.0,-187.78431174408476,-301.0887751053675
20260710,test_iid,83,20460713,0,0.05,4,3,fixed,4,80.0,3,60.0,1,0.29767942428588867,0.3094392418861389,union_physics_lift,0.0,0.5796629009222004,0.742144844904437,0.4884622868431087,0.38517740568176956,0.5629886648548899,0.0,0.0,-152.2869326194955,-251.61561158840252
