sample_index,sample_seed,source_split,family_id,noise_level,total_budget,support_count,query_strategy,method,model_seed_count,field_rel_l2,gradient_rel_l2,support_reprojection_rel_l2,audit_reprojection_rel_l2,qfit_noisy_residual,support_correction_leakage,correction_norm_ratio,field_improvement_vs_support_pct,field_improvement_vs_union_pct
80,20460710,test_iid,0,0.02,4,3,adaptive_energy,learned_query_correction,3,0.25942048712706267,0.3831436478280841,0.2654717285194658,0.44936377687641804,0.2819005553309535,6.634422624726314e-10,0.03378960480067567,-2.594385366063804,-46.59688416595062
80,20460710,test_iid,0,0.02,4,3,adaptive_energy,numeric_query_null_update,3,0.23151927025802155,0.3636142146401902,0.2654717285363448,0.3294420934736917,0.0006414815602892404,8.178431092931325e-17,0.1162988016129391,8.583785575423073,-30.991468551095974
80,20460710,test_iid,0,0.02,4,3,adaptive_energy,support_fit_base,3,0.25320776742829926,0.37135055025450536,0.2654717285363449,0.44243918455535525,0.2950049053330165,0.0,0.0,0.0,-43.1397530527596
80,20460710,test_iid,0,0.02,4,3,adaptive_energy,support_physics_lift,3,0.7053441369519698,0.8631010260029038,0.7189900881772314,0.8751373832615862,0.8521633450660927,0.0,0.0,-180.023450933722,-298.4062296716828
80,20460710,test_iid,0,0.02,4,3,adaptive_energy,union_physics_lift,3,0.4888941012208822,0.6220227993237163,0.42641868108730246,0.49355050338189094,0.4066538410839815,0.0,0.0,-94.09222561443086,-176.14669970599525
80,20460710,test_iid,0,0.02,4,3,adaptive_energy,union_support_fit_direct,3,0.17790206432701763,0.27755545762514827,0.1705480277741549,0.29620997186459613,0.2153415642535154,0.0,0.0,29.33236071874052,0.0
80,20460710,test_iid,0,0.02,4,3,fixed,learned_query_correction,3,0.25320776742829926,0.37135055025450536,0.2654717285363449,0.44243918455535525,0.38383495050882216,0.0,0.0,0.0,-40.5515672191918
80,20460710,test_iid,0,0.02,4,3,fixed,numeric_query_null_update,3,0.2508353016853333,0.4154482133324486,0.2654717285363449,0.21723156280692177,0.0011844618177106667,1.330765259509696e-16,0.20388792273447373,0.9330056760193338,-39.240838371039395
80,20460710,test_iid,0,0.02,4,3,fixed,support_fit_base,3,0.25320776742829926,0.37135055025450536,0.2654717285363449,0.44243918455535525,0.38383495050882216,0.0,0.0,0.0,-40.5515672191918
80,20460710,test_iid,0,0.02,4,3,fixed,support_physics_lift,3,0.7053441369519698,0.8631010260029038,0.7189900881772314,0.8751373832615862,0.4727903089209557,0.0,0.0,-180.023450933722,-293.2690280611582
80,20460710,test_iid,0,0.02,4,3,fixed,union_physics_lift,3,0.5796303414029935,0.7241703206344837,0.450404968631495,0.46610160391140343,0.3512579018047592,0.0,0.0,-130.11474819512117,-223.17651633631553
