rig_id,method,relative_aperture_residual_error,relative_operator_error,mean_probe_forward_relative_error,mean_probe_gradient_cosine,worst_probe_gradient_cosine
dco-rig-030,thin_ray_high_fidelity,1.0,0.08395919586492753,0.0391216307282153,0.9993867029438922,0.9991813718266545
dco-rig-031,thin_ray_high_fidelity,1.0,0.09491177674197554,0.04686382286027729,0.9990197683230426,0.998823287145397
dco-rig-032,thin_ray_high_fidelity,1.0,0.09497694056325154,0.03580308850917131,0.9987975101124955,0.9985180195151531
dco-rig-033,thin_ray_high_fidelity,1.0,0.1267039373327072,0.06319573889283538,0.9990311733428536,0.9987310091261395
dco-rig-034,thin_ray_high_fidelity,1.0,0.053523273946032165,0.018812235777031762,0.9997602962854272,0.9997204701833533
dco-rig-035,thin_ray_high_fidelity,1.0,0.08880999131404424,0.03424000977617549,0.9993691539946395,0.9990900325424698
dco-rig-036,thin_ray_high_fidelity,1.0,0.1382546080486491,0.07622223780227047,0.9986200182191004,0.9978956608758812
dco-rig-037,thin_ray_high_fidelity,1.0,0.07372654973779959,0.029785117632578788,0.9995812513624409,0.9992385266500727
dco-rig-038,thin_ray_high_fidelity,1.0,0.09239228824943936,0.051713681031984406,0.9990339323046121,0.9987981326578447
dco-rig-039,thin_ray_high_fidelity,1.0,0.1349907353079817,0.06906027032439369,0.9987852535180691,0.998372374927416
dco-rig-040,thin_ray_high_fidelity,1.0,0.07705053952114936,0.04239457529927441,0.999159746487234,0.9988727319617348
dco-rig-041,thin_ray_high_fidelity,1.0,0.15824072111647047,0.08252832685968212,0.9983218202263087,0.9978913549468046
dco-rig-030,full_matrix_geometry_ridge,0.700838376660946,0.058841826535734214,0.015088413376440365,0.9996059113685849,0.9994966870829267
dco-rig-031,full_matrix_geometry_ridge,0.8281299570997013,0.07859928560158862,0.013279889171610866,0.9994168063009248,0.9991388793050227
dco-rig-032,full_matrix_geometry_ridge,0.8341991495790267,0.0792296830474822,0.014428891637273851,0.9992570606931201,0.9991157470618472
dco-rig-033,full_matrix_geometry_ridge,0.58727652290179,0.07441024775471859,0.014787576130464893,0.999615726278923,0.9992979941805644
dco-rig-034,full_matrix_geometry_ridge,1.418147888415064,0.07590391792762653,0.03100796097931989,0.9993970191793609,0.9992484145891972
dco-rig-035,full_matrix_geometry_ridge,1.0199927346571103,0.0905855459052862,0.015716071585615013,0.9991432004731126,0.998710519889218
dco-rig-036,full_matrix_geometry_ridge,0.49177958670964367,0.06799079400686844,0.022843184828723665,0.999620845806724,0.9994868853499745
dco-rig-037,full_matrix_geometry_ridge,0.8706031257682334,0.06418656465383545,0.022728604078514382,0.9995396444368652,0.9994450620870541
dco-rig-038,full_matrix_geometry_ridge,0.6789193349294079,0.06272691089091552,0.011359807508038394,0.9995936389895799,0.9994373389384397
dco-rig-039,full_matrix_geometry_ridge,0.6024739301211899,0.081328398830949,0.025052381758549406,0.9995225600513294,0.9992431721493426
dco-rig-040,full_matrix_geometry_ridge,1.1379196323552154,0.08767732160467727,0.031082813423478732,0.9994863392293496,0.9993437414140173
dco-rig-041,full_matrix_geometry_ridge,0.6016246542686454,0.0952015191329177,0.03476357077278844,0.9994162450935925,0.999237613260398
dco-rig-030,direct_ray_conditioned_kernel,1.7633584564724247,0.1480501580270446,0.16929153228939933,0.9941554450915646,0.9884673592565423
dco-rig-031,direct_ray_conditioned_kernel,1.673513105234261,0.15883610221876437,0.1726657290384519,0.9919876861631837,0.9862225286835272
dco-rig-032,direct_ray_conditioned_kernel,1.93072644282031,0.18337449060364264,0.1941249405727869,0.9867135965522115,0.9825370354006857
dco-rig-033,direct_ray_conditioned_kernel,1.3537415286679377,0.17152438181302568,0.18623881151607283,0.9917898982500623,0.9870533672755372
dco-rig-034,direct_ray_conditioned_kernel,4.159821299505405,0.22264725497996735,0.2489804941832469,0.9747089789127544,0.9657296591773851
dco-rig-035,direct_ray_conditioned_kernel,2.4648003973075014,0.218898901875732,0.2372587779948211,0.9822129960959946,0.9648164305197316
dco-rig-036,direct_ray_conditioned_kernel,1.3435049632368918,0.18574575210373123,0.18981931304009164,0.9889850483615538,0.9840539700783444
dco-rig-037,direct_ray_conditioned_kernel,2.287306135450821,0.1686351895608891,0.18525339328438364,0.9902080414982467,0.9837609146634928
dco-rig-038,direct_ray_conditioned_kernel,1.7338199985023612,0.1601915970742727,0.18161016142109182,0.9911446925582794,0.9887335689612913
dco-rig-039,direct_ray_conditioned_kernel,1.3603798932508548,0.18363868208812653,0.20882680294504233,0.9869856325517552,0.9811417282534921
dco-rig-040,direct_ray_conditioned_kernel,2.2700584804041943,0.17490923065970362,0.1905781755104088,0.9882647168182859,0.984417803538593
dco-rig-041,direct_ray_conditioned_kernel,1.3818084509058222,0.2186583657161703,0.2347060799813517,0.9801756902800732,0.9747400869442878
