phase,weight_decay,step,batch_data_loss,regularizer,total_loss,learning_rate
refit_all_30,1e-05,1.0,0.797713041305542,0.0,0.797713041305542,0.03
refit_all_30,1e-05,250.0,0.506738007068634,3.72172209717192e-10,0.506738007068634,0.03
refit_all_30,1e-05,500.0,0.7569883465766907,3.8690881054570525e-10,0.7569883465766907,0.03
refit_all_30,1e-05,750.0,3.903703451156616,5.472809427864433e-10,3.903703451156616,0.03
refit_all_30,1e-05,1000.0,5.991574287414551,6.254619044909759e-10,5.991574287414551,0.03
refit_all_30,1e-05,1250.0,1.7864570617675781,4.194039837646102e-10,1.7864570617675781,0.03
refit_all_30,1e-05,1500.0,1.221225619316101,4.179762091993666e-10,1.221225619316101,0.03
refit_all_30,1e-05,1750.0,13.268577575683594,6.141323005692811e-10,13.268577575683594,0.03
refit_all_30,1e-05,2000.0,2.3678083419799805,4.770610018134391e-10,2.3678083419799805,0.03
refit_all_30,1e-05,2250.0,5.611998081207275,5.908049605096721e-10,5.611998081207275,0.03
refit_all_30,1e-05,2500.0,2.4176650047302246,5.358941623789804e-10,2.4176650047302246,0.03
