total_budget,method,minimum_gain_pct,maximum_harm_rate_gt_1pct,mean_gain_pct,ci95_low,ci95_high,p10_gain_pct,harm_rate_gt_1pct,development_gate_pass
4,unet,5.0,0.05,-0.6806530874871475,-3.5238378773509513,2.1690365191984604,-16.981932057004098,0.625,False
4,fno,5.0,0.05,-2.157901422751405,-5.1166645223296765,0.8842379337704652,-17.98324734056034,0.65625,False
4,ridge_unet,5.0,0.05,18.555026207570698,16.129632523201348,20.936640163065665,1.6549333968391202,0.0,True
4,ridge_fno,5.0,0.05,21.53849836804634,19.11448779883144,23.97390068272114,4.274020189304392,0.0,True
6,unet,5.0,0.05,-19.025491069125252,-23.290945149744562,-14.686580153943126,-37.681916122037485,0.7708333333333333,False
6,fno,5.0,0.05,-16.101086364114686,-20.624377428296416,-11.66799272860172,-36.09997953181483,0.7604166666666666,False
6,ridge_unet,5.0,0.05,16.098881570992027,13.532208757863993,18.635473514555304,-0.907972511678861,0.08333333333333333,False
6,ridge_fno,5.0,0.05,19.67839140029911,17.224227101329618,22.0868408840626,3.188330121247462,0.0,True
8,unet,5.0,0.05,-21.430152189915354,-26.21342474530882,-16.648571473858667,-53.54536921392046,0.7395833333333334,False
8,fno,5.0,0.05,-21.529296576362103,-26.525442898379726,-16.517728622216165,-52.19923594498194,0.7604166666666666,False
8,ridge_unet,5.0,0.05,14.394538501413649,11.94098855190486,16.741286208649274,-2.357052379944013,0.17708333333333331,False
8,ridge_fno,5.0,0.05,16.909212524801557,14.609924237480694,19.21070074214928,0.6907402476063137,0.041666666666666664,True
