source_index,sample_seed,source_split,family_id,noise_level,total_budget,method,classical_champion,ridge_relative,model_seed_count,field_rel_l2,gradient_rel_l2,observed_reprojection_rel_l2,audit_reprojection_rel_l2,improvement_vs_classical_pct
160,20460721,test_iid,0,0.02,4,fno,ridge,1e-06,3,0.25929872691631317,0.37393396099408466,0.1600543111562729,0.20652572313944498,37.93178734115256
160,20460721,test_iid,0,0.02,4,physics_lift,ridge,1e-06,3,0.5408259630203247,0.6846710443496704,0.3837748169898987,0.46344926953315735,-29.457252965757743
160,20460721,test_iid,0,0.02,4,ridge,ridge,1e-06,3,0.4177641272544861,0.4512309432029724,0.3738771080970764,0.4291818141937256,0.0
160,20460721,test_iid,0,0.02,4,ridge_fno,ridge,1e-06,3,0.1558963805437088,0.29020455479621887,0.15115822354952493,0.13588725278774896,62.683157702200354
160,20460721,test_iid,0,0.02,4,ridge_unet,ridge,1e-06,3,0.16976384818553925,0.30652596553166706,0.16528346637884775,0.17794333398342133,59.3637085831644
160,20460721,test_iid,0,0.02,4,unet,ridge,1e-06,3,0.22185906767845154,0.4172847966353099,0.16208970050017038,0.2122717797756195,46.8937007260625
160,20460721,test_iid,0,0.02,6,fno,ridge,1e-06,3,0.18079901238282522,0.28733824690183,0.13485589623451233,0.13742780685424805,50.133787953038656
160,20460721,test_iid,0,0.02,6,physics_lift,ridge,1e-06,3,0.3870634436607361,0.4892858564853668,0.33284005522727966,0.43261730670928955,-6.756046411844028
160,20460721,test_iid,0,0.02,6,ridge,ridge,1e-06,3,0.3625681698322296,0.3924700915813446,0.3346085548400879,0.33905860781669617,0.0
160,20460721,test_iid,0,0.02,6,ridge_fno,ridge,1e-06,3,0.1709988514582316,0.2854760487874349,0.17755364874998728,0.18598956863085428,52.836772312945754
160,20460721,test_iid,0,0.02,6,ridge_unet,ridge,1e-06,3,0.18490825593471527,0.29591448108355206,0.19028812646865845,0.2003510296344757,49.00041666074342
160,20460721,test_iid,0,0.02,6,unet,ridge,1e-06,3,0.21379167834917703,0.359127680460612,0.1692454715569814,0.19506698350111643,41.03407410294326
160,20460721,test_iid,0,0.02,8,fno,ridge,1e-05,3,0.15779961148897806,0.26578059295813244,0.14727253218491873,0.15933822840452194,56.393691939955666
160,20460721,test_iid,0,0.02,8,physics_lift,ridge,1e-05,3,0.38877394795417786,0.475350558757782,0.3331294059753418,0.5293495655059814,-7.433702657308639
160,20460721,test_iid,0,0.02,8,ridge,ridge,1e-05,3,0.3618733584880829,0.39252814650535583,0.3370159864425659,0.338522344827652,0.0
160,20460721,test_iid,0,0.02,8,ridge_fno,ridge,1e-05,3,0.1806490421295166,0.28852810462315875,0.19007871051629385,0.18950619796911874,50.07948557341325
160,20460721,test_iid,0,0.02,8,ridge_unet,ridge,1e-05,3,0.19043461481730142,0.3164882957935333,0.19243175288041434,0.202341561516126,47.37534268523763
160,20460721,test_iid,0,0.02,8,unet,ridge,1e-05,3,0.17478161056836447,0.30751805504163104,0.1497045507033666,0.17511709034442902,51.70089025090878
161,20460722,test_iid,0,0.05,4,fno,ridge,1e-06,3,0.3217832048734029,0.4490632315476735,0.19108432531356812,0.255835900704066,30.122128628859116
161,20460722,test_iid,0,0.05,4,physics_lift,ridge,1e-06,3,0.5488808751106262,0.6934360861778259,0.36835217475891113,0.5009232759475708,-19.193999587703413
161,20460722,test_iid,0,0.05,4,ridge,ridge,1e-06,3,0.46049371361732483,0.4989498257637024,0.41452285647392273,0.4663378596305847,0.0
161,20460722,test_iid,0,0.05,4,ridge_fno,ridge,1e-06,3,0.23402479787667593,0.3762208620707194,0.22653365631898245,0.20884432892004648,49.17958900267533
