total_budget,method,independent_field_count,model_seed_count,source_domain_count,classical_champion,mean_field_rel_l2,mean_audit_reprojection_rel_l2,mean_improvement_vs_classical_pct,median_improvement_vs_classical_pct,p10_improvement_vs_classical_pct,harm_rate_gt_1pct_vs_classical,improvement_ci95_cluster_low,improvement_ci95_cluster_high
4,fno,96,3,4,ridge,0.5864014649349782,0.633525143791404,-2.157901422751405,-11.030528259154316,-17.98324734056034,0.65625,-5.1166645223296765,0.8842379337704652
4,physics_lift,96,3,4,ridge,0.7460483262936274,0.7670113540564973,-38.11048194110135,-29.130736971239386,-74.65310711293608,1.0,-41.18890932951521,-35.167707819830795
4,ridge,96,3,4,ridge,0.5579373134920995,0.6557429057235519,0.0,0.0,0.0,0.0,0.0,0.0
4,ridge_fno,96,3,4,ridge,0.46130451415148044,0.5598067184910178,21.53849836804634,9.688070298173187,4.274020189304392,0.0,19.11448779883144,23.97390068272114
4,ridge_unet,96,3,4,ridge,0.4770732680335641,0.5753311769157234,18.555026207570698,6.58266334379334,1.6549333968391202,0.0,16.129632523201348,20.936640163065665
4,unet,96,3,4,ridge,0.5809967102896836,0.6565585490833554,-0.6806530874871475,-11.382385002147972,-16.981932057004098,0.625,-3.5238378773509513,2.1690365191984604
6,fno,96,3,4,ridge,0.5358200746381448,0.6226569343254797,-16.101086364114686,-29.370703417069482,-36.09997953181483,0.7604166666666666,-20.624377428296416,-11.66799272860172
6,physics_lift,96,3,4,ridge,0.6315130178506174,0.7402202043061454,-44.904487697598434,-38.711047135901396,-75.49520254974088,1.0,-49.06675310995048,-40.75273103681002
6,ridge,96,3,4,ridge,0.44497674501811463,0.5098560221182803,0.0,0.0,0.0,0.0,0.0,0.0
6,ridge_fno,96,3,4,ridge,0.37609990598219967,0.4524682180231644,19.67839140029911,9.106334843236644,3.188330121247462,0.0,17.224227101329618,22.0868408840626
6,ridge_unet,96,3,4,ridge,0.3920659820238749,0.46485348702925766,16.098881570992027,5.328516477466828,-0.907972511678861,0.08333333333333333,13.532208757863993,18.635473514555304
6,unet,96,3,4,ridge,0.5449325683423214,0.6429796478607588,-19.025491069125252,-30.517682827356754,-37.681916122037485,0.7708333333333333,-23.290945149744562,-14.686580153943126
8,fno,96,3,4,ridge,0.5055339916402266,0.6324765042453591,-21.529296576362103,-41.729779168174645,-52.19923594498194,0.7604166666666666,-26.525442898379726,-16.517728622216165
8,physics_lift,96,3,4,ridge,0.6156176465253035,0.7801912060628334,-54.960764246240814,-56.746524087479294,-80.70371636060841,0.9791666666666667,-59.390643605523714,-50.48013789202443
8,ridge,96,3,4,ridge,0.39950583937267464,0.4929283346670369,0.0,0.0,0.0,0.0,0.0,0.0
8,ridge_fno,96,3,4,ridge,0.3438541241404083,0.4435757135506719,16.909212524801557,7.624022011836815,0.6907402476063137,0.041666666666666664,14.609924237480694,19.21070074214928
8,ridge_unet,96,3,4,ridge,0.35446729397194254,0.44872125010523534,14.394538501413649,4.445790656905332,-2.357052379944013,0.17708333333333331,11.94098855190486,16.741286208649274
8,unet,96,3,4,ridge,0.5071921598994069,0.6316469566793077,-21.430152189915354,-43.604123587551804,-53.54536921392046,0.7395833333333334,-26.21342474530882,-16.648571473858667
