model_seed,variant_index,source_index,sample_seed,source_split,family_id,noise_level,total_budget,method,classical_champion,ridge_relative,inference_ms_per_sample,field_rel_l2,gradient_rel_l2,observed_reprojection_rel_l2,audit_reprojection_rel_l2,improvement_vs_classical_pct
20260721,480,160,20460721,test_iid,0,0.02,4,physics_lift,ridge,1e-06,0.0,0.5408259630203247,0.6846710443496704,0.3837748169898987,0.46344926953315735,-29.457252965757743
20260721,480,160,20460721,test_iid,0,0.02,4,ridge,ridge,1e-06,0.0,0.4177641272544861,0.4512309432029724,0.3738771080970764,0.4291818141937256,0.0
20260721,480,160,20460721,test_iid,0,0.02,4,unet,ridge,1e-06,0.30381726699286243,0.21390509605407715,0.4167606830596924,0.1764824092388153,0.23657062649726868,48.797639122264265
20260721,480,160,20460721,test_iid,0,0.02,4,fno,ridge,1e-06,0.2597975973104541,0.2328820675611496,0.3451579511165619,0.15857292711734772,0.17495326697826385,44.25513049862005
20260721,480,160,20460721,test_iid,0,0.02,4,ridge_unet,ridge,1e-06,0.2871851886286297,0.15998390316963196,0.30562952160835266,0.16042913496494293,0.15772345662117004,61.70472935968653
20260721,480,160,20460721,test_iid,0,0.02,4,ridge_fno,ridge,1e-06,0.2765779786891977,0.15246303379535675,0.28639596700668335,0.14229880273342133,0.14707082509994507,63.50499627673463
20260721,481,160,20460721,test_iid,0,0.02,6,physics_lift,ridge,1e-06,0.0,0.3870634436607361,0.4892858564853668,0.33284005522727966,0.43261730670928955,-6.756046411844028
20260721,481,160,20460721,test_iid,0,0.02,6,ridge,ridge,1e-06,0.0,0.3625681698322296,0.3924700915813446,0.3346085548400879,0.33905860781669617,0.0
20260721,481,160,20460721,test_iid,0,0.02,6,unet,ridge,1e-06,0.30381726699286243,0.19950039684772491,0.3348590135574341,0.1462482064962387,0.17974041402339935,44.97575533437228
20260721,481,160,20460721,test_iid,0,0.02,6,fno,ridge,1e-06,0.2597975973104541,0.17497645318508148,0.28284403681755066,0.13913877308368683,0.12380047887563705,51.73970917894824
20260721,481,160,20460721,test_iid,0,0.02,6,ridge_unet,ridge,1e-06,0.2871851886286297,0.18923905491828918,0.29561176896095276,0.19681678712368011,0.20005477964878082,47.80593812017933
20260721,481,160,20460721,test_iid,0,0.02,6,ridge_fno,ridge,1e-06,0.2765779786891977,0.1717631071805954,0.28020307421684265,0.17244556546211243,0.17478147149085999,52.62598278811921
20260721,482,160,20460721,test_iid,0,0.02,8,physics_lift,ridge,1e-05,0.0,0.38877394795417786,0.475350558757782,0.3331294059753418,0.5293495655059814,-7.433702657308639
20260721,482,160,20460721,test_iid,0,0.02,8,ridge,ridge,1e-05,0.0,0.3618733584880829,0.39252814650535583,0.3370159864425659,0.338522344827652,0.0
20260721,482,160,20460721,test_iid,0,0.02,8,unet,ridge,1e-05,0.30381726699286243,0.16835995018482208,0.3079657554626465,0.1387295424938202,0.15077784657478333,53.475450392709355
