total_budget,method,source_split,independent_field_count,mean_field_rel_l2,mean_audit_reprojection_rel_l2,mean_improvement_vs_classical_pct
6,ridge_unet,test_iid,24,0.2291942039090726,0.3141102436929941,30.237048886240498
6,ridge_unet,test_joint_ood,24,0.5573581688933903,0.6210457078284687,2.67918695769874
6,ridge_unet,test_noise_ood,24,0.22461686831795505,0.3024746891525057,29.414373633328626
6,unet,test_family_ood,24,0.7533704729543792,0.8557923030522135,-32.71217975856984
6,unet,test_iid,24,0.3298518814974361,0.42676678403384155,-2.7888104704198518
6,unet,test_joint_ood,24,0.7563282830847635,0.8385397253765,-32.25520692544347
6,unet,test_noise_ood,24,0.3401796358327071,0.45081977898048026,-8.345767122067844
8,fno,test_family_ood,24,0.710246575375398,0.8373078836335077,-48.35437187581613
8,fno,test_iid,24,0.29967022252579534,0.4215175229021244,4.739501466128234
8,fno,test_joint_ood,24,0.711059125761191,0.8357152177227868,-46.35741749122254
8,fno,test_noise_ood,24,0.30116004289852244,0.4353653927230173,3.8551015954620085
8,physics_lift,test_family_ood,24,0.7556460127234459,0.8992633024851481,-58.078571729626766
8,physics_lift,test_iid,24,0.47328825667500496,0.6496412952740988,-51.717591713061786
8,physics_lift,test_joint_ood,24,0.7552965953946114,0.8873542149861654,-55.63836527910187
8,physics_lift,test_noise_ood,24,0.4782397213081519,0.6845060115059217,-54.408528263172805
8,ridge,test_family_ood,24,0.4799775034189224,0.6055696432789167,0.0
8,ridge,test_iid,24,0.3187745586037636,0.37841592108209926,0.0
8,ridge,test_joint_ood,24,0.48643498743573826,0.6159960950414339,0.0
8,ridge,test_noise_ood,24,0.31283630803227425,0.3717316792656978,0.0
8,ridge_fno,test_family_ood,24,0.46148307000597316,0.5809780429634782,4.075761259941578
8,ridge_fno,test_iid,24,0.21772903555797204,0.299957406707108,32.219510222676206
8,ridge_fno,test_joint_ood,24,0.4669378896554311,0.5918695992893642,4.214224516665875
8,ridge_fno,test_noise_ood,24,0.22926650134225687,0.3014978052427371,27.12735409992258
8,ridge_unet,test_family_ood,24,0.4775410770542092,0.5891378708183765,0.6957453806454788
8,ridge_unet,test_iid,24,0.22587985524700746,0.3049209877434704,29.665507478511813
8,ridge_unet,test_joint_ood,24,0.48133912061651546,0.5976632771392664,1.2401698035792348
8,ridge_unet,test_noise_ood,24,0.23310912297003797,0.30316286471982795,25.97673134291807
8,unet,test_family_ood,24,0.7194527213772138,0.8540126805504163,-50.25298087878625
8,unet,test_iid,24,0.29549350775778294,0.4076113783650928,6.479883014289896
8,unet,test_joint_ood,24,0.7196898907423019,0.8448784359627299,-48.09669874367822
8,unet,test_noise_ood,24,0.29413251972032917,0.42008533183899194,6.149187848513161
