total_budget,method,source_split,independent_field_count,mean_field_rel_l2,mean_audit_reprojection_rel_l2,mean_improvement_vs_classical_pct
4,fno,test_family_ood,24,0.7893277795778381,0.8001767256193691,-14.159217063162094
4,fno,test_iid,24,0.37742639105353093,0.4536202446454101,9.842290946981969
4,fno,test_joint_ood,24,0.799259321557151,0.8269885066482757,-13.626785834248345
4,fno,test_noise_ood,24,0.379592367551393,0.45331509825256133,9.312106259422851
4,physics_lift,test_family_ood,24,0.8550514504313469,0.9009836291273435,-23.854045616743935
4,physics_lift,test_iid,24,0.6270875086386999,0.6170826889574528,-51.16714382491775
4,physics_lift,test_joint_ood,24,0.8614806408683459,0.8948816905419031,-22.60396453211978
4,physics_lift,test_noise_ood,24,0.640573705236117,0.6550974075992902,-54.81677379062395
4,ridge,test_family_ood,24,0.6911488845944405,0.7872540528575579,0.0
4,ridge,test_iid,24,0.41955478861927986,0.5036681021253268,0.0
4,ridge,test_joint_ood,24,0.7031535704930624,0.8059155493974686,0.0
4,ridge,test_noise_ood,24,0.4178920102616151,0.5261339185138544,0.0
4,ridge_fno,test_family_ood,24,0.6506374080975851,0.7415542859170171,5.929558810938912
4,ridge_fno,test_iid,24,0.2598034559438626,0.3465954475104809,38.942625645650864
4,ridge_fno,test_joint_ood,24,0.6626515338818232,0.7663014175163374,5.806331463552428
4,ridge_fno,test_noise_ood,24,0.272125658682651,0.3847757230202357,35.47547755204316
4,ridge_unet,test_family_ood,24,0.6680145147773954,0.7525489909781351,3.403084868154045
4,ridge_unet,test_iid,24,0.27737660250729984,0.3713929000207119,34.74909155016926
4,ridge_unet,test_joint_ood,24,0.6775885000824928,0.7733542968829473,3.6728304868931425
4,ridge_unet,test_noise_ood,24,0.2853134547670682,0.4040285197810995,32.39509792506635
4,unet,test_family_ood,24,0.788886326054732,0.8391565937134956,-14.112414042884865
4,unet,test_iid,24,0.36168112481633824,0.45712675423257876,13.980186894564454
4,unet,test_joint_ood,24,0.8027446568012238,0.8549844067957667,-14.137426628394858
4,unet,test_noise_ood,24,0.3706747334864404,0.4749664415915807,11.547041426766683
6,fno,test_family_ood,24,0.7508515881167518,0.8417008394996325,-32.24639543607473
6,fno,test_iid,24,0.3147699298957984,0.39506384916603565,2.4627325253635775
6,fno,test_joint_ood,24,0.7537513747811317,0.8313447245293194,-31.789376749645598
6,fno,test_noise_ood,24,0.3239074057588975,0.4225183241069317,-2.83130579610199
6,physics_lift,test_family_ood,24,0.7842185472448667,0.8933982277909914,-38.283156146916475
6,physics_lift,test_iid,24,0.47425302118062973,0.5768926590681076,-49.26121802936019
6,physics_lift,test_joint_ood,24,0.7864816412329674,0.8728508452574412,-37.6382101257621
6,physics_lift,test_noise_ood,24,0.48109886174400646,0.6177390851080418,-54.435366488354994
6,ridge,test_family_ood,24,0.568182036280632,0.6415963967641195,0.0
6,ridge,test_iid,24,0.3248057961463928,0.38382988423109055,0.0
6,ridge,test_joint_ood,24,0.5720089102784792,0.6423603271444639,0.0
6,ridge,test_noise_ood,24,0.3149102373669545,0.37163748033344746,0.0
6,ridge_fno,test_family_ood,24,0.5363397598266602,0.6070016432139608,5.743216947280902
6,ridge_fno,test_iid,24,0.21612166075242892,0.30288602546271354,34.22314231522657
6,ridge_fno,test_joint_ood,24,0.5376718329886595,0.6073786566654841,6.129664231522632
6,ridge_fno,test_noise_ood,24,0.21426637036104998,0.2926065467504992,32.617542107166344
6,ridge_unet,test_family_ood,24,0.5570946869750818,0.6217833074430624,2.0649168067002637
