candidate_id,calibration_mode,mean_policy,proximal_covariance_policy,selector_covariance_policy,threshold_policy,uses_truth,uses_exact_nuisance,dense_ceiling_only,case_id,split,family,base_seed,method,model_seed,field_relative_l2,h1_seminorm_relative_error,measured_reprojection_relative_l2,clean_reprojection_relative_l2,field_gain_to_best_matched,h1_gain_to_best_matched,clean_reprojection_ratio_to_base,measured_reprojection_ratio_to_cgls,field_harm,sensor_discrepancy_threshold,selected_discrepancy_threshold,truth_residual_oracle_threshold,raw_discrepancy,selected_discrepancy,alpha,target_crossed,raw_no_correction,correction_norm,measurement_residual_norm,proximal_covariance_scale,residual_closure_relative_error,bisection_iterations,dense_matrix_rows,dense_matrix_columns,dense_setup_forward_equivalents,dense_setup_in_budget,learned_feature_forward_calls,learned_feature_adjoint_calls
paired_isotropic_sensor,paired_static,estimated_flowoff,estimated_isotropic,estimated_structured,empirical_sensor,False,False,True,6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.24631202500250918,0.518714731426584,0.017656827171850156,0.013001372769684844,0.5598686244231982,0.4804685668854799,0.7445847524283228,42.88662952034456,False,175.0996515141997,175.0996515141997,,57821.96152835229,175.09965151419908,0.06198314689188502,True,False,0.6224290941354635,0.06950616681428165,99120.49693673347,9.67189858508065e-16,72,150,1000,1001,False,13,13
paired_structured_sensor,paired_static,estimated_flowoff,estimated_structured,estimated_structured,empirical_sensor,False,False,True,6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.24635276561856895,0.5188379018440757,0.017604199178624432,0.013000877763473041,0.559795825608816,0.480345202539646,0.7445564035697679,42.75880150085366,False,175.0996515141997,175.0996515141997,,57821.96152835229,175.0996515141997,0.062023282138817984,True,False,0.6224137585249893,0.06955316909187483,99120.49693673344,8.577907860314578e-16,72,150,1000,1001,False,13,13
unpaired_isotropic_sensor,unpaired_distribution,zero,estimated_isotropic,estimated_structured,empirical_sensor,False,False,True,6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.24937081883229908,0.5272673221241582,0.012412402079172503,0.017969557422162497,0.5544029102101079,0.47190251037551256,1.0291112101350604,30.148456698704063,False,173.63898871171347,173.63898871171347,,56983.092096558954,173.63898871171313,0.06355151716500414,True,False,0.6245461136586323,0.07941823005915671,19848.27969896602,9.49961549388471e-16,72,150,1000,1001,False,13,13
unpaired_structured_sensor,unpaired_distribution,zero,estimated_structured,estimated_structured,empirical_sensor,False,False,True,6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.24718756833396907,0.5203185867762409,0.016058055312287652,0.01635899777553269,0.5583041287764728,0.47886218631089317,0.9368749380889994,39.00337599119849,False,173.63898871171347,173.63898871171347,,56983.092096558954,173.6389887117134,0.31810405876168396,True,False,0.6179423660755978,0.10274420075658271,19848.27969896602,9.331110151189548e-16,72,150,1000,1001,False,13,13
paired_exact_mean_iid_sensor_oracle,paired_static,exact_persistent_bias_oracle,exact_generator_oracle,exact_generator_oracle,empirical_sensor,False,True,True,6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.24630518612285976,0.518667435658038,0.017630203765126987,0.01303856108670581,0.5598808447177918,0.48051593711987706,0.746714516285786,42.821963985048036,False,177.7743925658761,177.7743925658761,,58455.84329585464,177.77439256587544,0.06221202776160229,True,False,0.6221569902398003,0.06963118245402143,100349.31030809274,9.559729132380116e-16,72,150,1000,1001,False,13,13
unpaired_exact_covariance_sensor_oracle,unpaired_distribution,zero,exact_generator_oracle,exact_generator_oracle,empirical_sensor,False,True,True,6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.24719011893821677,0.5203548427445229,0.016043944182981936,0.016357378934062,0.5582995711388338,0.4788258732586135,0.936782227519352,38.969101499594885,False,174.3086843760646,174.3086843760646,,58220.697547499614,174.30868437606395,0.3165612824373706,True,False,0.6179952229636548,0.10265391356588045,20069.862061618558,9.505325986305361e-16,72,150,1000,1001,False,13,13
paired_structured_truth_residual_oracle,paired_static,estimated_flowoff,estimated_structured,estimated_structured,truth_residual_oracle,True,False,True,6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.2436172817330008,0.47620566901859834,0.169123253248549,0.16833514371501104,0.56468382198419,0.5230445586110998,9.640503624377343,410.78310586340285,False,175.0996515141997,42383.45157245557,42383.45157245557,57821.96152835229,42383.45157245557,9.718744136712324,True,False,0.08549143518428538,1.081259819231789,99120.49693673344,1.055316016519296e-15,72,150,1000,1001,False,13,13
paired_isotropic_sensor,paired_static,estimated_flowoff,estimated_isotropic,estimated_structured,empirical_sensor,False,False,True,cee85dad2f56f6debc94,development,single_interface,2101,jacru_m2,17,0.3900423181644745,0.7066211364857818,0.022983245618073914,0.014626411827048479,0.41467884487479545,0.336334771676965,0.48987854245923645,24.138353551460813,False,181.08093736740915,181.08093736740915,,93434.57789670242,181.08093736740818,0.035971786879831984,True,False,0.917150045173049,0.07957794650659938,77316.76670568805,1.16814406557437e-15,72,150,1000,1001,False,13,13
paired_structured_sensor,paired_static,estimated_flowoff,estimated_structured,estimated_structured,empirical_sensor,False,False,True,cee85dad2f56f6debc94,development,single_interface,2101,jacru_m2,17,0.39009605777989803,0.7067083190402867,0.02293014956520516,0.014633615635265005,0.4145981999490763,0.33625288900044475,0.49011981770233753,24.082588960261162,False,181.08093736740915,181.08093736740915,,93434.57789670242,181.0809373674091,0.03636193304909594,True,False,0.917133996332451,0.07961444579714998,77316.76670568805,9.14778226047973e-16,72,150,1000,1001,False,13,13
unpaired_isotropic_sensor,unpaired_distribution,zero,estimated_isotropic,estimated_structured,empirical_sensor,False,False,True,cee85dad2f56f6debc94,development,single_interface,2101,jacru_m2,17,0.3897324320583445,0.7083958243828803,0.011797364715650153,0.02582496778301354,0.41514387875740294,0.33466796808503246,0.86494881493791,12.39028487160018,False,190.50777786696887,190.50777786696887,,92558.98508073183,190.50777786696875,0.040168003527217506,True,False,0.9134884412314201,0.08601096901705069,17119.52507159161,1.0106845831503246e-15,72,150,1000,1001,False,13,13
unpaired_structured_sensor,unpaired_distribution,zero,estimated_structured,estimated_structured,empirical_sensor,False,False,True,cee85dad2f56f6debc94,development,single_interface,2101,jacru_m2,17,0.3903515986089279,0.7086231681108429,0.025204780535463652,0.02579286269722839,0.41421471988482766,0.33445444471397046,0.8638735277918942,26.47153991486542,False,190.50777786696887,190.50777786696887,,92558.98508073183,190.50777786696875,0.17923785486123842,True,False,0.8970502653676319,0.18376032698569109,17119.52507159161,1.04482999708922e-15,72,150,1000,1001,False,13,13
paired_exact_mean_iid_sensor_oracle,paired_static,exact_persistent_bias_oracle,exact_generator_oracle,exact_generator_oracle,empirical_sensor,False,True,True,cee85dad2f56f6debc94,development,single_interface,2101,jacru_m2,17,0.39000652631776894,0.7065413947863204,0.022926612077418994,0.014737547905571621,0.41473255629040884,0.33640966583232973,0.49360079374036553,24.078873682955013,False,180.5634624687192,180.5634624687192,,92966.55158190496,180.56346246871897,0.03634933604982202,True,False,0.9162145643100524,0.08009873482028784,77024.9261509804,1.1442789729914208e-15,72,150,1000,1001,False,13,13
