reference_kind,case_id,split,family,base_seed,method,model_seed,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,measured_reprojection_relative_l2,clean_reprojection_relative_l2,gate,correction_rms,optimization_forward_calls,optimization_adjoint_calls,grouped_adjoint_calls,evaluation_forward_calls,neural_inference_seconds
raw_learned,6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.24785472577107925,0.025403478643601995,0.028821318826679175,0.0034603782994104917,0.47738947797293424,0.1974321043240691,0.196684547506335,0.7063487768173218,0.04965257334814656,13,13,1,1,0.034573207958601415
raw_learned,cee85dad2f56f6debc94,development,single_interface,2101,jacru_m2,17,0.4197601496572044,0.052212401979301104,0.04804252447442691,0.003069995169834932,0.7038168593465023,0.24984963925703946,0.2497355330848581,0.7063517570495605,0.06235538512672811,13,13,1,1,0.009727333032060415
raw_learned,b06a75091983ab395677,development,smooth_no_interface,2113,jacru_m2,17,0.23642150783266264,0.020391399887584996,0.0259338821214812,0.0001483918674385293,0.44361896232082726,0.22778726800773794,0.22809664887343106,0.706345796585083,0.0455887156628582,13,13,1,1,0.01189591601723805
raw_learned,423593699e2b6baeef3f,development,single_interface,2113,jacru_m2,17,0.7053691596243571,0.0649087470725232,0.0831032837312785,0.0005824530785368181,0.9038247484326206,0.2054875731037304,0.20700568212321274,0.7063498497009277,0.0619486125514754,13,13,1,1,0.00896633299998939
raw_learned,5639798ee009ab4df707,development,smooth_no_interface,2129,jacru_m2,17,0.24219668589494697,0.022096488705459792,0.028120596111165044,0.0007915948609936133,0.46092793577478886,0.22385435483949198,0.22365563960085985,0.7063445448875427,0.04783564444252235,13,13,1,1,0.014656667015515268
raw_learned,9f862d87f3c25fedf3e1,development,single_interface,2129,jacru_m2,17,0.44656074842700516,0.053446678899096954,0.05253487809261248,-0.005878183652545598,0.7155238650199269,0.22587958119732396,0.2228069220769441,0.7063493728637695,0.06305338912416507,13,13,1,1,0.009691041021142155
raw_learned,17ba335821b1e0d5a1aa,development,smooth_no_interface,2141,jacru_m2,17,0.29983497400784415,0.0320247799835184,0.031533265626517266,0.002540350388770126,0.5312540330224714,0.25171926932648175,0.2502207314501917,0.7063459157943726,0.05085071313585667,13,13,1,1,0.013536667043808848
raw_learned,6be92a896230a00c27bc,development,single_interface,2141,jacru_m2,17,0.32596185682426354,0.03326368964098947,0.0420174869857013,-0.0004244133425760607,0.578615251501591,0.26800670166975005,0.26897579060649046,0.7063449621200562,0.055482373860636834,13,13,1,1,0.010197458963375539
raw_learned,2f2ee4ffd95bd30b9d41,development,smooth_no_interface,2153,jacru_m2,17,0.2571977855895035,0.03003687809815638,0.02914623482127443,0.005394175340419117,0.49705407091450415,0.20967682904858712,0.2088221868777362,0.7063486576080322,0.052097181745036795,13,13,1,1,0.00973516603698954
raw_learned,317ac465ce89a727ceb8,development,single_interface,2153,jacru_m2,17,0.3679296543420182,0.0327112217643298,0.042652422734142124,0.002213268703383585,0.575905296751463,0.2192066641187156,0.21999711120666263,0.7063450217247009,0.055549865013391486,13,13,1,1,0.014804332982748747
