case_id,split,family,base_seed,geometry_digest,mode,payload_digest,fit_repeats,threshold_calibration_repeats,audit_repeats,discrepancy_quantile,iid_noise_std,camera_bias_std,estimated_condition_number,estimated_minimum_eigenvalue,estimated_maximum_eigenvalue,mean_error_relative_iid,covariance_relative_frobenius_error,empirical_threshold,empirical_selection_score_mean,empirical_selection_score_maximum,empirical_audit_coverage,empirical_audit_score_mean,exact_threshold,exact_selection_score_mean,exact_audit_coverage,exact_audit_score_mean
6c144f9849f9520d81e5,development,smooth_no_interface,2101,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,paired_static,b89e45bcebd8739a5b83147d1ecb89b61fe236a6a085defbfb982e5922c963a8,64,64,64,0.95,0.005222388406170345,0.01044477681234069,1.1549949437110199,2.663263414839932e-05,3.076055777910666e-05,0.029872783206991056,0.033883106701298446,175.0996515141997,150.15201741037677,202.02232490674095,0.890625,149.97080938283924,177.7743925658761,151.78088556239294,0.890625,151.5627699746326
6c144f9849f9520d81e5,development,smooth_no_interface,2101,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,unpaired_distribution,65c16331ec15dcf1a79919222564a4d34685cbaa8bc953eba99bcf10c37ec205,64,64,64,0.95,0.005222388406170345,0.01044477681234069,119.47811676075831,2.6328085179704527e-05,0.003145630035187928,0.0,0.11832466188687418,173.63898871171347,150.08668112087827,191.49690506146072,0.875,152.4050730103153,174.3086843760646,150.87839922906983,0.859375,153.23216261840642
cee85dad2f56f6debc94,development,single_interface,2101,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,paired_static,3b4adc160e6c57062aef5ee2a231cf18497910c04efbdeafac6d6830cb744d79,64,64,64,0.95,0.0059608846701169425,0.011921769340233885,1.073596823896518,3.421173268570139e-05,3.67296075513657e-05,0.0318858179315709,0.02071144999400898,181.08093736740915,149.80665870234998,194.44428578924345,0.96875,149.9334491840373,180.5634624687192,149.04690412048694,0.96875,149.24583429773486
cee85dad2f56f6debc94,development,single_interface,2101,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,unpaired_distribution,0e6a8b5ea18fd0337afb3bcea31c697e7e8ecb5d37826120f71687a6b86b9b00,64,64,64,0.95,0.0059608846701169425,0.011921769340233885,111.10906634756566,3.39205472037029e-05,0.0037688803298019584,0.0,0.17175541858357524,190.50777786696887,156.89076990106273,198.0464149744971,0.96875,153.84633069230864,186.19924211916364,152.55791184553698,0.96875,149.61254545481023
b06a75091983ab395677,development,smooth_no_interface,2113,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,paired_static,6ba5e9af85f4310198e9924c7b7d156bb90b0beac4b6ac6e76b56ee267ab887f,64,64,64,0.95,0.004544247501116596,0.009088495002233191,1.3270095264937682,1.946495004368714e-05,2.5830174140698127e-05,0.030525676967229767,0.034894347265218534,181.65584693527907,154.21004195668107,213.67612212027234,0.96875,151.7549965119365,178.41313854866263,151.27128714352284,0.96875,149.21847768329795
b06a75091983ab395677,development,smooth_no_interface,2113,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,unpaired_distribution,5faa06cff7f146378eb0a9ae2077915dc9488365392033cac961777902366ba6,64,64,64,0.95,0.004544247501116596,0.009088495002233191,123.75840307992011,2.0689998195633082e-05,0.0025605611364179787,0.0,0.15658355841745553,169.97255800654875,144.2961048595737,181.64068825297045,0.953125,145.03065752205725,174.9359281581999,148.17809232812237,0.953125,148.9238529647859
423593699e2b6baeef3f,development,single_interface,2113,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,paired_static,f60856b07f540aa7afa9a702307ac9165e7cb3f3c5d6704543f9cfb11e58e115,64,64,64,0.95,0.00596964533546918,0.01193929067093836,1.347401805531417,3.5114089911177085e-05,4.731278814591252e-05,0.021213531141790105,0.042969245234492415,171.80272765144161,146.94736902415457,192.6535140825433,0.90625,148.8047460859022,174.21884711027946,149.72429901059542,0.90625,151.5977015565063
423593699e2b6baeef3f,development,single_interface,2113,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,unpaired_distribution,b8dfc7a3697b9cdf6bb89500079065f127c0b47d3ca06735d16513b28f2bd924,64,64,64,0.95,0.00596964533546918,0.01193929067093836,127.97914691179125,3.4582090894392106e-05,0.004425786491090326,0.0,0.14931686299699576,189.49020582465184,151.3553776186084,204.6738061310837,0.984375,149.04165911980195,188.26314447766515,151.54492906021613,0.984375,148.98845332855706
5639798ee009ab4df707,development,smooth_no_interface,2129,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,paired_static,8b3fe7d2adadedc702ec54dd004bcbb4d39b138940b9406983c84e33f560b6af,64,64,64,0.95,0.0045212678791767885,0.009042535758353577,1.22430104587774,1.9838059317798776e-05,2.4287756770965683e-05,0.016337938746950397,0.02669143097855893,172.19478663819294,145.17392242620062,180.15473974512312,0.890625,151.77321491659475,174.48374923954853,144.74307810692238,0.921875,151.22815153761073
5639798ee009ab4df707,development,smooth_no_interface,2129,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,unpaired_distribution,5e83c10926a41fd8622a543d177a72a138f75b2726daed03bd14a1253d623864,64,64,64,0.95,0.0045212678791767885,0.009042535758353577,126.05099449282078,1.956037274565968e-05,0.00246560443724067,0.0,0.14397393586457155,162.2993110030128,141.82282424578227,173.9771968568087,0.828125,144.7501428643266,164.47239117726411,144.18357104431257,0.828125,147.12717790428547
