family,phantom_seed,noise_fraction,rig_name,train_view_count,neural_sample_count,base_model_seed,residual_seed,network_repeat_id,base_best_step,residual_selected_step,residual_admitted,normalized_development_improvement,worst_renderer_relative_change,mean_renderer_relative_change,gate_holdout_improvement,worst_gate_holdout_relative_change,normalized_total_l2_change,normalized_total_h1_change,normalized_total_huber_change,selected_normalized_residual_l2,selected_normalized_residual_h1,residual_roughness_log1p,base_field_relative_l2,candidate_field_relative_l2,field_delta_candidate_minus_base,base_h1_relative_error,candidate_h1_relative_error,h1_delta_candidate_minus_base,test_automatic_delta_candidate_minus_base,dense_automatic_delta_candidate_minus_base
smooth_plume,3301,0.02,nominal_six_view,6,32,101,307,base101_residual307,220,240,True,0.29014093943042674,-0.0997026700153506,-0.29014093943042674,-0.14828484532238173,0.3231528129742971,-0.030234336853027344,0.06554138660430908,0.02089044451713562,0.00033911969512701035,0.004843445494771004,2.726702295050485,0.06908675955369904,0.06193394498506342,-0.007152814568635625,0.061817389034446515,0.0584636275052014,-0.0033537615292451167,0.011755581481775537,-0.024328914644113936
smooth_plume,3301,0.02,nominal_six_view,6,32,211,419,base211_residual419,220,240,True,0.3773182666814021,-0.06100346199345641,-0.3773182666814022,0.28101030669529425,-0.016751262597482497,-0.022700011730194092,0.17179358005523682,0.05605921149253845,0.00023246303317137063,0.014582614414393902,4.154669472365666,0.06966893110967023,0.06057704133114673,-0.009091889778523501,0.05797430262223859,0.054232234727122505,-0.003742067895116087,-0.01828037090774818,-0.03212585877056876
smooth_plume,3301,0.08,nominal_six_view,6,32,101,307,base101_residual307,100,100,True,0.06316168346630013,-0.00410763518363888,-0.06316168346630013,-0.033339876276653024,0.10154916865980446,-0.01937931776046753,-0.054099857807159424,-0.01757487654685974,0.0002073878567898646,0.004630180075764656,3.1495766357747947,0.06987488356820105,0.07056354967715935,0.0006886661089582913,0.07944508157505288,0.07926975182654508,-0.00017532974850779925,0.00846018674226108,-0.014437923800723333
smooth_plume,3301,0.08,nominal_six_view,6,32,211,419,base211_residual419,140,120,True,0.12912772720872734,-0.0016242143617073435,-0.12912772720872734,0.09616431178351448,-0.036491405527810494,0.006794929504394531,0.059060096740722656,0.023246288299560547,0.0001473431329941377,0.007264291867613792,3.9180422370737635,0.060476307683644696,0.06678139529827565,0.006305087614630951,0.08418696900406981,0.08551849221616736,0.001331523212097549,-0.016946654754751628,-0.021585857287515442
smooth_plume,3301,0.02,sparse_four_view,4,32,101,307,base101_residual307,240,20,True,0.09795336382740305,-0.014049574337084314,-0.097953363827403,0.1413647387455459,-0.02521753570320895,-0.029941320419311523,-0.021700263023376465,-0.011571556329727173,0.00027986912755295634,0.0019755426328629255,2.0867657418151966,0.06008726249968969,0.060792398170012994,0.0007051356703233064,0.07252314060574586,0.07254537971505085,2.2239109304988958e-05,-0.008197163859310963,-0.0115854562554695
smooth_plume,3301,0.02,sparse_four_view,4,32,211,419,base211_residual419,220,240,True,0.281914117087706,-0.024881196901576974,-0.2819141170877061,0.12077016922893458,-0.017001475112208286,-0.01627802848815918,0.013287067413330078,0.008321970701217651,0.00018634060688782483,0.002079809783026576,2.4982615884960446,0.06445672364025178,0.06475757191563114,0.00030084827537936454,0.06976363769582596,0.06928515594613026,-0.00047848174969569723,-0.009584019894193746,-0.018467570284635727
smooth_plume,3301,0.08,sparse_four_view,4,32,101,307,base101_residual307,100,20,True,0.06386520125795903,-0.0019748173687625936,-0.063865201257959,0.08049409982651123,0.002500324709199031,-0.03607296943664551,-0.08183187246322632,-0.029581844806671143,0.0004438702599145472,0.005889349151402712,2.6580316693002835,0.07119984118079849,0.06848502137121612,-0.0027148198095823667,0.09728572020220647,0.09478306211662901,-0.0025026580855774527,-0.014378882934037385,-0.020318535184321085
smooth_plume,3301,0.08,sparse_four_view,4,32,211,419,base211_residual419,100,160,True,0.16763639735907354,-0.003928141974649746,-0.16763639735907357,0.15409454097796704,-0.010935189890772468,-0.025890827178955078,-0.03511744737625122,-0.01191142201423645,0.0002793411840684712,0.00988225731998682,3.593937125157146,0.07820114625296537,0.07621448297748543,-0.001986663275479944,0.11065550912441986,0.10850868886078388,-0.0021468202636359818,-0.02678744667465377,-0.03200260606124314
smooth_plume,3301,0.02,coarse_ray_six_view,6,20,101,307,base101_residual307,220,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07782780387596173,0.07782780387596173,0.0,0.06713014599296357,0.06713014599296357,0.0,0.0,0.0
smooth_plume,3301,0.02,coarse_ray_six_view,6,20,211,419,base211_residual419,180,100,True,0.26140847426451264,-0.007302434699476668,-0.26140847426451264,0.29607983588979836,-0.021551948351152372,-0.025539815425872803,0.049021363258361816,0.01605379581451416,0.00028219560044817626,0.0026590225752443075,2.3439786708825237,0.08624439957174793,0.07804756892798097,-0.008196830643766959,0.07190149884956268,0.06745719758705625,-0.004444301262506431,-0.01662352139219255,-0.02329427933492168
smooth_plume,3301,0.08,coarse_ray_six_view,6,20,101,307,base101_residual307,120,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08062406170932583,0.08062406170932583,0.0,0.08642725855423497,0.08642725855423497,0.0,0.0,0.0
smooth_plume,3301,0.08,coarse_ray_six_view,6,20,211,419,base211_residual419,140,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08410299455659408,0.08410299455659408,0.0,0.09295126800785874,0.09295126800785874,0.0,0.0,0.0
smooth_plume,3302,0.02,nominal_six_view,6,32,101,307,base101_residual307,240,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08439306488579465,0.08439306488579465,0.0,0.0606625347953203,0.0606625347953203,0.0,0.0,0.0
smooth_plume,3302,0.02,nominal_six_view,6,32,211,419,base211_residual419,240,140,True,0.13549433516947507,-0.0014663129141903042,-0.13549433516947504,-0.5754497066741109,1.7380573605682095,-0.05200386047363281,0.1434173583984375,0.04849722981452942,0.0011143157025799155,0.014543597586452961,2.642735933814524,0.0875222365710972,0.08372084261484194,-0.0038013939562552557,0.0688467943373884,0.06787247816903816,-0.0009743161683502394,0.043205565139080526,-0.03469819278002696
smooth_plume,3302,0.08,nominal_six_view,6,32,101,307,base101_residual307,180,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09372010202902627,0.09372010202902627,0.0,0.09492812785580912,0.09492812785580912,0.0,0.0,0.0
smooth_plume,3302,0.08,nominal_six_view,6,32,211,419,base211_residual419,140,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0943927554130604,0.0943927554130604,0.0,0.10414400857232933,0.10414400857232933,0.0,0.0,0.0
smooth_plume,3302,0.02,sparse_four_view,4,32,101,307,base101_residual307,180,20,True,0.06458027527922883,-0.01106839831604256,-0.06458027527922891,0.060022183123626505,-0.016918271697447862,-0.017674148082733154,0.03758275508880615,0.008833080530166626,0.0001323268807027489,0.0030529487412422895,3.181018871366853,0.07090837235475506,0.07224944700494128,0.001341074650186222,0.08012375613287585,0.08090425833823547,0.0007805022053596206,-0.006859129068187156,-0.013587523526873271
smooth_plume,3302,0.02,sparse_four_view,4,32,211,419,base211_residual419,220,80,True,0.1023875425865779,-0.01218629393087367,-0.1023875425865779,-0.017662860345541098,0.07751447443430637,-0.008677840232849121,0.08200335502624512,0.02544933557510376,0.00021732726600021124,0.005302253179252148,3.234652774395744,0.06996897010148885,0.07460320568902302,0.0046342355875341745,0.07268933826075082,0.07393112908022122,0.0012417908194704008,0.003117790126563491,-0.018686671013719777
