phase,weight_decay,step,batch_data_loss,regularizer,total_loss,learning_rate
refit_all_30,0.0,1.0,0.938740611076355,0.0,0.938740611076355,0.0029999995419886945
refit_all_30,0.0,250.0,0.5070561170578003,0.0,0.5070561170578003,0.0029714661413988014
refit_all_30,0.0,500.0,0.5161551833152771,0.0,0.5161551833152771,0.0028869611057792633
refit_all_30,0.0,750.0,0.5521883368492126,0.0,0.5521883368492126,0.0027497323742692787
refit_all_30,0.0,1000.0,0.4978967308998108,0.0,0.4978967308998108,0.002565053570062025
refit_all_30,0.0,1250.0,0.49951231479644775,0.0,0.49951231479644775,0.00234002179603411
refit_all_30,0.0,1500.0,0.5101339817047119,0.0,0.5101339817047119,0.002083284897062159
refit_all_30,0.0,1750.0,0.48512184619903564,0.0,0.48512184619903564,0.0018047091281939477
refit_all_30,0.0,2000.0,0.47604432702064514,0.0,0.47604432702064514,0.0015149999999999977
refit_all_30,0.0,2250.0,0.49775463342666626,0.0,0.49775463342666626,0.0012252908718060483
refit_all_30,0.0,2500.0,0.4689653813838959,0.0,0.4689653813838959,0.0009467151029378414
refit_all_30,0.0,2750.0,0.4386301338672638,0.0,0.4386301338672638,0.0006899782039658903
refit_all_30,0.0,3000.0,0.44293543696403503,0.0,0.44293543696403503,0.00046494642993797556
refit_all_30,0.0,3250.0,0.46821266412734985,0.0,0.46821266412734985,0.0002802676257307193
refit_all_30,0.0,3500.0,0.4933246374130249,0.0,0.4933246374130249,0.00014303889422073935
refit_all_30,0.0,3750.0,0.4581284523010254,0.0,0.4581284523010254,5.853385860120318e-05
refit_all_30,0.0,4000.0,0.46080461144447327,0.0,0.46080461144447327,3e-05
