split_role,rig_id,view_index,depth_offset,detector_offset,coefficient
train_oracle,dco-rig-000,3,0,1,0.01106071618691073
train_oracle,dco-rig-000,3,0,2,0.006445893541877329
train_oracle,dco-rig-000,3,1,-2,0.00043311781907866
train_oracle,dco-rig-000,3,1,-1,-0.0018548207719872492
train_oracle,dco-rig-000,3,1,0,-0.023229445459170616
train_oracle,dco-rig-000,3,1,1,0.0009712554875479643
train_oracle,dco-rig-000,3,1,2,4.1829571657940476e-05
train_oracle,dco-rig-000,3,2,-2,-6.986479863692292e-05
train_oracle,dco-rig-000,3,2,-1,0.00013854706425032664
train_oracle,dco-rig-000,3,2,0,0.0005598972435929637
train_oracle,dco-rig-000,3,2,1,-9.318402235507176e-06
train_oracle,dco-rig-000,3,2,2,-3.91133406395921e-05
train_oracle,dco-rig-000,4,-2,-2,-1.3957510643663776e-05
train_oracle,dco-rig-000,4,-2,-1,-9.965517707201478e-06
train_oracle,dco-rig-000,4,-2,0,0.0001818036183957975
train_oracle,dco-rig-000,4,-2,1,-0.00017601274946752655
train_oracle,dco-rig-000,4,-2,2,8.182530297089534e-05
train_oracle,dco-rig-000,4,-1,-2,-0.0007707717788790486
train_oracle,dco-rig-000,4,-1,-1,0.0018501101826019029
train_oracle,dco-rig-000,4,-1,0,0.024399502305193475
train_oracle,dco-rig-000,4,-1,1,-0.0008762527747150509
train_oracle,dco-rig-000,4,-1,2,0.0005158964902365608
train_oracle,dco-rig-000,4,0,-2,0.009303003939788824
train_oracle,dco-rig-000,4,0,-1,-0.029570154304709505
train_oracle,dco-rig-000,4,0,0,0.9980295678525071
train_oracle,dco-rig-000,4,0,1,0.02008731858551825
train_oracle,dco-rig-000,4,0,2,-0.009108763481849113
train_oracle,dco-rig-000,4,1,-2,0.0009249327540509088
train_oracle,dco-rig-000,4,1,-1,-0.0010066668560043544
train_oracle,dco-rig-000,4,1,0,-0.021887480889064132
train_oracle,dco-rig-000,4,1,1,0.0023857661791183717
train_oracle,dco-rig-000,4,1,2,-0.000750169125334109
train_oracle,dco-rig-000,4,2,-2,-4.217397300525469e-05
train_oracle,dco-rig-000,4,2,-1,5.231824999293704e-05
train_oracle,dco-rig-000,4,2,0,0.0004907917733235031
train_oracle,dco-rig-000,4,2,1,-1.1164447752775324e-05
train_oracle,dco-rig-000,4,2,2,-1.1202059618187344e-05
train_oracle,dco-rig-000,5,-2,-2,-2.920382459344944e-05
train_oracle,dco-rig-000,5,-2,-1,1.606304944957101e-05
train_oracle,dco-rig-000,5,-2,0,0.0003294371912485114
train_oracle,dco-rig-000,5,-2,1,-7.983597108213324e-05
train_oracle,dco-rig-000,5,-2,2,6.351319503655624e-05
train_oracle,dco-rig-000,5,-1,-2,-0.001017809588105435
train_oracle,dco-rig-000,5,-1,-1,0.001186344568715731
train_oracle,dco-rig-000,5,-1,0,0.01982023451987532
train_oracle,dco-rig-000,5,-1,1,-0.00031339884409783085
train_oracle,dco-rig-000,5,-1,2,-0.0008052173204157628
train_oracle,dco-rig-000,5,0,-2,-0.0007789704890414878
train_oracle,dco-rig-000,5,0,-1,-0.019568748846555923
train_oracle,dco-rig-000,5,0,0,0.9702089450983328
train_oracle,dco-rig-000,5,0,1,0.028495762665947447
train_oracle,dco-rig-000,5,0,2,-0.023565827231053205
train_oracle,dco-rig-000,5,1,-2,0.00039944374485051664
train_oracle,dco-rig-000,5,1,-1,-0.0014324129742156939
train_oracle,dco-rig-000,5,1,0,-0.022674716396673844
train_oracle,dco-rig-000,5,1,1,0.0005094152142274562
train_oracle,dco-rig-000,5,1,2,0.00037089746696061343
train_oracle,dco-rig-000,5,2,-2,-7.173114410945536e-05
train_oracle,dco-rig-000,5,2,-1,0.0001606388212856139
train_oracle,dco-rig-000,5,2,0,0.00044916408442146125
train_oracle,dco-rig-000,5,2,1,-2.3601294552293658e-05
train_oracle,dco-rig-000,5,2,2,4.064085908833226e-06
train_oracle,dco-rig-000,6,-2,-2,3.688619441380725e-05
train_oracle,dco-rig-000,6,-2,-1,-2.3301730462541382e-05
train_oracle,dco-rig-000,6,-2,0,0.0004960428353248179
train_oracle,dco-rig-000,6,-2,1,-8.627037539477916e-05
train_oracle,dco-rig-000,6,-2,2,2.480607589796453e-05
