rig_id,method,relative_renderer_residual_error,relative_operator_error,mean_probe_forward_relative_error,mean_probe_gradient_cosine,worst_probe_gradient_cosine
dco-rig-030,calibrated_low_renderer,1.0,0.1531178041869744,0.07364181610201469,0.996378843381168,0.9942589400366805
dco-rig-031,calibrated_low_renderer,1.0,0.14915668638460874,0.07832777200918808,0.9955712700539588,0.994392674100907
dco-rig-032,calibrated_low_renderer,1.0,0.150737899909786,0.07044058662410839,0.9965229060806594,0.9960967634937555
dco-rig-033,calibrated_low_renderer,1.0,0.1587438421966751,0.08897313977619412,0.9949477693930557,0.9944369353424843
dco-rig-034,calibrated_low_renderer,1.0,0.15525835889828943,0.05106857063079414,0.9952711005303703,0.9946891582453826
dco-rig-035,calibrated_low_renderer,1.0,0.14626730901989737,0.06296946966932354,0.9966387062729088,0.9951017463729663
dco-rig-036,calibrated_low_renderer,1.0,0.1662511602904146,0.08906895942096868,0.9953706545745664,0.9938732969983266
dco-rig-037,calibrated_low_renderer,1.0,0.14643688896603976,0.060510153865807444,0.996087132473253,0.9950238034493729
dco-rig-038,calibrated_low_renderer,1.0,0.1617837020139259,0.08266815042095225,0.9947845801125683,0.9943199226082953
dco-rig-039,calibrated_low_renderer,1.0,0.1624170750137825,0.08652499659131378,0.9958465239186539,0.9934510120309019
dco-rig-040,calibrated_low_renderer,1.0,0.1572071643960149,0.07490508189970055,0.9956952555452693,0.9952501502243464
dco-rig-041,calibrated_low_renderer,1.0,0.1674045480724485,0.0926112323594545,0.994657981605836,0.9925227477901056
dco-rig-030,per_view_mean_kernel,0.9347741947026533,0.14313057210351757,0.05056070413484029,0.9979090663139005,0.9968822002021959
dco-rig-031,per_view_mean_kernel,0.9186713987028385,0.13702598170682917,0.047396006891831856,0.9972335070924261,0.9963061155653892
dco-rig-032,per_view_mean_kernel,0.9315439199838154,0.14041897417209007,0.046387955214760405,0.9979437439974304,0.9976041158228977
dco-rig-033,per_view_mean_kernel,0.8847850126524984,0.14045417242649139,0.048816273200368285,0.9970781252800681,0.9967366529465246
dco-rig-034,per_view_mean_kernel,0.9837281987833144,0.15273202574506764,0.053455628923261264,0.9958294626634329,0.9947160192065493
dco-rig-035,per_view_mean_kernel,0.9532179499343298,0.13942462444635767,0.04650527612879944,0.9977412788594143,0.9968816481022306
dco-rig-036,per_view_mean_kernel,0.8914957191219571,0.14821219769796293,0.04764344843693399,0.9976916351907614,0.9968491173140149
dco-rig-037,per_view_mean_kernel,0.9716578849034195,0.1422865578045791,0.05127139317894421,0.9970220698300438,0.9963024751337243
dco-rig-038,per_view_mean_kernel,0.9051194181918387,0.1464335702397664,0.04860824498844843,0.9967935985331642,0.9964463308380775
dco-rig-039,per_view_mean_kernel,0.8841903759275954,0.1436076146134968,0.04685532735142499,0.9980145767932438,0.9967133126438906
dco-rig-040,per_view_mean_kernel,0.9223676326551736,0.14500280006038496,0.047013466247788696,0.9972046233310335,0.9967189073080048
dco-rig-041,per_view_mean_kernel,0.8663470659195142,0.14503043904414803,0.04843993199378896,0.9972021772961536,0.9959186025071375
dco-rig-030,nearest_rig_kernel,0.958507088520184,0.14676450069186045,0.05564088424676396,0.9977353935703738,0.9963201049536117
dco-rig-031,nearest_rig_kernel,0.9270690745376947,0.1382785512076884,0.05332687403337955,0.997270618732522,0.9958425493008901
dco-rig-032,nearest_rig_kernel,0.9325059269366164,0.14056398507985393,0.048834106277116734,0.9979279685688004,0.9975409025753871
dco-rig-033,nearest_rig_kernel,0.8886946132810205,0.1410747974517175,0.052722318595251734,0.9970305893226047,0.9967109011274298
dco-rig-034,nearest_rig_kernel,0.9660636785875324,0.14998946132874483,0.05305873127383369,0.9960038571543751,0.9951039403705118
dco-rig-035,nearest_rig_kernel,0.9603437095699072,0.14046689013297617,0.04855833850096433,0.9977025567574825,0.9967623570451788
dco-rig-036,nearest_rig_kernel,0.8996163711299495,0.14956226551660634,0.05040505009680365,0.9978087830458264,0.9969509726317536
dco-rig-037,nearest_rig_kernel,0.9537451858335175,0.13966347787979777,0.05028189868952501,0.9970964821221214,0.9963168751480281
dco-rig-038,nearest_rig_kernel,0.9201819856444806,0.14887044816408926,0.05104249839372968,0.9967222730736912,0.9964304166657867
dco-rig-039,nearest_rig_kernel,0.8969868733355699,0.14568598429292148,0.050268514997315224,0.9981080801629463,0.9970422709805791
dco-rig-040,nearest_rig_kernel,0.9252948051635647,0.14546297255012708,0.050744624642600454,0.9971730164122165,0.9965285986842746
dco-rig-041,nearest_rig_kernel,0.861947607311543,0.14429394966411715,0.045185060944544206,0.9974112678023503,0.9964790094498222
dco-rig-030,full_matrix_geometry_ridge,0.5349874878350969,0.08191610940481571,0.014339685962463723,0.9992449744980152,0.9990225677513755
dco-rig-031,full_matrix_geometry_ridge,0.5193944933722872,0.07747116155782298,0.015209046710374445,0.9994232318299829,0.9990199242274929
dco-rig-032,full_matrix_geometry_ridge,0.47255069275616157,0.07123129902697833,0.010999379242219474,0.9995233474957144,0.998570983340854
dco-rig-033,full_matrix_geometry_ridge,0.4470811439114259,0.07097137855818438,0.013664593999350404,0.9992292661201481,0.9989669446576183
