rig_id,method,relative_renderer_residual_error,relative_operator_error,mean_probe_forward_relative_error,mean_probe_gradient_cosine,worst_probe_gradient_cosine
dco-rig-030,zero_calibrated_low_renderer,1.0,0.1531178041869744,0.07417151691136284,0.9963382058362167,0.9946577251224186
dco-rig-031,zero_calibrated_low_renderer,1.0,0.14915668638460874,0.07976987134411181,0.9955688035261099,0.9942724356603664
dco-rig-032,zero_calibrated_low_renderer,1.0,0.150737899909786,0.07152220675455302,0.9965388858663591,0.9959647861805426
dco-rig-033,zero_calibrated_low_renderer,1.0,0.1587438421966751,0.09099060252571396,0.9950485670697984,0.994282240394331
dco-rig-034,zero_calibrated_low_renderer,1.0,0.15525835889828943,0.05269264609557002,0.9956143037089151,0.9949350306004898
dco-rig-035,zero_calibrated_low_renderer,1.0,0.14626730901989737,0.06453193179394993,0.9967348692297153,0.9946137111889087
dco-rig-036,zero_calibrated_low_renderer,1.0,0.1662511602904146,0.09008981023749828,0.9954137480745886,0.993697296803973
dco-rig-037,zero_calibrated_low_renderer,1.0,0.14643688896603976,0.06197249843008076,0.9960803977926247,0.9947506486729747
dco-rig-038,zero_calibrated_low_renderer,1.0,0.1617837020139259,0.0842367118036385,0.9947723653779565,0.9939482885264439
dco-rig-039,zero_calibrated_low_renderer,1.0,0.1624170750137825,0.08571041007731242,0.9958461747805182,0.9937327196716556
dco-rig-040,zero_calibrated_low_renderer,1.0,0.1572071643960149,0.07650019701891861,0.9956972250314308,0.9950077310831189
dco-rig-041,zero_calibrated_low_renderer,1.0,0.1674045480724485,0.09248758028962537,0.9947328717827337,0.9930572266355325
dco-rig-030,mean_renderer_residual,0.638332532219434,0.09774007567455081,0.022498146214750398,0.9988168704975396,0.9984453232826153
dco-rig-031,mean_renderer_residual,0.6255373677683861,0.09330308098608284,0.02532227810213699,0.9990821978399609,0.9984596418679837
dco-rig-032,mean_renderer_residual,0.6350577634618308,0.09572727358564201,0.022576475892587856,0.9990997784998304,0.9983690524342549
dco-rig-033,mean_renderer_residual,0.5767561147985346,0.091556481673546,0.028600158529303952,0.9988311861323486,0.9981491588003543
dco-rig-034,mean_renderer_residual,0.6681141014980093,0.1037302989553861,0.04188408400697551,0.9981709361842941,0.9976734779546214
dco-rig-035,mean_renderer_residual,0.637488563265936,0.09324373667986904,0.026434605008269843,0.9992409715827473,0.9987872286475723
dco-rig-036,mean_renderer_residual,0.4860430784872951,0.08080522574963789,0.022004984635220756,0.9995019420969466,0.9993406001912607
dco-rig-037,mean_renderer_residual,0.5874779302837133,0.08602844044695497,0.03331705979697425,0.9992592218614411,0.9989536893215635
dco-rig-038,mean_renderer_residual,0.5111554182246617,0.08269661586486232,0.02291827121480541,0.999191266507784,0.9990169414380259
dco-rig-039,mean_renderer_residual,0.5402108806486815,0.08773947112557841,0.02017635008965636,0.9995387968124465,0.999363053867325
dco-rig-040,mean_renderer_residual,0.6178865753813784,0.09713619643407101,0.021971728486440655,0.999208167434266,0.9989476627852176
dco-rig-041,mean_renderer_residual,0.4815423911853826,0.08061238637411519,0.027179991264577725,0.999407886564046,0.999340967669868
dco-rig-030,nearest_calibrated_geometry,0.6748475253812838,0.10333117124739565,0.03559357075538153,0.9986649294182615,0.9977939208464693
dco-rig-031,nearest_calibrated_geometry,0.7634904972124733,0.11387971265034988,0.04472898987792793,0.9980563202930125,0.9974956982814255
dco-rig-032,nearest_calibrated_geometry,0.6660645571436421,0.10040117254817427,0.022919882364106785,0.9988808804574361,0.9978954851530932
dco-rig-033,nearest_calibrated_geometry,0.646784302110569,0.10267302518952681,0.016343882432331924,0.9988982580826191,0.9982967846630563
dco-rig-034,nearest_calibrated_geometry,0.7157987626694364,0.11113374119348286,0.040799868938386524,0.9986218884742942,0.9983255039287805
dco-rig-035,nearest_calibrated_geometry,0.8331736003180341,0.12186606046493835,0.028170200717192326,0.9985533524245738,0.9977855372927973
dco-rig-036,nearest_calibrated_geometry,0.5468037832524609,0.09090676341691001,0.01499783236303254,0.9989610722519269,0.9986985303041641
