rank_measurement,rank_voxel,relative_ridge,development_mean_relative_residual_error,development_worst_relative_residual_error
4,4,1e-06,0.9619895754473046,0.9825437393610081
4,4,0.0001,0.9581171825649085,0.9794841960890338
4,4,0.01,0.9564769298165716,0.9740112298862472
4,4,0.1,0.9557705866259903,0.9740417744475406
4,4,1.0,0.9556713955146967,0.9727097961118301
4,8,1e-06,0.9642795185881886,0.994158937607229
4,8,0.0001,0.9580639073701035,0.981484518184246
4,8,0.01,0.955207245708167,0.9725001080996921
4,8,0.1,0.9541068307182158,0.9722943664452418
4,8,1.0,0.9539036800599979,0.9707253151847884
4,12,1e-06,0.9676165250509919,1.00821067779065
4,12,0.0001,0.9588702836008974,0.9859735904478293
4,12,0.01,0.9544582687663691,0.9719802265203719
4,12,0.1,0.9530198679692945,0.9716401037972179
4,12,1.0,0.9527530073061218,0.9696499134576788
4,16,1e-06,0.9710432030241272,1.0200408141364257
4,16,0.0001,0.9602970872852805,0.9916943479211395
4,16,0.01,0.9543761110223148,0.9722442106740257
4,16,0.1,0.952665764110621,0.9716081125224597
4,16,1.0,0.9522936388213408,0.9692102247713145
4,24,1e-06,0.9749314520329686,1.0390651651287195
4,24,0.0001,0.9613147775422825,0.9946759436007861
4,24,0.01,0.954070006922667,0.9728545092049058
4,24,0.1,0.9519032342704699,0.9715411155152744
4,24,1.0,0.951472768855368,0.9686451309154901
8,4,1e-06,0.9648359160072172,0.9987126699528761
8,4,0.0001,0.9581541374414831,0.9814821827859562
8,4,0.01,0.9556985788373816,0.9745368011827737
8,4,0.1,0.9546388376224337,0.973934703688496
8,4,1.0,0.9544512490985179,0.9719581672837532
8,8,1e-06,0.9412710992480156,0.9994342197732107
8,8,0.0001,0.929504074236267,0.9606742185948249
8,8,0.01,0.9248372625781056,0.9538798023656859
8,8,0.1,0.9228656061298021,0.9528587612291772
8,8,1.0,0.922564754640521,0.9501720314611172
8,12,1e-06,0.9439735201996694,1.0263854059061195
8,12,0.0001,0.9271971147843399,0.9675325592685771
8,12,0.01,0.9196606367351818,0.9496163281634694
8,12,0.1,0.9170751330111684,0.9484455750479506
8,12,1.0,0.9166809035923477,0.9451718576485535
8,16,1e-06,0.9501193479069475,1.0457553514094093
8,16,0.0001,0.9299547740913193,0.9810662168529348
8,16,0.01,0.9189665022492698,0.9496698777687056
8,16,0.1,0.9157294862342682,0.947911920472023
8,16,1.0,0.9151000997785528,0.9437153859305392
8,24,1e-06,0.9568954495223179,1.075515631256216
8,24,0.0001,0.9319557917723245,0.989927198300859
8,24,0.01,0.918267771853826,0.9503760692176974
8,24,0.1,0.9141987622980148,0.9474622980599645
8,24,1.0,0.9133969785629411,0.9424468495557949
12,4,1e-06,0.967762428695238,1.012708094442915
12,4,0.0001,0.9593380028476876,0.9858652695067998
12,4,0.01,0.955482136423346,0.974637786006401
12,4,0.1,0.9538424943538378,0.9737934487500177
12,4,1.0,0.9535435705424766,0.9713847486714616
12,8,1e-06,0.9463058809328673,1.0328320991900217
12,8,0.0001,0.9298255641724144,0.9737752547275644
12,8,0.01,0.9214353762638717,0.9513425185720835
12,8,0.1,0.9181543532397548,0.9497547989261218
12,8,1.0,0.9175334009709176,0.9462763326622372
12,12,1e-06,0.930801510830141,1.0525034701564953
12,12,0.0001,0.9076460193842126,0.9669085750022779
12,12,0.01,0.8952339226186153,0.9305071372199358
12,12,0.1,0.8907010270344116,0.9287993007258506
12,12,1.0,0.8898646456801934,0.9245591412895297
12,16,1e-06,0.9341356429729476,1.0747913588713836
12,16,0.0001,0.9061866022765778,0.9780393123895038
12,16,0.01,0.889473455782329,0.9279207997498199
12,16,0.1,0.8839459585262226,0.9251893070521108
12,16,1.0,0.8827625075093795,0.9196754209516133
12,24,1e-06,0.9452587352178646,1.1263021512359643
12,24,0.0001,0.9094505988293334,0.994040094793106
12,24,0.01,0.8875840553638917,0.9274613977994197
12,24,0.1,0.8804486969244395,0.9232613004576297
12,24,1.0,0.8789062774817115,0.9167535016999583
16,4,1e-06,0.971438964658088,1.0276579438989648
16,4,0.0001,0.9610210442367592,0.9927958601696388
16,4,0.01,0.9555066030871008,0.9755541958103224
16,4,0.1,0.9533490750568103,0.9741941935419883
16,4,1.0,0.9529659539889992,0.9713546460525104
16,8,1e-06,0.9538732778546071,1.0662967759943303
16,8,0.0001,0.9324179707703347,0.9858246334170442
16,8,0.01,0.9208954965580433,0.9522485391511383
16,8,0.1,0.9166199808413538,0.9497580447193414
16,8,1.0,0.915748708383788,0.9450755701859678
16,12,1e-06,0.9388579279991173,1.0991813774300019
16,12,0.0001,0.9083894268583005,0.9818841265530941
16,12,0.01,0.8914394828716367,0.928332236201021
16,12,0.1,0.8853961243834889,0.9253196594575858
16,12,1.0,0.8841812437464026,0.9193572586665955
16,16,1e-06,0.9308326114942487,1.1227521721253326
16,16,0.0001,0.8930526144374222,0.9848280853765927
16,16,0.01,0.8699896699997959,0.9116525096522259
16,16,0.1,0.8624616554797666,0.9070364200603475
16,16,1.0,0.8608025322913261,0.8993285639643908
16,24,1e-06,0.9398763718766857,1.1934093673062824
16,24,0.0001,0.8904952489335126,1.001134470332853
16,24,0.01,0.8603623622148638,0.9040684013325023
16,24,0.1,0.8505298954671477,0.8977136211375762
16,24,1.0,0.8483810112886246,0.8887200702243865
24,4,1e-06,0.9774011256156118,1.0573148757611384
24,4,0.0001,0.9628309175296014,0.9960564513463067
24,4,0.01,0.9553430637237632,0.9763531223189568
24,4,0.1,0.9525627664189176,0.9746043009267448
24,4,1.0,0.952059305657664,0.9709748216318563
24,8,1e-06,0.9665196702795362,1.122220466818146
24,8,0.0001,0.9373129451318523,0.9976134877920225
24,8,0.01,0.9208171949424352,0.9530592165513984
24,8,0.1,0.9152248402586375,0.9498970184990566
24,8,1.0,0.914108783698151,0.9441137498136728
24,12,1e-06,0.9578398646640149,1.181259315236052
24,12,0.0001,0.9161207478344444,1.0014192123415588
24,12,0.01,0.8911716726797599,0.9289579461240656
24,12,0.1,0.8830740981194097,0.9247901896317011
24,12,1.0,0.881378032262372,0.9172442722755927
24,16,1e-06,0.9509177803568551,1.2221447583225153
24,16,0.0001,0.898319364065615,1.0102265461167812
24,16,0.01,0.8645336757876025,0.9080651465979586
24,16,0.1,0.8541837014351525,0.9019301837952725
24,16,1.0,0.8518776555712734,0.8919967280994013
24,24,1e-06,0.9409975730813985,1.299187451939998
24,24,0.0001,0.8714473802358177,1.0149836356263369
24,24,0.01,0.826540109732556,0.8803311163750995
24,24,0.1,0.812472615700394,0.8714039634957025
24,24,1.0,0.8094046155382207,0.8590065916149757
