stratum,rig,K,method,hidden_action_relative_l2,gradient_cosine_median,gradient_relative_l2_median,query_count,gate_relative_l2,dot_defect_max
in_class,0,4,nominal,0.1097153046289242,0.9705973241139177,0.257183754413688,4,,
in_class,0,4,secant,0.1046689247025363,0.9691916339591249,0.24639900789417352,4,,
in_class,0,4,channel_gate,3.5531416586856756e-12,1.0,8.209145057288633e-12,4,3.524694357385419e-11,1.1524673056389542e-14
in_class,0,8,nominal,0.1097153046289242,0.9698020163569999,0.2543329660391318,8,,
in_class,0,8,secant,0.10093549503271268,0.9728328094711443,0.2383061508996342,8,,
in_class,0,8,channel_gate,3.1587385547426484e-12,1.0,7.113632123609225e-12,8,3.092547217290486e-11,2.589466122190249e-13
in_class,0,16,nominal,0.1097153046289242,0.9782001782538325,0.21652018002615592,16,,
in_class,0,16,secant,0.09458577205793323,0.9837492156168509,0.1901981130251867,16,,
in_class,0,16,channel_gate,2.940018487708076e-12,1.0,6.870728324210901e-12,16,2.8982778835634076e-11,3.2473125669414137e-15
in_class,0,32,nominal,0.1097153046289242,0.9729042560770272,0.2365187372618198,32,,
in_class,0,32,secant,0.07545076063965535,0.985176684771875,0.17375238305708807,32,,
in_class,0,32,channel_gate,2.941518358981979e-12,1.0,7.326919136865424e-12,32,2.9016201472006966e-11,4.995326707416028e-15
in_class,1,4,nominal,0.10290073835449633,0.9770203972409346,0.21803436423972494,4,,
in_class,1,4,secant,0.10041486248414125,0.9803172514290438,0.20345285379025288,4,,
in_class,1,4,channel_gate,3.892378713060016e-12,1.0,8.30661752487187e-12,4,4.281715970442311e-11,3.937447286120601e-15
in_class,1,8,nominal,0.10290073835449633,0.975283546782707,0.2246351123137415,8,,
in_class,1,8,secant,0.0952976385604346,0.9793004599255656,0.20691767210638373,8,,
in_class,1,8,channel_gate,3.3166273200592444e-12,1.0,7.35287735681203e-12,8,3.609248390466274e-11,6.8854190347129256e-15
in_class,1,16,nominal,0.10290073835449633,0.9753819826480782,0.23868244446695527,16,,
in_class,1,16,secant,0.08786723345656604,0.9797212489960857,0.21024725710121678,16,,
in_class,1,16,channel_gate,2.858124167742562e-12,1.0,6.025326096273265e-12,16,3.074902153515646e-11,3.4533954013559155e-15
in_class,1,32,nominal,0.10290073835449633,0.9803381405965935,0.2047417745256176,32,,
in_class,1,32,secant,0.07321514485602301,0.9888343709418626,0.15079644540202874,32,,
in_class,1,32,channel_gate,2.592208889831385e-12,1.0,5.175618004118105e-12,32,2.7735536028106764e-11,1.5813499942192957e-15
in_class,2,4,nominal,0.0986174758617561,0.9730745617099474,0.23049759186235536,4,,
in_class,2,4,secant,0.09403505638256505,0.97692519131341,0.22079810239903389,4,,
in_class,2,4,channel_gate,2.295047071988771e-12,1.0,4.7581708819120244e-12,4,2.613683617981883e-11,6.35495888710843e-15
in_class,2,8,nominal,0.0986174758617561,0.9692732622187257,0.25342688478315,8,,
in_class,2,8,secant,0.09017253189688212,0.9728470531427661,0.232437885505879,8,,
in_class,2,8,channel_gate,2.138814883658652e-12,1.0,5.455083938005484e-12,8,2.449768584122019e-11,1.63595314310106e-14
in_class,2,16,nominal,0.0986174758617561,0.9657432398407579,0.2632346473841116,16,,
in_class,2,16,secant,0.0837702404624124,0.9788602263298711,0.21222094401219338,16,,
in_class,2,16,channel_gate,2.1216304651393924e-12,1.0,5.283258854488052e-12,16,2.410374498542078e-11,3.53026119023981e-15
in_class,2,32,nominal,0.0986174758617561,0.9762525026204809,0.22416507009028191,32,,
in_class,2,32,secant,0.06911006986023499,0.9878426272215468,0.1586901719561337,32,,
in_class,2,32,channel_gate,2.1442743140499545e-12,1.0,4.806949022570685e-12,32,2.4202937297376636e-11,2.7340542373124364e-14
in_class,3,4,nominal,0.0987693178449632,0.9762187668408988,0.23008070187161128,4,,
in_class,3,4,secant,0.09541024229923538,0.9772911423575388,0.2227550757893904,4,,
in_class,3,4,channel_gate,2.7964943478839424e-12,1.0,5.98576994818927e-12,4,3.0494804182373114e-11,1.1780008581894867e-14
in_class,3,8,nominal,0.0987693178449632,0.9708047084828205,0.2402332049313383,8,,
in_class,3,8,secant,0.09339949518428298,0.9734221090004531,0.23139767408490056,8,,
in_class,3,8,channel_gate,2.644397231333509e-12,1.0,5.9571976981498256e-12,8,2.8774993137750544e-11,3.8978490159792385e-15
in_class,3,16,nominal,0.0987693178449632,0.9758931286146955,0.23194233403976772,16,,
in_class,3,16,secant,0.08516297380254811,0.9818888869924289,0.1896827281313811,16,,
in_class,3,16,channel_gate,2.4793641832805004e-12,1.0,6.418427421107024e-12,16,2.686719743621533e-11,1.1897931505272469e-14
in_class,3,32,nominal,0.0987693178449632,0.974904609334676,0.2245553083264284,32,,
in_class,3,32,secant,0.0705217378657996,0.987765880752294,0.15588506737196983,32,,
in_class,3,32,channel_gate,2.3662001988997806e-12,1.0,5.500304053250695e-12,32,2.5515446715758215e-11,5.425150918064766e-15
in_class,4,4,nominal,0.09681575636032691,0.9767659442459014,0.2294621677390561,4,,
in_class,4,4,secant,0.09293237196629607,0.9786842432138465,0.21308010387491344,4,,
in_class,4,4,channel_gate,3.2457428007993964e-12,1.0,7.704688366114387e-12,4,3.631305109441206e-11,7.947594365805288e-15
in_class,4,8,nominal,0.09681575636032691,0.9789814233297187,0.20495357875480302,8,,
in_class,4,8,secant,0.08999334335683641,0.9795594431024486,0.205442277192162,8,,
in_class,4,8,channel_gate,2.986486508925469e-12,1.0,6.72188422472879e-12,8,3.4030695817731837e-11,1.4107569419319446e-14
in_class,4,16,nominal,0.09681575636032691,0.9743420595286718,0.23511703799731457,16,,
in_class,4,16,secant,0.08333758398747876,0.9802620692467642,0.19966511020543853,16,,
in_class,4,16,channel_gate,2.9226899611055136e-12,1.0,7.144202067976304e-12,16,3.339058901874211e-11,5.830955523481986e-15
in_class,4,32,nominal,0.09681575636032691,0.9765445829096806,0.21680474870818645,32,,
in_class,4,32,secant,0.06820340110024863,0.9893592831313249,0.1465079489964275,32,,
in_class,4,32,channel_gate,2.834036487639633e-12,1.0,6.4896081612622595e-12,32,3.2461053630014104e-11,1.026652697784475e-14
in_class,5,4,nominal,0.0931267892537316,0.9777131891039652,0.21011239877466314,4,,
in_class,5,4,secant,0.09061486950690252,0.979180485308609,0.20521571064582966,4,,
in_class,5,4,channel_gate,2.604338862161997e-12,1.0,6.078939568903862e-12,4,3.0008292599654095e-11,7.921286522079074e-15
in_class,5,8,nominal,0.0931267892537316,0.9774543819142776,0.21907162604607164,8,,
in_class,5,8,secant,0.0883013002120025,0.979216217719169,0.21013654866553302,8,,
in_class,5,8,channel_gate,2.504602492531202e-12,1.0,5.561233307030263e-12,8,2.9257159418263346e-11,2.731712106112583e-15
in_class,5,16,nominal,0.0931267892537316,0.9785397453699325,0.21048553658424807,16,,
in_class,5,16,secant,0.08139772465963677,0.9855831332326188,0.1783421597852753,16,,
in_class,5,16,channel_gate,2.4252567741874484e-12,1.0,5.420949147431419e-12,16,2.8944871322791517e-11,4.633163313951267e-15
in_class,5,32,nominal,0.0931267892537316,0.9740326965572812,0.22947965210514093,32,,
in_class,5,32,secant,0.06684632525637543,0.9891782359870984,0.15064293794467978,32,,
in_class,5,32,channel_gate,2.3848142052761693e-12,1.0,5.871583296935819e-12,32,2.8618792016676557e-11,4.539466613542326e-15
out_of_class,0,4,nominal,0.15800150561300047,0.9559698026819348,0.3201589431772943,4,,
out_of_class,0,4,secant,0.15124094012152714,0.9515861711869231,0.32164809144758444,4,,
