stratum,rig,K,method,hidden_action_relative_l2,gradient_cosine_median,gradient_relative_l2_median,query_count,gate_relative_l2,dot_defect_max
out_of_class,0,4,channel_gate,0.12873377751039652,0.9717768667666526,0.25122076612201283,4,0.2579287891050498,1.507615110845628e-14
out_of_class,0,8,nominal,0.15800150561300047,0.9613744475188366,0.2985743046898568,8,,
out_of_class,0,8,secant,0.14801857836672247,0.9594849203469838,0.30451233024719465,8,,
out_of_class,0,8,channel_gate,0.12790528916409027,0.977731629026752,0.2137085931398744,8,0.19316478063984435,9.142634003954553e-15
out_of_class,0,16,nominal,0.15800150561300047,0.9439538075580035,0.33702411724958004,16,,
out_of_class,0,16,secant,0.13852225055399817,0.9582270854423975,0.2963375713741295,16,,
out_of_class,0,16,channel_gate,0.12748550927351554,0.9635222234481724,0.2850394270796477,16,0.17694175511915616,3.725330983874964e-15
out_of_class,0,32,nominal,0.15800150561300047,0.9355706990123169,0.360657980899763,32,,
out_of_class,0,32,secant,0.1137968789075565,0.9656539009968319,0.2623117068842339,32,,
out_of_class,0,32,channel_gate,0.12749959299843266,0.9589771828011362,0.2907329792807024,32,0.1557399365451544,2.945111910599308e-15
out_of_class,1,4,nominal,0.16113464018388363,0.9336949762621094,0.3657083697114527,4,,
out_of_class,1,4,secant,0.15265657834940127,0.9321383889361312,0.3792063475142994,4,,
out_of_class,1,4,channel_gate,0.12619674257265126,0.9738834786814309,0.23825047430123647,4,0.3325032218635721,1.6877036842831506e-15
out_of_class,1,8,nominal,0.16113464018388363,0.9233014276952831,0.4021267520625689,8,,
out_of_class,1,8,secant,0.14828469463633237,0.9360898061247014,0.36555561961687644,8,,
out_of_class,1,8,channel_gate,0.12317278489682588,0.9648252943169107,0.2675259548519625,8,0.22546067657298557,3.2042525148570023e-15
out_of_class,1,16,nominal,0.16113464018388363,0.9372363071477008,0.36686580940314645,16,,
out_of_class,1,16,secant,0.13718978976221033,0.9504522717486572,0.328864167379727,16,,
out_of_class,1,16,channel_gate,0.12217639127013921,0.9729619784263668,0.24624034530736177,16,0.16331318948898454,5.313187626232199e-15
out_of_class,1,32,nominal,0.16113464018388363,0.9427115117178424,0.3387103348550881,32,,
out_of_class,1,32,secant,0.11237857188106083,0.9711597151435127,0.24227795286358805,32,,
out_of_class,1,32,channel_gate,0.12190215143891789,0.9759672374039353,0.21844918658230156,32,0.13779414714750823,2.147783884767684e-14
out_of_class,2,4,nominal,0.15273607833026426,0.9529522091459243,0.32578831901241756,4,,
out_of_class,2,4,secant,0.15105581119312278,0.9568866086349135,0.30760215919901,4,,
out_of_class,2,4,channel_gate,0.12092774311128435,0.9689995175309075,0.2497657659023828,4,0.37438303224795877,4.3814419855416334e-14
out_of_class,2,8,nominal,0.15273607833026426,0.9528129452185449,0.3125017489090155,8,,
out_of_class,2,8,secant,0.14863514103951259,0.9648836289988859,0.2698080036935956,8,,
out_of_class,2,8,channel_gate,0.11710473814472695,0.9794916815833867,0.20585382533045124,8,0.20602984799302762,1.7188207580909283e-14
out_of_class,2,16,nominal,0.15273607833026426,0.943381167487332,0.3420548272926847,16,,
out_of_class,2,16,secant,0.13815266748162436,0.9589764893759987,0.2918409639460984,16,,
out_of_class,2,16,channel_gate,0.11632013399609714,0.9728939130096446,0.23391170939205003,16,0.17833811865087856,3.5440244223140817e-14
out_of_class,2,32,nominal,0.15273607833026426,0.9307496228256888,0.3746632680170817,32,,
out_of_class,2,32,secant,0.10747339818313371,0.9663120710385429,0.25808799221706585,32,,
out_of_class,2,32,channel_gate,0.115621858180286,0.9629657594782834,0.3015223983387152,32,0.12741925688846098,5.2494639835805694e-15
out_of_class,3,4,nominal,0.14576628128845415,0.9426736838628478,0.34857114203918127,4,,
out_of_class,3,4,secant,0.13775587768351527,0.94502244108955,0.3446024374212347,4,,
out_of_class,3,4,channel_gate,0.10612591395068954,0.9712465084936932,0.24656967321189233,4,0.2796302364580019,5.536141530722092e-15
out_of_class,3,8,nominal,0.14576628128845415,0.946154696122317,0.33049095933850225,8,,
out_of_class,3,8,secant,0.1313745633674259,0.9530952672437788,0.3210437882832361,8,,
out_of_class,3,8,channel_gate,0.1067599932469588,0.9730145379947505,0.24213968268116273,8,0.28507068369089816,7.339676698033961e-15
out_of_class,3,16,nominal,0.14576628128845415,0.9530052728441765,0.3208931080750177,16,,
out_of_class,3,16,secant,0.12018734872829555,0.9602306528189695,0.2822522204313738,16,,
out_of_class,3,16,channel_gate,0.10500657047625585,0.9750151467668908,0.23030684988932215,16,0.1869117971534539,3.5130639869246372e-15
out_of_class,3,32,nominal,0.14576628128845415,0.9523520294907692,0.30961155542417845,32,,
out_of_class,3,32,secant,0.1019032363820828,0.9675337249879359,0.2546590873819877,32,,
out_of_class,3,32,channel_gate,0.1044717472115448,0.9646030226507222,0.26367576080525346,32,0.13723917244094902,8.387009061153586e-15
out_of_class,4,4,nominal,0.14936112121048886,0.9359244147313579,0.37255308642960283,4,,
out_of_class,4,4,secant,0.14544473254235885,0.9433089862964283,0.3525009271946361,4,,
out_of_class,4,4,channel_gate,0.11394619417142354,0.9631595302359319,0.282893685289036,4,0.2357658757407968,2.6424007182578468e-14
out_of_class,4,8,nominal,0.14936112121048886,0.960923688558813,0.2920769623107672,8,,
out_of_class,4,8,secant,0.13973143897123838,0.961466112033345,0.29431809050206614,8,,
out_of_class,4,8,channel_gate,0.11376979734463857,0.9758468243923432,0.22309180608691564,8,0.21682829982754692,8.249833194651587e-14
out_of_class,4,16,nominal,0.14936112121048886,0.9552670404787504,0.3174636890056873,16,,
out_of_class,4,16,secant,0.13514420052071022,0.9708652717332426,0.26309469650342804,16,,
out_of_class,4,16,channel_gate,0.11264403875422205,0.9750586026040228,0.2380238679212712,16,0.150306855430755,7.847878022151496e-15
out_of_class,4,32,nominal,0.14936112121048886,0.9395027536589884,0.3641454309806123,32,,
out_of_class,4,32,secant,0.10855413752317891,0.966436455221158,0.2638464537467321,32,,
out_of_class,4,32,channel_gate,0.11257276735921248,0.9639685201245178,0.2765584427890285,32,0.13477906336517564,2.008742310922307e-15
out_of_class,5,4,nominal,0.16398990279905548,0.9369637500958954,0.35499977089218,4,,
out_of_class,5,4,secant,0.1604798743046016,0.9417389978264992,0.34438770099173927,4,,
out_of_class,5,4,channel_gate,0.1320921806032741,0.9697514806278453,0.2460154174894943,4,0.20518444900165714,2.339399132469727e-14
out_of_class,5,8,nominal,0.16398990279905548,0.9555485762424253,0.29775266997815775,8,,
out_of_class,5,8,secant,0.15207808388017874,0.9494082227686531,0.31488478659945096,8,,
out_of_class,5,8,channel_gate,0.13189822392243644,0.9803007417097067,0.20231217485304304,8,0.21388660314153385,2.8117601103185777e-15
out_of_class,5,16,nominal,0.16398990279905548,0.9477706293391475,0.32297292242090647,16,,
out_of_class,5,16,secant,0.1377673071495242,0.9579617935370617,0.2894953767381656,16,,
out_of_class,5,16,channel_gate,0.1305593548804383,0.9777730939839422,0.20918938777703344,16,0.12457430581091658,1.787389256584742e-15
out_of_class,5,32,nominal,0.16398990279905548,0.9264369779237172,0.3940104528358778,32,,
out_of_class,5,32,secant,0.10736812881727816,0.9603564166276638,0.2887423958578391,32,,
out_of_class,5,32,channel_gate,0.13045110180240127,0.9649284302794281,0.2684727028918717,32,0.11283478775602708,4.698786725413581e-15
