rig_id,block_id,true_aperture_radius,metadata_aperture_radius,candidate_aperture_radius,validation_camera_index,kappa,mean_gcv,mean_upre,mean_effective_df_fraction,mean_whitened_discrepancy,mean_df_corrected_discrepancy,outer_validation_mse,whitening
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.0,0,1e-06,3.5408215174617395,0.7191545112348956,0.9233365051575746,0.24181610298277634,0.9587847430827685,20355.06324298148,diagonal
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.0,0,3.162277660168379e-06,3.390553694332449,0.7067552330603457,0.9092550435611189,0.25194716336255535,0.96225470874951,4912.661718045366,diagonal
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.0,0,1e-05,3.1835597643916334,0.6882345312858864,0.8913071315572386,0.26214312079430474,0.9622567801029352,1147.7131052176755,diagonal
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.0,0,3.1622776601683795e-05,2.9370111369520924,0.6628678127769949,0.8666135543525109,0.2762861258129775,0.9633468168130207,400.8688049412808,diagonal
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.0,0,0.0001,2.7027373249755495,0.6338297066977091,0.8345301811893795,0.29858141679470174,0.9690624551149897,196.2153086292185,diagonal
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.0,0,0.00031622776601683794,2.486919256625706,0.6019028326868345,0.7975437569440409,0.3258328215763693,0.973314385365757,124.30971592250137,diagonal
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.0,0,0.001,2.2743991529251257,0.5647521295964086,0.7555630438042902,0.35585125950954455,0.9771829566538351,86.3791197685824,diagonal
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.0,0,0.0031622776601683794,2.096852253019457,0.5268192580540949,0.7065506538207669,0.39633821194086793,0.9963262659642576,61.487165901265485,diagonal
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.0,0,0.01,1.9973350567836574,0.50009658381999,0.648608749020843,0.4623225853866414,1.057039295078862,50.449729145711565,diagonal
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.0,0,0.03162277660168379,2.1228043450433347,0.5379050923444989,0.5798554902416267,0.6101363079578962,1.2609353343289829,47.47484039707914,diagonal
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.0,0,0.1,3.2663175586970654,0.9807072995798065,0.49686621142778026,1.185721361295358,2.2000664788142217,49.472751686141294,diagonal
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.0,0,0.31622776601683794,9.159913699033938,3.9094454200505626,0.3959591609880512,4.27591076246968,7.0492496974516285,59.44743815894772,diagonal
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.0,0,1.0,31.57649544686331,18.508086805695363,0.2787914078173681,19.062020553187573,27.514693362292284,92.93748678714005,diagonal
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.0,1,1e-06,3.7298885141605886,0.7326964312024304,0.9331868869094532,0.23959741214730523,0.9825199616178562,14374.35245508457,diagonal
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.0,1,3.162277660168379e-06,3.5027922061970034,0.7159550274709978,0.9185000765669737,0.24635490496383974,0.9692987379253524,3621.082686891005,diagonal
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.0,1,1e-05,3.2392743022642247,0.6939955010618462,0.9002437589759086,0.2536054867003925,0.9569280828230412,902.9699371668472,diagonal
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.0,1,3.1622776601683795e-05,2.9441812724224183,0.665045962099301,0.8753714677597214,0.2644516136837468,0.9443392615122461,351.5762605939449,diagonal
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.0,1,0.0001,2.6608116839158624,0.6311072540755915,0.8440221802895689,0.28067176561228135,0.9332057782366863,206.17716935001624,diagonal
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.0,1,0.00031622776601683794,2.4082420767016757,0.5932743784107821,0.8052772742048345,0.3048307396830469,0.9359386089127817,131.96278421179122,diagonal
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.0,1,0.001,2.2069493552961985,0.5546382731470036,0.7576927312960876,0.3423299030732635,0.9559401255461106,76.64943955519706,diagonal
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.0,1,0.0031622776601683794,2.0439509647457696,0.5161737157721752,0.7028213132817822,0.39165961452132353,0.9862887907923892,43.808852520616526,diagonal
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.0,1,0.01,1.9272592648429843,0.48298198634381173,0.6401756160166965,0.45870100071709735,1.039413811036355,29.305812606926594,diagonal
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.0,1,0.03162277660168379,1.9913220596678292,0.5015060507051656,0.5685041726964657,0.5918993743908205,1.2032386313747425,25.630107331635184,diagonal
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.0,1,0.1,2.9559329120027815,0.8821355446520859,0.4857667383699884,1.1049087632601045,2.011738882547893,24.68517466624734,diagonal
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.0,1,0.31622776601683794,8.606103536521397,3.709333766282414,0.3885172999476193,4.087706086366223,6.635749503163307,23.355424851808927,diagonal
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.0,1,1.0,32.10422228585094,18.92049095142022,0.2763454736541442,19.47833819357359,27.921394295930767,30.393602256914917,diagonal
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.0,2,1e-06,4.0331408481056235,0.7523657615485054,0.9290827918038962,0.26583329466227174,1.0783873019440595,13940.231400392648,diagonal
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.0,2,3.162277660168379e-06,3.810879828722789,0.7377933610048263,0.9129372521771126,0.27709375752144616,1.0778049066016524,3114.721429351728,diagonal
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.0,2,1e-05,3.5691898859587035,0.7199491413348669,0.8923900284039272,0.2921250958885834,1.0815098447701132,840.2292682659313,diagonal
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.0,2,3.1622776601683795e-05,3.3292465006066423,0.6997466525846252,0.8671956606829236,0.3122335954919474,1.087027030516416,353.7048788999697,diagonal
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.0,2,0.0001,3.0696448686531332,0.6742862363045063,0.8374088323313039,0.33443210457442,1.0876861115861383,190.31140157315167,diagonal
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.0,2,0.00031622776601683794,2.7783970828285773,0.6400819073361157,0.8010674623147572,0.3583739676325042,1.0835890208394916,112.30890780567627,diagonal
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.0,2,0.001,2.47686626068145,0.5963964837432125,0.7544709462738826,0.3892429697050004,1.0810965896446043,63.331748512320736,diagonal
