variant_id,method,block_count,nearest_bank_match_count,selected_radius_boundary_count,fold_kappa_boundary_count,mean_fold_score_deletion_radius_stability_fraction,mean_outer_validation_mse,mean_selected_effective_df_fraction,mean_selected_whitened_discrepancy,mean_selected_df_corrected_discrepancy,development_rank
exact_df_corrected_1p00,df_corrected_morozov,6,4,0,0,0.7916666666666666,172.29182394088943,0.7789565226991307,0.368229743838506,1.0651958457497626,1
diagonal_df_corrected_1p00,df_corrected_morozov,6,4,0,0,0.7916666666666666,350.30021231273,0.790176113686656,0.35825038461552133,1.0585511574132158,2
diagonal_gcv,gcv,6,3,0,0,0.7083333333333334,24.885389483111496,0.6334171745160895,0.5153237644770423,1.150949637830611,3
exact_gcv,gcv,6,2,1,0,0.7083333333333334,23.903873851640856,0.6318100330165911,0.5228628339430094,1.1643825207272445,4
exact_upre,upre,6,2,1,0,0.7083333333333334,24.11952293644535,0.6400967956949922,0.5080910104653609,1.1494437156357946,5
diagonal_upre,upre,6,2,1,0,0.7083333333333334,25.109778805446165,0.639954473056745,0.5063645610711,1.1450279422325875,6
exact_morozov_1p00,morozov,6,1,3,0,0.7916666666666666,24.17426085200142,0.5472606836292377,0.8705245231569182,1.7037310072790006,7
diagonal_morozov_1p00,morozov,6,0,4,0,0.7916666666666666,25.314727337219683,0.5480514576114224,0.8453264563081252,1.6573721533991626,8
