rig_id,candidate_partition,risk_score,acceptance_threshold,support_gate_passed,harm_failure,fallback_used
risk-00,paired_local,0.4,0.4,False,True,True
risk-01,paired_local,0.4,0.4,False,False,True
risk-02,paired_cross,0.14285714285714285,0.4,False,False,True
risk-03,paired_local,0.4,0.4,False,True,True
risk-04,paired_cross,0.14285714285714285,0.4,False,False,True
risk-05,paired_local,0.4,0.4,False,False,True
risk-06,paired_local,0.4,0.4,False,False,True
risk-07,paired_cross,0.14285714285714285,0.4,True,False,True
risk-08,paired_local,0.4,0.4,True,False,True
risk-09,paired_local,0.4,0.4,False,False,True
risk-10,paired_cross,0.14285714285714285,0.4,True,False,True
risk-11,paired_local,0.4,0.4,False,False,True
