case_count,checkpoint,configuration_id,dominated_by_any_cgls_checkpoint,dominates_at_least_one_cgls_checkpoint,globally_dominated,lambda_h1,lambda_l2,maximum_data_residual_consistency_relative_difference,mean_active_measured_weighted_residual,mean_active_residual_ratio_vs_same_k_cgls,mean_augmented_objective_squared,mean_field_gain_vs_same_k_cgls_percent,mean_field_relative_l2,mean_front_top10_f1,mean_gradient_gain_vs_same_k_cgls_percent,mean_gradient_relative_l2,mean_heldout_b_clean_residual,mean_heldout_b_ratio_vs_same_k_cgls,mean_quadratic_penalty_squared,pilot_signal,regularization_family
24,4,cgls,False,False,True,0.0,0.0,4.699116686879279e-07,0.3354494298497836,1.0,14723.704833984375,0.0,0.9486205354332924,0.3802766775091489,0.0,1.1771804292996724,0.7538613453507423,1.0,0.0003662109375,False,unregularized
24,8,cgls,False,False,True,0.0,0.0,1.1801325854321476e-06,0.18088890612125397,1.0,4262.143035888672,0.0,0.9310759628812472,0.3839004213611285,0.0,1.2636725157499313,0.6953653817375501,1.0,7.120768229166667e-05,False,unregularized
24,12,cgls,False,False,True,0.0,0.0,2.1553400983975735e-06,0.11504941216359536,1.0,1732.525141398112,0.0,0.9223863904674848,0.3879818953573704,0.0,1.3085339814424515,0.6707173759738604,1.0,9.663899739583333e-05,False,unregularized
24,16,cgls,False,False,True,0.0,0.0,3.49686138179095e-06,0.08038438608249028,1.0,852.328732808431,0.0,0.9175658226013184,0.3899781294167042,0.0,1.3357754250367482,0.6594343222677708,1.0,3.814697265625e-05,False,unregularized
24,20,cgls,False,False,True,0.0,0.0,5.058837814431172e-06,0.06150910553211967,1.0,503.0474332173665,0.0,0.9147552226980528,0.39208879818518955,0.0,1.3515503803888957,0.6526533998548985,1.0,2.6702880859375e-05,False,unregularized
24,24,cgls,False,False,True,0.0,0.0,6.784336619602982e-06,0.04999113129451871,1.0,335.6209087371826,0.0,0.9128749296069145,0.3926355379323165,0.0,1.3619263023138046,0.6476919290920099,1.0,2.1616617838541668e-05,False,unregularized
24,4,h1_1e-2,False,True,True,0.01,0.0,4.281942835859809e-07,0.3420231454074383,1.0195967408875861,25201.46484375,0.4863198501976184,0.9440072054664294,0.3854262058933576,5.181345538997653,1.1161866436402004,0.7555522893865904,1.0022430438253354,9938.118693033854,True,h1
24,8,h1_1e-2,False,True,True,0.01,0.0,1.0513357437957893e-06,0.20229333577056727,1.1183291452653565,15813.451822916666,3.6135061801338084,0.8974314754207929,0.4030490318934123,12.396035057950208,1.1070272276798885,0.6522069610655308,0.9379341827972844,10502.431966145834,False,h1
24,12,h1_1e-2,False,True,True,0.01,0.0,1.920986505865585e-06,0.1493982613707582,1.298557363842244,11210.907470703125,9.595160381242835,0.8338819369673729,0.4183323172231515,20.047867565213522,1.046200821797053,0.5561658019820849,0.8292103677417776,8297.269449869791,False,h1
24,16,h1_1e-2,False,True,True,0.01,0.0,3.067477791773854e-06,0.11931386621048053,1.4842915648822756,8213.445048014322,15.80459496650254,0.7725482607881228,0.42428044478098553,26.664748278226792,0.9795942703882853,0.48798052097360295,0.7399986693071352,6338.232584635417,False,h1
24,20,h1_1e-2,False,True,True,0.01,0.0,4.283544967620401e-06,0.1007217603425185,1.6375097552007518,6715.866841634114,19.86354768170465,0.7330523828665415,0.42941969508926076,30.619711911185174,0.9377095475792885,0.45443864663441974,0.6962940003613757,5366.790344238281,False,h1
24,24,h1_1e-2,False,True,False,0.01,0.0,5.216977569943992e-06,0.0906959269195795,1.8142403376561291,6049.198099772136,22.419860237612166,0.7082096462448438,0.4327128479878108,33.0024633360813,0.9124570737282435,0.4368557035923004,0.6744806967175309,4953.31196085612,False,h1
24,4,h1_1e-3,False,True,True,0.001,0.0,4.384323233352916e-07,0.33476080372929573,0.9979471537012412,16024.046712239584,0.056255404437112196,0.9480868851145109,0.3805309670666854,0.6845913845147307,1.1691215535004933,0.7542086864511172,1.0004607493175197,1361.8944905598958,False,h1
24,8,h1_1e-3,False,True,True,0.001,0.0,1.1653423825919162e-06,0.17940511678655943,0.9917972341891441,6165.275329589844,0.40576824634958475,0.9272979522744814,0.38620181381702423,2.0781866637221444,1.2374110420544941,0.6914097120364507,0.9943113795926752,1970.5558573404949,True,h1
24,12,h1_1e-3,False,True,True,0.001,0.0,2.2167660063132644e-06,0.113359902985394,0.9853149255921538,3855.1278076171875,1.117549729165711,0.9120782638589541,0.39336029440164566,3.8914995579285088,1.2576123873392742,0.6578751864532629,0.9808530537889361,2170.1336568196616,True,h1
24,16,h1_1e-3,False,True,True,0.001,0.0,3.6251276469556615e-06,0.07929127756506205,0.9864014820452011,2988.7254486083984,2.238512989740721,0.8970259924729665,0.39988302315274876,5.99376751575893,1.2557121515274048,0.6328896842896938,0.9597463506497647,2158.5292154947915,True,h1
24,20,h1_1e-3,False,True,True,0.001,0.0,5.089983460493386e-06,0.06212365813553333,1.009991245980528,2527.5325520833335,3.842697708304634,0.8796039447188377,0.40631675099333125,8.373887579466595,1.2383730709552765,0.6068753389020761,0.9298585421251158,2016.019037882487,True,h1
24,24,h1_1e-3,False,True,True,0.001,0.0,6.452114575949963e-06,0.053193654554585613,1.0640618281110603,2176.079991658529,6.058506682161649,0.8575683409969012,0.41311921551823616,11.188833418144354,1.20954263707002,0.5764609823624293,0.8900234146356613,1799.7457631429036,False,h1
24,4,h1_1e-4,False,True,True,0.0001,0.0,4.4806952814724355e-07,0.33535728727777797,0.9997253160571866,14857.071248372396,0.005767019345769801,0.948565828303496,0.38031482075651485,0.07084329636852134,1.1763464758793514,0.7538978680968285,1.0000484475644114,141.48738606770834,False,h1
24,8,h1_1e-4,False,True,True,0.0001,0.0,1.2066938097632374e-06,0.18061714867750803,0.9984976555523877,4466.470377604167,0.042428835042375664,0.9306809181968371,0.3841547171274821,0.22750874401477147,1.2607975502808888,0.6949662044644356,0.9994259460082452,216.68660481770834,False,h1
