active_measured_weighted_residual,algorithm_wall_seconds_full_path,alpha,augmented_objective_squared,breakdown,checkpoint,configuration_id,data_residual_consistency_relative_difference,data_residual_squared,evaluator_forward_api_calls,evaluator_wall_seconds,family,field_relative_l2,front_top10_f1,gradient_relative_l2,heldout_b_clean_residual,lambda_h1,lambda_l2,physical_adjoint_calls_full_path,physical_forward_calls_full_path,quadratic_penalty_squared,regularization_family,regularization_row_count,sample_id,split
0.3757961392402649,0.14956920791883022,0.007056996387577011,13777.1591796875,False,4,cgls,3.5126635111737414e-07,13777.158203125,1,0.014366958988830447,plume,0.95891273021698,0.4208117127418518,1.1719022989273071,0.8210468292236328,0.0,0.0,24,24,0.0009765625,unregularized,0,validation-000,validation
0.18976907432079315,0.14956920791883022,0.008087536000608136,3513.224853515625,False,8,cgls,9.758778105606325e-07,3513.224853515625,1,0.014366958988830447,plume,0.9421340823173523,0.42691487073898315,1.2796770334243774,0.7696987390518188,0.0,0.0,24,24,0.0,unregularized,0,validation-000,validation
0.11731881648302078,0.14956920791883022,0.009365483018140799,1342.7353515625,False,12,cgls,1.8494429241400212e-06,1342.7352294921875,1,0.014366958988830447,plume,0.934442400932312,0.41562405228614807,1.3195182085037231,0.7458285689353943,0.0,0.0,24,24,0.0001220703125,unregularized,0,validation-000,validation
0.07677770406007767,0.14956920791883022,0.008954491324997472,575.0759887695312,False,16,cgls,3.061844154217397e-06,575.0759887695312,1,0.014366958988830447,plume,0.9302588701248169,0.40677449107170105,1.3441905975341797,0.7317149639129639,0.0,0.0,24,24,0.0,unregularized,0,validation-000,validation
0.05617906153202057,0.14956920791883022,0.010791316455814479,307.8959045410156,False,20,cgls,4.4389880713424645e-06,307.89593505859375,1,0.014366958988830447,plume,0.9281081557273865,0.4089106023311615,1.3570027351379395,0.7242090702056885,0.0,0.0,24,24,0.0,unregularized,0,validation-000,validation
0.04313862323760986,0.14956920791883022,0.010216791605550035,181.54638671875,False,24,cgls,6.062579359422671e-06,181.54638671875,1,0.014366958988830447,plume,0.9266003370285034,0.4079951047897339,1.3653730154037476,0.7201951146125793,0.0,0.0,24,24,0.0,unregularized,0,validation-000,validation
0.2769103944301605,0.1403888330096379,0.007414206610512125,15670.396484375,False,4,cgls,4.699116686879279e-07,15670.396484375,1,0.009443707996979356,wavy_front,0.9401353597640991,0.37046077847480774,1.1898193359375,0.7111950516700745,0.0,0.0,24,24,0.0,unregularized,0,validation-001,validation
0.1604427844285965,0.1403888330096379,0.00900163991324542,5260.6796875,False,8,cgls,9.728854593049618e-07,5260.6796875,1,0.009443707996979356,wavy_front,0.9223949909210205,0.38266706466674805,1.2537742853164673,0.6510007977485657,0.0,0.0,24,24,0.0,unregularized,0,validation-001,validation
0.10607156157493591,0.1403888330096379,0.00841648034232799,2299.31982421875,False,12,cgls,1.6440224044345086e-06,2299.31982421875,1,0.009443707996979356,wavy_front,0.9116969108581543,0.39823007583618164,1.3032701015472412,0.6182391047477722,0.0,0.0,24,24,0.0,unregularized,0,validation-001,validation
0.07689541578292847,0.1403888330096379,0.007214863329937862,1208.3768310546875,False,16,cgls,2.494421778465039e-06,1208.3768310546875,1,0.009443707996979356,wavy_front,0.9051252007484436,0.39792492985725403,1.335609793663025,0.5996827483177185,0.0,0.0,24,24,0.0,unregularized,0,validation-001,validation
