candidate_id,scope,camera_id,ray_count,vector_relative_l2,component_rmse_px,component_mae_px,residual_magnitude_p95_px,measured_vector_rms_px,predicted_vector_rms_px
support_cgls4_16cubed,pooled,,3847050,0.8432631430215097,0.18050256413287494,0.11108878488647311,0.5022947086198483,0.3027159153727143,0.14322256442597028
support_cgls4_16cubed,camera,2,959098,0.7626745587411923,0.13277379718491494,0.08542604629989377,0.42199462283591943,0.24620003716473696,0.18141815822886884
support_cgls4_16cubed,camera,3,1643912,0.8729019250172486,0.19401681630441978,0.11399603176699222,0.5152590144052348,0.31433223490799045,0.12168830422442045
support_cgls4_16cubed,camera,4,1244040,0.8399410380546845,0.193443768896609,0.1270318600440751,0.590319280170457,0.3257023875910911,0.13598271288357539
support_cgls4_32cubed,pooled,,3847050,0.9595912440290707,0.2054028822439408,0.11782747851547412,0.617789551735892,0.3027159153727143,0.08260471879756778
support_cgls4_32cubed,camera,2,959098,0.8241935616989259,0.1434836229265916,0.08626779645161377,0.39392626142275067,0.24620003716473696,0.09499294312280757
support_cgls4_32cubed,camera,3,1643912,0.9829067711429269,0.21846720346898008,0.12087855300096803,0.6329537830481519,0.31433223490799045,0.07189901825561579
support_cgls4_32cubed,camera,4,1244040,0.9856301534449727,0.22699689976110604,0.138126769525801,0.7322285688839475,0.3257023875910911,0.08551658796470125
