rig_id,true_aperture_radius,nearest_candidate_radius,reconstruction_path_samples,reconstruction_aperture_samples,truth_path_samples,truth_aperture_samples,reconstruction_reference_scale,truth_reference_scale,reconstruction_over_truth_scale,native_best_radius,native_nearest_match,native_best_distance,native_nearest_distance,native_nearest_over_best,native_ranking_margin,shared_scale_best_radius,shared_scale_nearest_match,shared_scale_best_distance,shared_scale_nearest_distance,shared_scale_nearest_over_best,shared_scale_ranking_margin,profiled_gain_best_radius,profiled_gain_nearest_match,profiled_gain_best_distance,profiled_gain_nearest_distance,profiled_gain_nearest_over_best,profiled_gain_ranking_margin,profiled_gain_at_best_radius
development_rig_a,0.055,0.04,21,9,47,43,1.5649679704019852,1.53044918165711,1.0225546781680785,0.08,False,0.06698393257511415,0.07268315438023504,1.0850834160674268,0.005699221805120891,0.08,False,0.06220995631520759,0.0769435830113791,1.236837116900045,0.014733626696171509,0.08,False,0.06213375403646536,0.07262729144066897,1.1688862610497526,0.010493537404203612,1.02571814927554
development_rig_a,0.095,0.08,21,9,47,43,1.5649679704019852,1.53044918165711,1.0225546781680785,0.08,True,0.06600190117614987,0.06600190117614987,1.0,0.000638317112149997,0.12,False,0.060170409480682266,0.07350611209244408,1.2216322396151091,0.013335702611761813,0.12,False,0.059655261189277387,0.06497358072186442,1.0891508883971321,0.005318319532587032,1.0306667819150386
development_rig_a,0.135,0.12,21,9,47,43,1.5649679704019852,1.53044918165711,1.0225546781680785,0.16,False,0.0714560704260619,0.07486418529103057,1.0476952461092184,0.00340811486496867,0.16,False,0.06363543184106113,0.08496145579418869,1.3351281406621465,0.021326023953127562,0.16,False,0.06219454474360656,0.0710717738659287,1.142733243870793,0.008877229122322132,1.036538766963743
development_rig_a,0.055,0.04,21,17,47,43,1.5649679704019852,1.53044918165711,1.0225546781680785,0.08,False,0.06874981775222495,0.07007262893363075,1.0192409409167196,0.0013228111814058002,0.08,False,0.06172548540893074,0.07379735512353565,1.1955735080028758,0.012071869714604909,0.08,False,0.06088836937238672,0.07006966776664604,1.1507890339139726,0.009181298394259317,1.0330401103258233
development_rig_a,0.095,0.08,21,17,47,43,1.5649679704019852,1.53044918165711,1.0225546781680785,0.08,True,0.06027072535379027,0.06027072535379027,1.0,0.00942525409104937,0.12,False,0.06042117110862935,0.06583849249287657,1.0896593244528079,0.00541732138424722,0.12,False,0.0579636127483231,0.06012256992072645,1.0372467668945602,0.0021589571724033446,1.0403293465845993
development_rig_a,0.135,0.12,21,17,47,43,1.5649679704019852,1.53044918165711,1.0225546781680785,0.12,True,0.06285638506687807,0.06285638506687807,1.0,0.018095830633101315,0.16,False,0.06850089745700008,0.0713274834417094,1.0412634883577059,0.0028265859847093205,0.16,False,0.059993429760581515,0.061389361934645344,1.023268084182462,0.0013959321740638284,1.0575846876377268
development_rig_a,0.055,0.04,21,29,47,43,1.5649679704019852,1.53044918165711,1.0225546781680785,0.04,True,0.0676089574770003,0.0676089574770003,1.0,0.0028097749851169196,0.08,False,0.06245974123098107,0.07115473436260603,1.1392095605947228,0.008694993131624959,0.08,False,0.06098601524187417,0.06760823666885818,1.1085859012221062,0.006622221426984008,1.0365618617197878
development_rig_a,0.095,0.08,21,29,47,43,1.5649679704019852,1.53044918165711,1.0225546781680785,0.08,True,0.058186886366384506,0.058186886366384506,1.0,0.01846390881402773,0.08,True,0.06264830943496544,0.06264830943496544,1.0,0.002978247249828439,0.08,True,0.05818271491402605,0.05818271491402605,1.0,0.002141103807950427,0.9993025761994895
development_rig_a,0.135,0.12,21,29,47,43,1.5649679704019852,1.53044918165711,1.0225546781680785,0.12,True,0.057730627735495886,0.057730627735495886,1.0,0.03105658924602262,0.12,True,0.06346740636336863,0.06346740636336863,1.0,0.012238295127178722,0.12,True,0.057586860507535455,0.057586860507535455,1.0,0.006451364263913385,0.9959380816810101
development_rig_a,0.055,0.04,21,41,47,43,1.5649679704019854,1.53044918165711,1.0225546781680785,0.04,True,0.06758806120954562,0.06758806120954562,1.0,0.0042589907840289015,0.08,False,0.0638365054365982,0.07133993559791005,1.1175413677486494,0.007503430161311844,0.08,False,0.06223907221655668,0.06758729136802388,1.0859302518658767,0.005348219151467201,1.0373041252963802
development_rig_a,0.095,0.08,21,41,47,43,1.5649679704019854,1.53044918165711,1.0225546781680785,0.08,True,0.05812281201867145,0.05812281201867145,1.0,0.020244030266723986,0.08,True,0.06229525290513577,0.06229525290513577,1.0,0.0046826782180607734,0.08,True,0.058122727731539495,0.058122727731539495,1.0,0.002732032370737325,1.0000991623181252
development_rig_a,0.135,0.12,21,41,47,43,1.5649679704019854,1.53044918165711,1.0225546781680785,0.12,True,0.0561650989591247,0.0561650989591247,1.0,0.03687703439190362,0.12,True,0.06117705841576893,0.06117705841576893,1.0,0.018235387216992825,0.12,True,0.05613764685751228,0.05613764685751228,1.0,0.008990399025846904,0.9982444819038508
development_rig_a,0.055,0.04,29,9,47,43,1.5439108692260444,1.53044918165711,1.008795906280507,0.08,False,0.05591605929955071,0.05790589165274781,1.0355860620029975,0.0019898323531971004,0.08,False,0.05387734896445104,0.05993741294334802,1.1124788820417926,0.006060063978896982,0.08,False,0.053178334141718714,0.05718996077859221,1.0754372377702286,0.004011626636873496,1.0176113657555705
development_rig_a,0.095,0.08,29,9,47,43,1.5439108692260444,1.53044918165711,1.008795906280507,0.12,False,0.057206537347750025,0.05960071913033071,1.041851541687042,0.002394181782580683,0.12,False,0.05476350849956491,0.06312121170692646,1.152614458721686,0.008357703207361546,0.12,False,0.05352289887849163,0.056269660793980075,1.0513193786779782,0.0027467619154884423,1.0206427112304262
development_rig_a,0.135,0.12,29,9,47,43,1.5439108692260444,1.53044918165711,1.008795906280507,0.16,False,0.061081624432194545,0.07194372942406108,1.1778293405396303,0.01086210499186653,0.16,False,0.05846490708625206,0.07657988504877558,1.309843611583935,0.018114977962523524,0.16,False,0.056781188115722435,0.06371293836554108,1.1220782882473583,0.006931750249818645,1.0230701984756687
development_rig_a,0.055,0.04,29,17,47,43,1.5439108692260444,1.53044918165711,1.008795906280507,0.04,True,0.056130579179785645,0.056130579179785645,1.0,0.0014857022733259853,0.08,False,0.05460656991959872,0.05803306303439492,1.0627487337117363,0.003426493114796203,0.08,False,0.0523862648831915,0.05557987620246727,1.0609627604945064,0.0031936113192757715,1.0246098036920397
