reconstruction_path_samples,reconstruction_aperture_samples,rig_radius_blocks,mean_absolute_scale_mismatch_percent,native_match_rate,native_all_blocks_match,native_mean_best_distance,native_minimum_ranking_margin,shared_scale_match_rate,shared_scale_all_blocks_match,shared_scale_mean_best_distance,shared_scale_minimum_ranking_margin,profiled_gain_match_rate,profiled_gain_all_blocks_match,profiled_gain_mean_best_distance,profiled_gain_minimum_ranking_margin
21,9,6,1.338949530872413,0.16666666666666666,False,0.06545508094584682,0.000638317112149997,0.0,False,0.062706485776918,0.009780586390961181,0.0,False,0.061780476643693016,0.002567806516099863
21,17,6,1.3389495308724184,0.3333333333333333,False,0.06153515554425532,0.0013228111814058002,0.16666666666666666,False,0.06173472269223954,0.0018799435442209411,0.16666666666666666,False,0.056808548565772284,0.0013959321740638284
21,29,6,1.3389495308724184,0.8333333333333334,False,0.05903889633018866,5.99473288390856e-06,0.6666666666666666,False,0.05931558847751711,0.002978247249828439,0.6666666666666666,False,0.05470636715761206,0.0008647521865964847
21,41,6,1.3389495308724184,0.8333333333333334,False,0.057829851295504255,0.0042589907840289015,0.6666666666666666,False,0.058227332823255144,0.0046826782180607734,0.6666666666666666,False,0.05400384745466342,0.002732032370737325
29,9,6,0.8770766876850189,0.3333333333333333,False,0.05597338941216339,0.00019499136439317388,0.16666666666666666,False,0.05442101124787808,4.0566879343832685e-05,0.16666666666666666,False,0.05198307206958217,0.000890829623646186
29,17,6,0.8770766876850189,1.0,True,0.04988253945743526,0.0014857022733259853,0.5,False,0.05202977328159295,0.000499979300237513,0.5,False,0.046123905404202414,0.0005014481615393113
29,29,6,0.8770766876850189,1.0,True,0.04536870070564391,0.0056515264118587386,1.0,True,0.04830309375418803,0.0007168793729397244,0.8333333333333334,False,0.04355749717123256,0.00019994542472962645
29,41,6,0.8770766876850189,1.0,True,0.04367502875600842,0.007972861123283735,1.0,True,0.046405060447267006,0.0030399401486922925,1.0,True,0.042515152639355576,0.0017865217817310333
35,9,6,0.01458641831807439,0.0,False,0.046843906376497074,8.287869913867901e-05,0.16666666666666666,False,0.046859397529644194,6.571820559304192e-05,0.3333333333333333,False,0.04396656658035581,0.00021770060265588476
35,17,6,0.014586418318096595,0.8333333333333334,False,0.043209655010899045,0.0027202335573155018,0.8333333333333334,False,0.04316536669395884,0.002774418060992989,0.8333333333333334,False,0.0370320047669455,6.075428257626414e-05
35,29,6,0.01458641831807439,1.0,True,0.03860758606940792,0.0004211861254744542,1.0,True,0.03856992868889137,0.0003640853000126121,0.8333333333333334,False,0.03340353367367228,0.0005699036007774938
35,41,6,0.01458641831807439,1.0,True,0.03655717324766381,0.0019899464663609423,1.0,True,0.03652070187650792,0.001932348022361148,1.0,True,0.032020086884437166,0.0005642693640219715
