pack_index,cell_id,case_id,pair_id,role,field_unit_id,family_id,phantom_family,phantom_seed,orientation_id,aperture_id,contrast_factor,dimensionless_stress_multiplier,n3_failed_gate,step_count,reference_method,source_kind,identity_sha256,pack_array_sha256_float64_le_c_order,l2_norm,finite_fraction,source_logical_point_queries,source_path,source_file_sha256,source_record_sha256,source_array_sha256_legacy
13,smooth-s1987-orientation_22-wide__stress_1,smooth-s1987-orientation_22-wide,p07,matched_control,smooth-s1987,smooth,smooth_plume,1987,orientation_22,wide,aperture,1.0,none,2048,raw_separate_subtraction,n4_checkpoint,452a61ef675d6f80eb4456c7f9bb78ac1d0a8ba8bbab07fb2c225e0f0beabb08,eff0b7c9192b3d9938fe9c828f0ff82c442a5fc3b5d87fc4c1d6fc4e1e797074,4.863267512018947e-07,1.0,22020096,demo_t16_operator/results/n2_pvgr_n4_1_evaluator_convergence_v1_work/levels/smooth-s1987-orientation_22-wide__stress_1/H2048.json,d60a1b3e89fa974896c2dd12e661813251162c0b42f66b9ea82b34d759e438ba,6b9b957ffb07489b6a6724ecf09bfa78a63e608b06179eedc2435396226297b3,f5406766bd143140984671a04080edb4285820c806901bd1d2134f4bfecc9c46
14,smooth-s2131-orientation_58-wide__stress_1,smooth-s2131-orientation_58-wide,p08,n3_failure,smooth-s2131,smooth,smooth_plume,2131,orientation_58,wide,aperture,1.0,matched_residual_convergence_gate_met,1024,raw_separate_subtraction,n4_checkpoint,bf6bfa86619a0be137f3477df68a117f716e380c8333302653b79705756bec39,d4f78237fe58067bcb1b899a9bd8ae55fa07e2a2245cbfe62a154bc40ee0ef4d,4.2105403839091885e-07,1.0,11010048,demo_t16_operator/results/n2_pvgr_n4_1_evaluator_convergence_v1_work/levels/smooth-s2131-orientation_58-wide__stress_1/H1024.json,007d6326f4705b55fb0936c399552ef6d075cb35431281976e1db46030442610,6bc16cc2adc69fbe020f4af33cd52dfddfd84be970e4337b2102e8575049570d,3e08a868af122e9c0690ceb610dcbd1cc6beae1791db222ef4ae1cd6c715162e
15,smooth-s2131-orientation_58-narrow__stress_1,smooth-s2131-orientation_58-narrow,p08,matched_control,smooth-s2131,smooth,smooth_plume,2131,orientation_58,narrow,aperture,1.0,none,1024,raw_separate_subtraction,n4_checkpoint,aca2dc84a52744af3c479f8cf96ff83bc2c2b1383246a656fc1c21ce547c2104,0567486785ff5d5bd47a6ca1c733c7fb676217541cfec3753943a1dd257cd050,4.2094127823074023e-07,1.0,11010048,demo_t16_operator/results/n2_pvgr_n4_1_evaluator_convergence_v1_work/levels/smooth-s2131-orientation_58-narrow__stress_1/H1024.json,f7b8da383373a071fc200d9ea4e56d0383e07fa30729d5e3c6c5ecd312358ff6,41ed38883995e4e11bd1bb1615c8364e10ee7bdcdfe81788370709cab6d04425,725c503febd8530958f85a9daac8c63c54a071b0fdfaa66ca6e6714950474270
16,smooth-s2131-orientation_58-wide__stress_3,smooth-s2131-orientation_58-wide,p09,n3_failure,smooth-s2131,smooth,smooth_plume,2131,orientation_58,wide,aperture,3.0,matched_residual_convergence_gate_met,1024,raw_separate_subtraction,n4_checkpoint,b7e4549a8158f918f49619a5463ff27394b31c1dcf1cc71ca2bef3bf27fcbe94,0f65091eb772793d45d494b8fb8a55d6bf7642639b68731678163525718d63ed,3.791845380937676e-06,1.0,11010048,demo_t16_operator/results/n2_pvgr_n4_1_evaluator_convergence_v1_work/levels/smooth-s2131-orientation_58-wide__stress_3/H1024.json,04e7b4626201a016c070375d0684cb29d45b087ab7e264b1325205570c60e11a,a0d61594fb4fcec47686e104a65a20dae58f27df249b3ca17c91a49fc4bbbbab,c4b1a96d9982cc0024ddc3fa2ef821582dbdf40cc2f1133a982fd25e92af6892
17,smooth-s2131-orientation_58-narrow__stress_3,smooth-s2131-orientation_58-narrow,p09,matched_control,smooth-s2131,smooth,smooth_plume,2131,orientation_58,narrow,aperture,3.0,none,1024,raw_separate_subtraction,n4_checkpoint,8a78393b3e9d00a55ce3ed69d9fc2f1266baaf4ab943f07c058b95552ff886c5,fbd24134f249c9c94b1c1f0c7ee0c05e484f53db65b5cfdc8b0a8d14541d782b,3.7909996046647494e-06,1.0,11010048,demo_t16_operator/results/n2_pvgr_n4_1_evaluator_convergence_v1_work/levels/smooth-s2131-orientation_58-narrow__stress_3/H1024.json,3ddc83c80d8ee76951e9149d7cb8267b8f850c6d68d1ae70985baa59a9388c03,a2b2e04450456314127691ffd7df4481da1e8a7b0990c61eea8a4816a0f61e3d,5f4bc68008c0329d435a2bd93cd6bc4671a23b3eb4db4c10efc07d8e936805e7
18,smooth-s2131-orientation_58-wide__stress_10,smooth-s2131-orientation_58-wide,p10,n3_failure,smooth-s2131,smooth,smooth_plume,2131,orientation_58,wide,aperture,10.0,matched_residual_convergence_gate_met,1024,raw_separate_subtraction,n4_checkpoint,6a8763345f25e3f1a9fc488dd86323612f4ed2ed16258996a7bb9a71e8adf5e1,4adaf084bae397d0cd8584d9bc01be9fcfbc1b51d6670fe5265577dc51aa1c9f,4.222388573809377e-05,1.0,11010048,demo_t16_operator/results/n2_pvgr_n4_1_evaluator_convergence_v1_work/levels/smooth-s2131-orientation_58-wide__stress_10/H1024.json,af1103a7dd303e991492c1be796979dd59badae2d405982ffa78a587cb3e1903,0a643e9985b2d8398131d82095721b9ac6b250ac3d080f642683ae57e5d74b38,f029401d6af941878852c74053c304fabc4841fc36d241ac021f59528cd9e243
19,smooth-s2131-orientation_58-narrow__stress_10,smooth-s2131-orientation_58-narrow,p10,matched_control,smooth-s2131,smooth,smooth_plume,2131,orientation_58,narrow,aperture,10.0,none,1024,raw_separate_subtraction,n4_checkpoint,09a1b65fa1437c75bb5979688b3d421f064d3cded52710a08f61eb52a25c2161,69bc91d3f1262e7745430bf5dec85786e83f9db2de6f9d5f90642848a8f488d1,4.222105804003131e-05,1.0,11010048,demo_t16_operator/results/n2_pvgr_n4_1_evaluator_convergence_v1_work/levels/smooth-s2131-orientation_58-narrow__stress_10/H1024.json,9e063cea591cfed892629956091a89504543755b0b69de618058896a0e730d88,5ad46dd74099f1c0b940cdcadf00e95670301fc7fe480148b43b0ba92ae54094,fc332127c2dc5af5e920f8d86397e31e7639fb52ba124642888b0132ed65e9b6
20,wrinkled-s3163-orientation_22-narrow__stress_1,wrinkled-s3163-orientation_22-narrow,p11,n3_failure,wrinkled-s3163,wrinkled,wrinkled_density_interface,3163,orientation_22,narrow,orientation,1.0,output_convergence_gate_met,2048,raw_separate_subtraction,n4_checkpoint,ce0f35700b6474c676470e9eec9bc58450b4398f5f8a04132dfbaefdf256fc2d,30d95710c301b16459027f33927a8bbe83afb640fc8b21c5d05fd05be30fd1f2,9.813338881702107e-08,1.0,22020096,demo_t16_operator/results/n2_pvgr_n4_1_evaluator_convergence_v1_work/levels/wrinkled-s3163-orientation_22-narrow__stress_1/H2048.json,f98f6db4f24da31afa29631204f9cc29870963a25f9b2c1298411a3803aae867,8f80079c65216c3f55ee9a6689e9c5a1a6f7c246e22133c43428d710f8196d71,b74b6fc279651732150f05dc293f5e05c15cea52058ae009265bedd23323f7af
21,wrinkled-s3163-orientation_58-narrow__stress_1,wrinkled-s3163-orientation_58-narrow,p11,matched_control,wrinkled-s3163,wrinkled,wrinkled_density_interface,3163,orientation_58,narrow,orientation,1.0,none,1024,raw_separate_subtraction,n4_checkpoint,ae3fe4f45cd33c742538e9aad7aee5789bd667191f8c4b2629c4a272dd463f80,08119db668372360f9d743753e9d3992d01e1b97c984b19e71fc2d4bf5ba6063,1.3370991576348824e-06,1.0,11010048,demo_t16_operator/results/n2_pvgr_n4_1_evaluator_convergence_v1_work/levels/wrinkled-s3163-orientation_58-narrow__stress_1/H1024.json,1254b7c782151de8296c30d0edb71c2299fee9feae29b87f6c53005b90731ac8,e8b71e562c49f1eb5fb0028a62099509f18daa2506dcdda5919b4ff0f8b44b58,595c8478a70a37c3b700eaec1919e6ff050f8ccd096aebe6c8d190b3e58e6470
22,wrinkled-s3163-orientation_22-narrow__stress_3,wrinkled-s3163-orientation_22-narrow,p12,n3_failure,wrinkled-s3163,wrinkled,wrinkled_density_interface,3163,orientation_22,narrow,orientation,3.0,output_convergence_gate_met,1024,raw_separate_subtraction,n4_checkpoint,eec0583a25b279abeccbee26a54662abdfd0af051a8df2e350af3cac22d9150e,df26d2c83b881ff1a036fd363aa16b965491fbaf0c5c66deb54107196879d162,8.831311979202741e-07,1.0,11010048,demo_t16_operator/results/n2_pvgr_n4_1_evaluator_convergence_v1_work/levels/wrinkled-s3163-orientation_22-narrow__stress_3/H1024.json,3cd63e94ef05713f3382b2477dd4e2fbf5ca4d5cfb3ed284c7ee7b8c5e1c8a4f,eb4a120fb8dc337600a7645d186f460e6581c3776f288ed96c43eb512d4ca3ec,4e493e28b0cf1c14eaaa89447f832b439db327ef402172f1692d7e2bcfd2d5f0
23,wrinkled-s3163-orientation_58-narrow__stress_3,wrinkled-s3163-orientation_58-narrow,p12,matched_control,wrinkled-s3163,wrinkled,wrinkled_density_interface,3163,orientation_58,narrow,orientation,3.0,none,1024,raw_separate_subtraction,n4_checkpoint,4b9e891697e3fbcff6909b5e6e1db301cc784ec1412a41bc80ac14d33b1bc077,a9f27eacbfc78ad0d172dbf5abd53c1c1913c82405e08bad4430846d14e483af,1.2044537617064465e-05,1.0,11010048,demo_t16_operator/results/n2_pvgr_n4_1_evaluator_convergence_v1_work/levels/wrinkled-s3163-orientation_58-narrow__stress_3/H1024.json,57cdef777b44fb1846ce88f92b2877d507d3c3b3115d8c07fe3324abd51df46a,a60c075a5e801913d16ae7aaa2c25082795aca2fc961d6b78acdc0fdfa2b8f9e,d8bbd73704a64a742a2b367cd479ef34a0c361c4ecb514c5418d986576c3ed8e
24,wrinkled-s3163-orientation_22-narrow__stress_10,wrinkled-s3163-orientation_22-narrow,p13,n3_failure,wrinkled-s3163,wrinkled,wrinkled_density_interface,3163,orientation_22,narrow,orientation,10.0,output_convergence_gate_met,1024,raw_separate_subtraction,n4_checkpoint,a929e7635c0be7b415d47842dc99fc98a5edf08f285488d3e9a26fd0a2a1d185,e513544fb547eefa5a5a39058a7c7191361bec94bc2ee38aa397b22cf4cd0fe5,9.808852259767103e-06,1.0,11010048,demo_t16_operator/results/n2_pvgr_n4_1_evaluator_convergence_v1_work/levels/wrinkled-s3163-orientation_22-narrow__stress_10/H1024.json,1d3b5274e2d20abad433c42de56af991efbc57d3aa5645c65d6f5385e410bf08,784d3803b8f8bfdbe9dd18755296d5d80ab94a2a0b5cfcfd22f43c6a2220cc68,42ff2d9b64c3ed3ae878c99a4e37ba70368c6edc1118745dd4a7b8c010bf46cc
25,wrinkled-s3163-orientation_58-narrow__stress_10,wrinkled-s3163-orientation_58-narrow,p13,matched_control,wrinkled-s3163,wrinkled,wrinkled_density_interface,3163,orientation_58,narrow,orientation,10.0,none,1024,raw_separate_subtraction,n4_checkpoint,fbe15b72477c7cc1bc047883f5fa65a640c89fe33b2276b3f44ddc8738027e4a,e27003152a9c8d309a86ff4b21589bf506e461539d89993cd011e1f787e26d4b,0.00013423691844618898,1.0,11010048,demo_t16_operator/results/n2_pvgr_n4_1_evaluator_convergence_v1_work/levels/wrinkled-s3163-orientation_58-narrow__stress_10/H1024.json,b7ae1bf0e70c57856af1aea858d4ec9a720ce41c64473d2d935b2d5eead4d79e,cb13b297650626342f3ca02638e86765fa202b9575dcb057f52e3ad60b443dcc,7516291905b48db68318e2b77a3ada5fca1f4bdab7fee987003a3fd0980067a5
26,wrinkled-s3163-orientation_22-wide__stress_1,wrinkled-s3163-orientation_22-wide,p14,n3_failure,wrinkled-s3163,wrinkled,wrinkled_density_interface,3163,orientation_22,wide,orientation,1.0,output_convergence_gate_met,1024,raw_separate_subtraction,n4_checkpoint,7c0127b03228030ccf2fd9b514fdfa0d556a5ac59ea4cb9b2d6b40b4fc341a4e,228374a368792b19ec9d95beca189d5159164164bdabd2f078c6654122c17bdb,1.0350424722483388e-07,1.0,11010048,demo_t16_operator/results/n2_pvgr_n4_1_evaluator_convergence_v1_work/levels/wrinkled-s3163-orientation_22-wide__stress_1/H1024.json,9f086498bc61c8ea8aac5b29c05e7b88b7106b3984eda548ed5bcbc5d3772e6d,c81516499122913b5506f9a52b72b5becf9c9f2431c8ba8193e34d00ff453e4a,b846452f834fceff5eaf49fe8a39f69125f38ade2cf37bf93e9d4253ee0a245b
27,wrinkled-s3163-orientation_58-wide__stress_1,wrinkled-s3163-orientation_58-wide,p14,matched_control,wrinkled-s3163,wrinkled,wrinkled_density_interface,3163,orientation_58,wide,orientation,1.0,none,1024,raw_separate_subtraction,n4_checkpoint,e4bcf0498dc3d6368c772fcee9e50196ba5824621d087bdccdac9582fee4cd30,abebcd020356c7bf892b683257ae383e623f5ed78503e7cb2ec8d98ab1aaf0fc,1.4550871272938754e-06,1.0,11010048,demo_t16_operator/results/n2_pvgr_n4_1_evaluator_convergence_v1_work/levels/wrinkled-s3163-orientation_58-wide__stress_1/H1024.json,9a20b109b5e14f3b649abbc4b8235fe21d1b72dcc26739d7b8f291d457ece67a,993c4b662326a7af08fc1030d32689d84e7241863e4142ab579e12d586466de5,ee28559309f0458ae5c0b041d4b917421c1d8f7e5b6f0dd0a31e6ee6fe2e3d24
28,wrinkled-s3163-orientation_22-wide__stress_3,wrinkled-s3163-orientation_22-wide,p15,n3_failure,wrinkled-s3163,wrinkled,wrinkled_density_interface,3163,orientation_22,wide,orientation,3.0,output_convergence_gate_met,1024,raw_separate_subtraction,n4_checkpoint,46da1052cbe73589c73f2a39d3c9e71abb460798dae3881faef1b8d1a1c87800,6c44c639776758ae9d94d7061e29f7d86510690a7aec2cf1bbb5eebd93eec232,9.316316361910745e-07,1.0,11010048,demo_t16_operator/results/n2_pvgr_n4_1_evaluator_convergence_v1_work/levels/wrinkled-s3163-orientation_22-wide__stress_3/H1024.json,a9b09e2ce54f89a7538afa0695e6bfefa23e28f97dfa79786b38e998bb41487e,145d87a2904bfde6530986ffce05407752b1f1b4b45e10901dbc1299f9e14e1c,0a675c66f1184cf6c6c0ee06ed659f72d1ddc7046b21a137458390d4cca8f6fa
29,wrinkled-s3163-orientation_58-wide__stress_3,wrinkled-s3163-orientation_58-wide,p15,matched_control,wrinkled-s3163,wrinkled,wrinkled_density_interface,3163,orientation_58,wide,orientation,3.0,none,1024,raw_separate_subtraction,n4_checkpoint,efa63b0f6452083e7d21428577d530271a25caca5c5c59e253a945cc29729dbb,4e91740004548cfce066b6f512e0e25b01c30a95d53a315db472ae715fa198e0,1.309735925093635e-05,1.0,11010048,demo_t16_operator/results/n2_pvgr_n4_1_evaluator_convergence_v1_work/levels/wrinkled-s3163-orientation_58-wide__stress_3/H1024.json,6d0352b2e4ba5085fd218ef6b6f3e39a76fe9e2c2ce7d6e29ea5cdaebb647a0d,8c72d94ceef2c641eff32c5467a91a2f7f75e95e7263dfd35474f185868d191d,196ecb16d14fda2eb44e82c90b2dea3628df064a6ce193d9e7b313afb1ad0a34
30,wrinkled-s3163-orientation_22-wide__stress_10,wrinkled-s3163-orientation_22-wide,p16,n3_failure,wrinkled-s3163,wrinkled,wrinkled_density_interface,3163,orientation_22,wide,orientation,10.0,output_convergence_gate_met,1024,raw_separate_subtraction,n4_checkpoint,c0acf900ac4b407765bff13ff90df5244dc1ca1448a7224946de0f430a8a54fa,4d77f2177d57051218b4da9dff39fdb2f57fce2f902a791e8b7cac1e0b17107b,1.0355074406812786e-05,1.0,11010048,demo_t16_operator/results/n2_pvgr_n4_1_evaluator_convergence_v1_work/levels/wrinkled-s3163-orientation_22-wide__stress_10/H1024.json,1c2810a7488f19d911f30411d144109e5a2bd98a74f4a0af513f392d66bf5f5c,7708f012625a21fa3bdfe3de71ee2db8cd00a9689590b3ed4c0f96c7117bc706,3105e8c48d0f967e2868f746efff2dfa4bda5fca7e1706bbeef109ac1e75b5ce
31,wrinkled-s3163-orientation_58-wide__stress_10,wrinkled-s3163-orientation_58-wide,p16,matched_control,wrinkled-s3163,wrinkled,wrinkled_density_interface,3163,orientation_58,wide,orientation,10.0,none,1024,raw_separate_subtraction,n4_checkpoint,6b74e8463c74421caf7e2f8264979adfa7d31881ba5169a3402461a0cd315535,2259128cfe1cee0ae51d93049fe528707ebe6af1314231ac2f38d19577d8c190,0.0001455904598629899,1.0,11010048,demo_t16_operator/results/n2_pvgr_n4_1_evaluator_convergence_v1_work/levels/wrinkled-s3163-orientation_58-wide__stress_10/H1024.json,0cb0bd845e7e3d96f2dbf2c8af18e9a45c1609238256b1f3724f748d9c353f78,dd262bf42f27f6f4e8f98654b5b75e0aa128a53b5cb9266fec5f07dbe6f3da24,db4a80005fb4645b6e2d191c68875be4e8e284df309c6cfe1bf9d680bf043fda
