source_split,geometry_id,candidate,comparator,source_field_count,mean_field_gain_pct,minimum_field_gain_pct,positive_field_fraction,harm_rate_gt_1pct,mean_audit_gain_pct
test_family_ood,g_100011111,landweber_standard,feasible_fno,32,22.555663066722083,17.078293743945895,1.0,0.0,23.399371812227205
test_family_ood,g_110001111,landweber_standard,feasible_fno,32,22.567209590289373,18.74803035464069,1.0,0.0,17.694494685865045
test_family_ood,g_111000111,landweber_standard,feasible_fno,32,21.13319529022519,16.48035955372596,1.0,0.0,24.429203796516333
test_family_ood,g_111010011,landweber_standard,feasible_fno,32,26.672857354345254,19.692480446225346,1.0,0.0,31.437011783679456
test_iid,g_010011111,landweber_standard,feasible_fno,32,48.669287510179366,21.412555564249892,1.0,0.0,41.89498146365563
test_iid,g_011011101,landweber_standard,feasible_fno,32,46.58479976762718,24.93142241800716,1.0,0.0,47.66762339083819
test_iid,g_111001101,landweber_standard,feasible_fno,32,40.952171621314136,16.24294914792423,1.0,0.0,41.02953254306389
test_iid,g_111011010,landweber_standard,feasible_fno,32,42.11398602263914,16.2489553744351,1.0,0.0,40.68574312102028
test_joint_ood,g_100011111,landweber_standard,feasible_fno,32,22.120253533593377,16.576316610844152,1.0,0.0,23.130315837616088
test_joint_ood,g_110001111,landweber_standard,feasible_fno,32,21.45440228973594,17.397475465527982,1.0,0.0,16.579567272210674
test_joint_ood,g_111000111,landweber_standard,feasible_fno,32,20.153405481998455,15.679134847511461,1.0,0.0,23.453252155551475
test_joint_ood,g_111010011,landweber_standard,feasible_fno,32,26.104922065606885,20.464172283245382,1.0,0.0,31.616244865439505
test_noise_ood,g_010011111,landweber_standard,feasible_fno,32,29.724126257119558,11.559219786189983,1.0,0.0,35.721539243814064
test_noise_ood,g_011011101,landweber_standard,feasible_fno,32,19.47370224152249,-17.5799424427724,0.90625,0.09375,22.68606149220499
test_noise_ood,g_111001101,landweber_standard,feasible_fno,32,27.793320335404257,15.134838960221428,1.0,0.0,34.86737768524956
test_noise_ood,g_111011010,landweber_standard,feasible_fno,32,23.6988012133884,6.276421719997319,1.0,0.0,23.218917435918485
val,g_011010111,landweber_standard,feasible_fno,40,51.14999178797238,23.953876019122937,1.0,0.0,49.90823021061939
val,g_101011110,landweber_standard,feasible_fno,40,40.131530304555724,17.84773627885818,1.0,0.0,38.641228200528474
val,g_111001110,landweber_standard,feasible_fno,40,40.98963382034812,12.850048966384593,1.0,0.0,38.446047612110206
val,g_111010110,landweber_standard,feasible_fno,40,44.915150001645955,18.19192178828765,1.0,0.0,44.0130587846345
