geometry_id,geometry_partition,mask_bits,active_camera_count,audit_camera_active,adjoint_inner_product_relative_error,finite_difference_gradient_relative_error,spectral_constant,jacobi_floor,preconditioned_spectral_constant
g_001011111,train,001011111,6,0,5.416939265503037e-16,7.797163879694094e-10,20.631225838151153,0.002740752261856013,7.548670668876893
g_010011111,geometry_ood,010011111,6,0,4.827615264872043e-16,1.3023068821074775e-09,20.566613149688592,0.0026082682076623786,7.539485608014778
g_011001111,train,011001111,6,0,2.486897072731901e-16,3.2830349438622397e-10,20.72052543848722,0.0027972035956369758,7.39709900354146
g_011010111,validation,011010111,6,0,6.230377415564291e-16,3.749288418102779e-10,20.540756056361154,0.0027972036104336323,7.359430038894099
g_011011011,train,011011011,6,0,6.45355451111693e-16,5.979327424551566e-11,19.8317480593051,0.002679534181791299,7.4489493270122615
g_011011101,geometry_ood,011011101,6,0,1.9367380993086738e-15,2.200341855724271e-10,19.43706590854482,0.002608268114576685,7.549550515571329
g_011011110,train,011011110,6,0,9.087643226098266e-16,9.440287705971517e-09,19.99435912727362,0.002740752173284718,7.434096316469311
g_100011111,stress,100011111,6,0,1.004475714309153e-15,2.1860576373984696e-10,36.678404221503385,0.002717127794795984,13.854076097358973
g_101001111,train,101001111,6,0,1.638884908397201e-16,1.6978744003999262e-10,37.06606407107966,0.002906063182770582,12.820847416464607
g_101010111,train,101010111,6,0,0.0,9.215569671520431e-10,37.058495985345914,0.0029060631975672377,12.80154371094313
g_101011011,train,101011011,6,0,4.939300845738405e-16,2.4424591224693645e-08,36.89629580225105,0.002788393768924904,13.09107105723583
g_101011101,train,101011101,6,0,0.0,1.644815125551112e-09,36.603085569628256,0.0027171277017102907,13.555159767073633
g_101011110,validation,101011110,6,0,4.886780679592913e-16,9.76650407000008e-09,35.45291782210231,0.002849611760418324,13.449628665414814
g_110001111,stress,110001111,6,0,8.272016473548849e-16,1.27013938413901e-09,38.22926410110079,0.0027735791285769472,12.984782227079533
g_110010111,train,110010111,6,0,1.711183790798519e-15,4.186794306188313e-10,38.22185611097196,0.0027735791433736025,12.962431227486954
g_110011011,train,110011011,6,0,5.405625419257292e-16,4.307663050332268e-09,38.05525499601628,0.002655909714731269,13.226474533571917
g_110011101,train,110011101,6,0,1.2790503892250613e-16,3.97049360761235e-10,37.75184785358618,0.0025846436475166564,13.662631871083914
g_110011110,train,110011110,6,0,0.0,2.5193598509700886e-10,36.60638457253753,0.002717127706224689,13.588139397267508
g_111000111,stress,111000111,6,0,5.691071763477214e-16,2.326132707063825e-10,38.68532463018933,0.002962514531348201,12.20244748450595
g_111001011,train,111001011,6,0,7.715508877861171e-16,1.2290764383447962e-09,38.51889208659172,0.002844845102705867,12.45303282915253
g_111001101,geometry_ood,111001101,6,0,7.791324208133432e-16,1.2737333925041184e-09,38.20496914422273,0.0027735790354912544,12.849706891857144
g_111001110,validation,111001110,6,0,1.4251473876173582e-15,4.2707775560267456e-10,37.043668410265454,0.0029060630941992872,12.723496616024864
g_111010011,stress,111010011,6,0,7.776393634448646e-16,8.221407359414716e-10,38.518892088961685,0.0028448451175025233,12.453032901226324
g_111010101,train,111010101,6,0,6.767357797332496e-16,1.3915596495074733e-09,38.20468937167731,0.0027735790502879097,12.853345894119645
g_111010110,validation,111010110,6,0,8.88903085294311e-16,2.35947122862874e-10,37.0429358530626,0.002906063108995943,12.727428458074337
g_111011001,train,111011001,6,0,1.7158074233821526e-15,7.85556644622122e-10,38.055254425887554,0.0026559096216455763,13.22647526887281
g_111011010,geometry_ood,111011010,6,0,5.282166091545375e-16,7.474374531798897e-10,36.89629381842488,0.002788393680353609,13.091071231165921
g_111011100,train,111011100,6,0,1.458219896706572e-16,6.297717806021182e-10,36.63774885847394,0.0027171276131389963,13.605727322925262
