predictor,changed_sample_count,independent_rig_count,changed_block_count,descriptive_sample_pearson_correlation,descriptive_sample_sign_agreement_fraction,descriptive_sample_mean_absolute_error_percent,block_sign_agreement_fraction,block_mean_absolute_error_percent,rig_sign_agreement_fraction,equal_weight_rig_mean_absolute_error_percent
outer_observation_minimum_gain,24,2,3,-0.10428790046748561,0.4166666666666667,9.111906432535768,0.3333333333333333,6.638494882577121,0.5,5.795244005380605
outer_observation_mean_gain,24,2,3,0.1100326144739387,0.5,6.349869238405173,0.3333333333333333,3.125687148816261,0.5,1.7654316929860356
outer_observation_nearest_angle_gain,24,2,3,-0.14334329509857072,0.5,8.832873895986245,0.6666666666666666,5.095432731999,1.0,3.4752884587365838
outer_observation_projection_weighted_gain,24,2,3,0.06707808393094929,0.4583333333333333,6.627644228699104,0.3333333333333333,3.4169163143929993,0.5,2.0186572922010164
outer_observation_gram_weighted_gain,24,2,3,-0.06356153875086946,0.4583333333333333,7.782100479234107,0.6666666666666666,4.271841733660023,1.0,2.727889251750159
outer_observation_operator_change_weighted_gain,24,2,3,-0.13288783073188085,0.5,8.612465443024798,0.6666666666666666,5.064098056479328,1.0,3.51103784999753
outer_observation_nearest_leverage_gain,24,2,3,-0.14334329509857072,0.5,8.832873895986245,0.6666666666666666,5.095432731999,1.0,3.4752884587365838
source_residual_field_transfer_gain,24,2,3,0.13467613566971792,0.7083333333333334,5.663948680284771,0.3333333333333333,1.8067624206687611,0.0,1.6874141587658402
