partition,base_seed,family,case_id,geometry_digest,basis_names,basis_rank,dropped_names,raw_norm_damping,raw_norm_warm_residual,raw_norm_normal_damping,raw_norm_normal_warm_residual,orthonormality_defect,coefficient_radius,measurement_coefficient_norm,measurement_coefficient_clipped,measurement_target_residual_ratio,adjoint_coefficient_norm,adjoint_coefficient_clipped,adjoint_target_residual_ratio,actual_setup_forward_calls,actual_setup_adjoint_calls,basis_uses_truth
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,damping|warm_residual|normal_damping|normal_warm_residual,4,,1.9148216775480909,0.18920297700486036,6.694226688950367,0.2763900237679087,2.220446049250313e-16,3.0272476320777657,0.6113021608627021,False,0.8825121693529198,0.5861831423935331,False,0.852288393032337,2,2,False
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,damping|warm_residual|normal_damping|normal_warm_residual,4,,1.9745906513786033,0.06632173667206682,7.274606969081779,0.18733480802373922,2.220446049250313e-16,1.0611477867530692,0.6887070960594612,False,0.6765043101022468,0.5850770389258565,False,0.7343077071295403,2,2,False
calibration,1289,smooth_no_interface,053736d143b5a7f2878b,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,damping|warm_residual|normal_damping|normal_warm_residual,4,,1.9142510309797474,0.15078172955402305,6.437984296347222,0.22916226041363066,4.440892098500626e-16,2.412507672864369,0.5950285818501384,False,0.8114871795527262,0.5565781375540116,False,0.8698516395114304,2,2,False
calibration,1289,single_interface,a40d33fc9a6be98e818c,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,damping|warm_residual|normal_damping|normal_warm_residual,4,,1.9982596143187366,0.11221320447245417,8.729877328365388,0.284548001989735,3.3306690738754696e-16,1.7954112715592667,1.48502260509403,False,0.5938718208826494,1.473674928568054,False,0.49143455345546727,2,2,False
calibration,1301,smooth_no_interface,e3e22e519a90f76c2d83,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,damping|warm_residual|normal_damping|normal_warm_residual,4,,1.9052786187199022,0.1349481305025386,6.5986670027870185,0.29065592624113645,4.440892098500626e-16,2.1591700880406175,0.5764940223111499,False,0.8537483470725848,0.5029886844845329,False,0.9110423997459345,2,2,False
calibration,1301,single_interface,e1d39800258fd30cfa71,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,damping|warm_residual|normal_damping|normal_warm_residual,4,,1.9658914005502093,0.1446939174145617,7.507565773015433,0.29272984886877934,2.220446049250313e-16,2.315102678632987,0.9418759820552334,False,0.7141451473108282,0.9694054711732127,False,0.6312048516711224,2,2,False
calibration,1319,smooth_no_interface,7b87be214410317a6167,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,damping|warm_residual|normal_damping|normal_warm_residual,4,,1.8935145171494636,0.14404069511890605,7.5955892423638645,0.19246923097749358,6.661338147750939e-16,2.3046511219024968,0.7802909144211646,False,0.7289825012598489,0.8632335248793581,False,0.5798137342811658,2,2,False
calibration,1319,single_interface,8fde45e2cd31f25d2999,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,damping|warm_residual|normal_damping|normal_warm_residual,4,,1.9730565536044034,0.2793555908067599,6.592894761002221,0.7461582856135943,2.220446049250313e-16,3.9461131072088067,0.9600875534357542,False,0.8509725656737241,0.978476355697509,False,0.8511248059692116,2,2,False
development,2101,smooth_no_interface,4c9d66cf34fdb094dadd,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,damping|warm_residual|normal_damping|normal_warm_residual,4,,1.914639124467362,0.05421505665374201,6.868351114965649,0.09640544164636838,2.220446049250313e-16,0.8674409064598722,0.7303808519205945,False,0.75155000069204,0.8054249506740271,False,0.7122150469889312,2,2,False
development,2101,single_interface,6640f706ad4875d3022d,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,damping|warm_residual|normal_damping|normal_warm_residual,4,,1.9732774967427458,0.20830861837088777,6.590305344280893,0.5156963935307346,3.3306690738754696e-16,3.3329378939342043,0.8517825461730488,False,0.8626808532780589,0.9427638732114414,False,0.8316062396241265,2,2,False
