partition,base_seed,family,case_id,geometry_digest,candidate_id,field_relative_l2,h1_seminorm_relative_l2,field_mean_bias,data_residual_relative_l2,fallback,fallback_reason,takeover,evaluator_only,basis_rank,warm_forward_calls,warm_adjoint_calls,warm_projection_forward_calls,setup_forward_calls,setup_adjoint_calls,refine_forward_calls,refine_adjoint_calls,low_forward_calls,low_adjoint_calls,high_order_forward_calls,high_order_adjoint_calls,shared_warm_seconds,deployment_setup_seconds,candidate_refine_seconds,end_to_end_seconds,coefficient_norm,coefficient_radius,coefficient_clipped,projection_target_residual_ratio,coefficient_evaluator_forward_calls,coefficient_evaluator_adjoint_calls,frozen_source_candidate_id,evaluator_search_forward_calls,evaluator_search_adjoint_calls,evaluator_search_unique_evaluations,high_order_teacher_setup_seconds
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,low_cgls24_matched,0.5507899534473952,1.0842750831006467,0.01409478436434498,0.00320838284856234,False,,True,False,,0,0,0,0,0,25,24,25,24,0,0,0.0,0.0,0.008152541995514184,0.008152541995514184,,,,,,,,,,,
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,component_damping,0.5307658204683985,0.9503565879130631,0.015049932812603983,0.005243650966199616,False,,True,False,,12,12,1,0,0,12,12,25,24,0,0,0.0038238749839365482,0.0,0.0038263750029727817,0.00765024998690933,,,,,,,,,,,
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,krylov_schedule_damping_anchor,0.5305861977983991,0.949952381625161,0.01505387148076037,0.006240022592356296,False,,True,False,4,12,12,1,2,2,10,10,25,24,0,0,0.0038238749839365482,0.0007342090248130262,0.0028980000060983002,0.007456084014847875,,,,,,,,,,,
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,measurement_projection_oracle,0.5291479665608463,0.9711880653469239,0.014808443919655637,0.0043571890040761865,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.0038238749839365482,0.0007342090248130262,0.002960209036245942,0.0075182930449955165,0.6113021608627021,3.0272476320777657,False,0.8825121693529198,0,0,,,,,
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,adjoint_projection_oracle,0.5289735755802565,0.9689044385155744,0.014828763311683524,0.005987614082289135,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.0038238749839365482,0.0007342090248130262,0.0028187079587951303,0.007376791967544705,0.5861831423935331,3.0272476320777657,False,0.852288393032337,0,5,,,,,
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,frozen_global_pca_rank4_probe_tax_oracle,0.5240450222833991,0.9890470520216516,0.01433161133369639,0.008261595252145492,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.0038238749839365482,0.0007342090248130262,0.0033217499731108546,0.007879833981860429,0.7438027591612476,3.0272476320777657,False,0.49904710689748405,,,adjlr_camera_r4_tl21em02_a1e00_s1p0,,,,
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,truth_conditioned_finite_k_oracle_search,0.52887866334115,0.970422989441468,0.014819523551253384,0.007862443217984676,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.0038238749839365482,0.0007342090248130262,0.013304041989613324,0.0178621259983629,0.5918007166005617,3.0272476320777657,,,,,,5400,5400,540,
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,exact_mismatch_refine12_oracle,0.5213895342587685,0.985056278315602,0.014382908835987,0.003476004711129611,False,,True,True,,12,12,1,0,0,12,12,25,24,0,0,0.0038238749839365482,0.0,0.007310167013201863,0.01113404199713841,,,,,,,,,,,
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,exact_mismatch_oracle,0.5215569589412228,0.9850491913929114,0.014373669924524157,0.004533569500628638,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.0038238749839365482,0.0007342090248130262,0.003807750006671995,0.00836583401542157,,,,,,,,,,,
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,high_order_teacher_b0p75,0.5268453824881707,0.9746201666038055,0.014727599920694938,0.007765953687369814,False,,True,True,4,12,12,1,2,2,10,10,25,24,1,0,0.0038238749839365482,0.0007342090248130262,0.004042375017888844,0.008600459026638418,,,,,,,,,,,0.0003689170116558671
