case_id,split,family,base_seed,method,model_seed,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,measured_reprojection_relative_l2,clean_reprojection_relative_l2,gate,correction_rms,optimization_forward_calls,optimization_adjoint_calls,grouped_adjoint_calls,evaluation_forward_calls,neural_inference_seconds
6c144f9849f9520d81e5,development,smooth_no_interface,2101,cgls_24_reference,-1,0.5976501715338352,0.06125521037241565,0.06949662180944405,0.020338812134357957,1.1689330066257904,0.0004117093688482586,0.019187974095306193,,,24,24,0,1,0.0
cee85dad2f56f6debc94,development,single_interface,2101,cgls_24_reference,-1,0.6786983078509875,0.08442075528400274,0.07767859834315165,0.010148228245086542,1.1385085507311126,0.0009521463661171293,0.025037951263940057,,,24,24,0,1,0.0
b06a75091983ab395677,development,smooth_no_interface,2113,cgls_24_reference,-1,0.5916267271872733,0.05102791742110757,0.0648975549790176,0.016224338267728115,1.1369299302100238,0.0003887639681633095,0.018088995189720146,,,24,24,0,1,0.0
423593699e2b6baeef3f,development,single_interface,2113,cgls_24_reference,-1,0.931374073646011,0.08570593617729097,0.10973012194547953,0.0007745375212599739,1.398204536593802,0.0019440148641061597,0.01470814891332157,,,24,24,0,1,0.0
5639798ee009ab4df707,development,smooth_no_interface,2129,cgls_24_reference,-1,0.6071014394164679,0.05538808282848697,0.07048838968730747,0.018299549887733902,1.2135632692736806,0.0006456115129701778,0.024700670917298113,,,24,24,0,1,0.0
9f862d87f3c25fedf3e1,development,single_interface,2129,cgls_24_reference,-1,0.7209299567398954,0.08628459183289677,0.08481257594639147,-0.010660103802051905,1.18650429890877,0.001148022307462001,0.01888027161044418,,,24,24,0,1,0.0
17ba335821b1e0d5a1aa,development,smooth_no_interface,2141,cgls_24_reference,-1,0.6252367652255024,0.06678030109799542,0.06575536113677113,0.019015894390087638,1.1458591295397733,0.00027921700510968525,0.015810819378239888,,,24,24,0,1,0.0
6be92a896230a00c27bc,development,single_interface,2141,cgls_24_reference,-1,0.6999212401158345,0.07142542115564655,0.09022200291808462,0.008579961021269997,1.2067629689056882,0.0007187280781369051,0.020067915428149733,,,24,24,0,1,0.0
2f2ee4ffd95bd30b9d41,development,smooth_no_interface,2153,cgls_24_reference,-1,0.575036567079253,0.06715572308584739,0.06516444446244654,0.023413913417995796,1.1354333886992531,0.0005261207730046831,0.026861070865137927,,,24,24,0,1,0.0
317ac465ce89a727ceb8,development,single_interface,2153,cgls_24_reference,-1,0.7165428119238058,0.06370508750210106,0.0830655712596493,0.009515472152267746,1.2253829448407279,0.001262734631993423,0.020120250770264695,,,24,24,0,1,0.0
