case_id,split,family,base_seed,method,model_seed,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,measured_reprojection_relative_l2,clean_reprojection_relative_l2,gate,correction_rms,optimization_forward_calls,optimization_adjoint_calls,grouped_adjoint_calls,evaluation_forward_calls,neural_inference_seconds,reference_method,reference_field_relative_l2,reference_h1_relative_error,reference_measured_reprojection_relative_l2,reference_clean_reprojection_relative_l2,original_field_relative_l2,original_h1_relative_error,original_measured_reprojection_ratio_to_reference,field_gain_to_reference,h1_gain_to_reference,original_field_gain_to_reference,original_gain_retention,measured_reprojection_ratio_to_reference,clean_reprojection_ratio_to_reference,row_correction_energy_fraction,null_correction_energy_fraction,visible_null_correction_fraction,numerical_rank,active_voxel_count,numerical_nullity_lower_bound,internal_projection_residual,nullspace_residual,field_harm_to_reference,oracle_setup_excluded_from_reconstruction_budget
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.25680076755127124,0.026320389066031374,0.029861592404605,0.0026719192822231416,0.5474344828919656,0.0004117093688482699,0.019187974095306197,0.7063487768173218,0.04693187903567107,24,24,1,1,0.0,cgls_24,0.5976501715338352,1.1689330066257904,0.0004117093688482586,0.019187974095306193,0.24785472577107925,0.47738947797293424,479.54241332029426,0.5703159142543092,0.5316801905763832,0.5852846069884424,0.9744249335188327,1.0000000000000275,1.0000000000000002,0.3341021815710633,0.9425368598996313,2.756865343581323e-15,150,1000,850,2.283711747606786e-15,5.642796108184557e-16,0,True
cee85dad2f56f6debc94,development,single_interface,2101,jacru_m2,17,0.3958338054101324,0.04923629311155019,0.0453040987805819,0.003546271611925899,0.7222991958103012,0.0009521463661171529,0.02503795126394003,0.7063517570495605,0.057696357220724796,24,24,1,1,0.0,cgls_24,0.6786983078509875,1.1385085507311126,0.0009521463661171293,0.025037951263940057,0.4197601496572044,0.7038168593465023,262.4067560914305,0.41677502237556746,0.365574202015027,0.3815217383017767,1.0924017704225966,1.0000000000000249,0.9999999999999989,0.3830878252512603,0.9237119237859058,2.1056393978681367e-15,150,1000,850,2.0831871249148476e-15,4.954300803287085e-16,0,True
b06a75091983ab395677,development,smooth_no_interface,2113,jacru_m2,17,0.24516984933397135,0.02114594600118396,0.026893517559615648,-3.491511389240471e-05,0.5043586842420822,0.00038876396816328585,0.01808899518972018,0.706345796585083,0.04282593511699479,24,24,1,1,0.0,cgls_24,0.5916267271872733,1.1369299302100238,0.0003887639681633095,0.018088995189720146,0.23642150783266264,0.44361896232082726,585.9269033699402,0.5856004503049346,0.5563854281249219,0.6003873777699941,0.9753710220891347,0.9999999999999392,1.000000000000002,0.3495346293484335,0.9369234455846716,2.4089245422906167e-15,150,1000,850,2.172966409714035e-15,5.301335938908778e-16,0,True
423593699e2b6baeef3f,development,single_interface,2113,jacru_m2,17,0.7657773136794372,0.07046756338761039,0.09022028891590489,0.0011270622303586346,1.1016472587515493,0.0019440148641062254,0.014708148913321622,0.7063498497009277,0.05456067702345072,24,24,1,1,0.0,cgls_24,0.931374073646011,1.398204536593802,0.0019440148641061597,0.01470814891332157,0.7053691596243571,0.9038247484326206,105.70267588885525,0.17779833544036616,0.21209863798947662,0.24265751046399858,0.7327130946838956,1.0000000000000338,1.0000000000000036,0.5228981406278974,0.8523951750965548,3.556865777908322e-15,150,1000,850,2.2623349946273122e-15,6.621763008167617e-16,0,True
5639798ee009ab4df707,development,smooth_no_interface,2129,jacru_m2,17,0.24840354151411284,0.022662762825101573,0.02884125204971321,0.0005691506457454617,0.5453686483158932,0.0006456115129701842,0.02470067091729818,0.7063445448875427,0.04519441765062863,24,24,1,1,0.0,cgls_24,0.6071014394164679,1.2135632692736806,0.0006456115129701778,0.024700670917298113,0.24219668589494697,0.46092793577478886,346.73228457410164,0.5908368430935156,0.550605508485522,0.601060596845659,0.9829904774896286,1.00000000000001,1.0000000000000027,0.3398257744144306,0.9404884066503064,2.351239677279887e-15,150,1000,850,2.264283559974417e-15,4.872662774857124e-16,0,True
9f862d87f3c25fedf3e1,development,single_interface,2129,jacru_m2,17,0.4694459978889441,0.056185702836660766,0.055227174257998606,-0.0050317163429170605,0.792794441152977,0.0011480223074619956,0.018880271610444182,0.7063493728637695,0.057963753425852305,24,24,1,1,0.0,cgls_24,0.7209299567398954,1.18650429890877,0.001148022307462001,0.01888027161044418,0.44656074842700516,0.7155238650199269,196.75539380126588,0.3488327215423013,0.3318233723366098,0.38057678939242634,0.9165895852429599,0.9999999999999952,1.0000000000000002,0.4307670856712709,0.9024631393593199,2.4545126511141284e-15,150,1000,850,2.2251078227538984e-15,4.85633012594875e-16,0,True
17ba335821b1e0d5a1aa,development,smooth_no_interface,2141,jacru_m2,17,0.3024775123491712,0.03230702427226104,0.031811178047244884,0.0021684439291188716,0.5942251290887558,0.0002792170051096736,0.015810819378239898,0.7063459157943726,0.04670001379730524,24,24,1,1,0.0,cgls_24,0.6252367652255024,1.1458591295397733,0.00027921700510968525,0.015810819378239888,0.29983497400784415,0.5312540330224714,901.5184058277486,0.5162192481754052,0.48141519863142135,0.520445708435422,0.9918791524427735,0.9999999999999583,1.0000000000000007,0.39652052525656567,0.9180258564170498,1.9912225157118168e-15,150,1000,850,2.2820811697482847e-15,5.37573023314905e-16,0,True
6be92a896230a00c27bc,development,single_interface,2141,jacru_m2,17,0.41564507996209804,0.042415665057759996,0.05357793058404937,-0.000315912449810484,0.7774015507911627,0.0007187280781369836,0.020067915428149775,0.7063449621200562,0.04905664140429569,24,24,1,1,0.0,cgls_24,0.6999212401158345,1.2067629689056882,0.0007187280781369051,0.020067915428149733,0.32596185682426354,0.578615251501591,372.8902624264798,0.4061544983356838,0.35579598411432634,0.5342878053389006,0.7601792409955128,1.0000000000001092,1.000000000000002,0.4937172920300075,0.8696224672526327,3.089502969645696e-15,150,1000,850,2.3656175152049883e-15,6.021359186967553e-16,0,True
2f2ee4ffd95bd30b9d41,development,smooth_no_interface,2153,jacru_m2,17,0.2705313877962958,0.031594044631207095,0.030657228782757787,0.0049211909319303035,0.5642233196631636,0.0005261207730046812,0.02686107086513789,0.7063486576080322,0.04834636238250939,24,24,1,1,0.0,cgls_24,0.575036567079253,1.1354333886992531,0.0005261207730046831,0.026861070865137927,0.2571977855895035,0.49705407091450415,398.53364437811456,0.529540548750858,0.5030766883563861,0.552727947553193,0.9580491652267981,0.9999999999999964,0.9999999999999986,0.37930498360950754,0.9252717057216177,2.1015450361328505e-15,150,1000,850,2.2244580499122615e-15,5.19579052535147e-16,0,True
317ac465ce89a727ceb8,development,single_interface,2153,jacru_m2,17,0.4576182319168946,0.040685090997636744,0.053049614371192114,0.002307155614393152,0.7770371866256643,0.0012627346319934742,0.0201202507702647,0.7063450217247009,0.05049030008996743,24,24,1,1,0.0,cgls_24,0.7165428119238058,1.2253829448407279,0.001262734631993423,0.020120250770264695,0.3679296543420182,0.575905296751463,173.59677842419177,0.3613525607935959,0.3658821596161014,0.48652104491260695,0.7427275028945667,1.0000000000000406,1.0000000000000002,0.46246347427566725,0.8866383337984423,3.093200210514855e-15,150,1000,850,2.221947805062169e-15,5.03652555729819e-16,0,True
