method,model_seed,split,case_count,reference_field_relative_l2_mean,original_field_relative_l2_mean,oracle_field_relative_l2_mean,oracle_h1_relative_error_mean,field_gain_to_reference_mean,h1_gain_to_reference_mean,original_gain_retention_mean,measured_reprojection_ratio_to_reference_mean,clean_reprojection_ratio_to_reference_mean,null_correction_energy_fraction_mean,row_correction_energy_fraction_mean,visible_null_correction_fraction_maximum,internal_projection_residual_maximum,field_gain_to_reference_minimum,field_harm_rate
jacru_m2,17,development,12,0.6699071999543419,0.35240252109802367,0.37083422543702177,0.672458932864203,0.4624902311174302,0.43997343708015246,0.9472941643461136,1.0000000000000075,1.0000000000000009,0.9126898946440057,0.4031951840139847,3.556865777908322e-15,2.3887624567955726e-15,0.17779833544036616,0.0
jacru_m2,17,ood,18,0.6623455645456245,0.4448493420192548,0.40694007798123244,0.7188713322932596,0.3910338142225872,0.41009486382093197,1.2922529938076808,1.000000000000006,1.0,0.8993781696415737,0.43434662097403504,3.0940948724482997e-15,2.485936866420654e-15,0.2434249866003593,0.0
jacru_m2,29,development,12,0.6699071999543419,0.38973451840310397,0.3885370558931647,0.6950869302207611,0.43464957240453495,0.42060311330013295,1.0151327536438128,1.0000000000000064,1.000000000000001,0.9126567177003454,0.40378686691905624,3.055278344828208e-15,2.4617930703575882e-15,0.16425640938056987,0.0
jacru_m2,29,ood,18,0.6623455645456245,0.44432266484942173,0.42720079449069365,0.7444945607954807,0.3597707705359959,0.38904794123744746,1.082992108798715,1.0000000000000229,0.9999999999999998,0.9091134825842578,0.41455885039553986,3.0300258555688938e-15,2.5350417033537735e-15,0.20823022572348254,0.0
jacru_m2,43,development,12,0.6699071999543419,0.3585775881888921,0.37193953707269145,0.658181528348225,0.46130012693722366,0.4519213507232715,0.9676284466313758,1.0000000000000218,1.0000000000000007,0.9139808330582707,0.3973184165525588,3.3016874408125396e-15,2.3866241568265003e-15,0.17891734735241252,0.0
jacru_m2,43,ood,18,0.6623455645456245,0.4598575600525716,0.41817600944857003,0.7230464782730612,0.375333445048142,0.4065959237012643,1.9166516241626412,1.0000000000000062,0.9999999999999996,0.9016945082471258,0.42849641104191377,3.3567747037636257e-15,2.558355817366957e-15,0.204527199217239,0.0
pooled_cnn,17,development,12,0.6699071999543419,0.3587295319978985,0.3867992786897554,0.6826510675006966,0.4395649550423079,0.4318436584955218,0.9084781147301005,1.0000000000000109,1.0000000000000002,0.9172533434609971,0.39117472858778096,3.53731691879296e-15,2.549920808107381e-15,0.14139565979278834,0.0
pooled_cnn,17,ood,18,0.6623455645456245,0.4426277919650522,0.4270332603419346,0.750172781343821,0.3616897199107657,0.38437985297612554,1.1154293455611546,1.0000000000000153,1.0,0.8984871660101756,0.4340837147344849,3.60638903831956e-15,2.5719524392920974e-15,0.18033516926208726,0.0
pooled_cnn,29,development,12,0.6699071999543419,0.36700865028651924,0.3845012904731553,0.6733237195275729,0.4423763129065538,0.43923152553118777,0.943157411029928,1.0000000000000064,1.0000000000000007,0.9134609748824257,0.40340329207848374,3.686665490147356e-15,2.4452243697673984e-15,0.1515107407136875,0.0
pooled_cnn,29,ood,18,0.6623455645456245,0.4559575078140624,0.4186182355182456,0.710020981173886,0.37366040289967434,0.41739622871093607,1.2876699401886464,1.0000000000000147,1.0,0.895758361881437,0.44253418952605367,3.2432441191775777e-15,2.6183278573520985e-15,0.21816084172431152,0.0
pooled_cnn,43,development,12,0.6699071999543419,0.35354878002828327,0.3826808401952691,0.7012471473213678,0.44536639132186834,0.41586644080799756,0.9086152236346262,1.000000000000012,1.0000000000000004,0.913904515386948,0.39593194114018404,3.3798556371797095e-15,2.49961381731517e-15,0.15766577181936037,0.0
pooled_cnn,43,ood,18,0.6623455645456245,0.4428718533873297,0.41059655321740435,0.7492666253003522,0.3861964042561438,0.38517776772846524,1.3274710706651236,1.0000000000000095,1.0,0.9035612438170302,0.4237285959458388,3.307393159144632e-15,2.484925287590932e-15,0.22684078144014014,0.0
