rig_id,split_role,method,partition_name,final_normalized_residual_l2,final_field_relative_l2,harm_vs_fallback_field_l2,harm_vs_fallback_residual_l2,total_violation_count,signed_forward_solver_calls,signed_transpose_solver_calls,signed_forward_evaluation_calls,field_error_evaluation_calls,iteration_budget,cost_proxy_units,cost_proxy_definition
fresh-00,fresh_geometry_ood,fallback,paired_cross,0.12775180796088556,0.35622992913052953,0.0,0.0,0,8,8,5,5,8,1600,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-00,fresh_geometry_ood,candidate,paired_cross,0.12775180796088556,0.35622992913052953,0.0,0.0,0,8,8,5,5,8,1600,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-00,fresh_geometry_ood,selected,paired_cross,0.12775180796088556,0.35622992913052953,0.0,0.0,0,8,8,5,5,8,1600,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-01,fresh_geometry_ood,fallback,paired_cross,0.7935119823951057,0.8061043601409629,0.0,0.0,0,8,8,5,5,8,1600,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-01,fresh_geometry_ood,candidate,paired_local,0.09062889211382187,0.3427756214940743,-0.46332873864688856,-0.7028830902812838,0,8,8,5,5,8,1600,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-01,fresh_geometry_ood,selected,paired_cross,0.7935119823951057,0.8061043601409629,0.0,0.0,0,8,8,5,5,8,1600,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-02,fresh_geometry_ood,fallback,paired_cross,0.15157798956977644,0.3676708668948016,0.0,0.0,0,8,8,5,5,8,1600,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-02,fresh_geometry_ood,candidate,paired_cross,0.15157798956977644,0.3676708668948016,0.0,0.0,0,8,8,5,5,8,1600,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-02,fresh_geometry_ood,selected,paired_cross,0.15157798956977644,0.3676708668948016,0.0,0.0,0,8,8,5,5,8,1600,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-03,fresh_geometry_ood,fallback,paired_cross,0.36617696473435607,0.7464181589190518,0.0,0.0,0,8,8,5,5,8,1600,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-03,fresh_geometry_ood,candidate,paired_cross,0.36617696473435607,0.7464181589190518,0.0,0.0,0,8,8,5,5,8,1600,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-03,fresh_geometry_ood,selected,paired_cross,0.36617696473435607,0.7464181589190518,0.0,0.0,0,8,8,5,5,8,1600,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-04,fresh_geometry_ood,fallback,paired_cross,0.2810200461371319,0.7133362902638536,0.0,0.0,0,8,8,5,5,8,1600,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-04,fresh_geometry_ood,candidate,paired_local,0.9017739892725228,0.9543187212942531,0.2409824310303995,0.620753943135391,0,8,8,5,5,8,1600,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-04,fresh_geometry_ood,selected,paired_cross,0.2810200461371319,0.7133362902638536,0.0,0.0,0,8,8,5,5,8,1600,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-05,fresh_geometry_ood,fallback,paired_cross,0.9395718962109736,0.9765414179931735,0.0,0.0,0,8,8,5,5,8,1600,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-05,fresh_geometry_ood,candidate,paired_cross,0.9395718962109736,0.9765414179931735,0.0,0.0,0,8,8,5,5,8,1600,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-05,fresh_geometry_ood,selected,paired_cross,0.9395718962109736,0.9765414179931735,0.0,0.0,0,8,8,5,5,8,1600,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-06,fresh_geometry_ood,fallback,paired_cross,0.41240542017603027,0.629457593909247,0.0,0.0,0,8,8,5,5,8,1600,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-06,fresh_geometry_ood,candidate,paired_cross,0.41240542017603027,0.629457593909247,0.0,0.0,0,8,8,5,5,8,1600,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-06,fresh_geometry_ood,selected,paired_cross,0.41240542017603027,0.629457593909247,0.0,0.0,0,8,8,5,5,8,1600,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-07,fresh_geometry_ood,fallback,paired_cross,0.7713224718867253,0.7829727307603626,0.0,0.0,0,8,8,5,5,8,1600,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-07,fresh_geometry_ood,candidate,paired_cross,0.7713224718867253,0.7829727307603626,0.0,0.0,0,8,8,5,5,8,1600,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-07,fresh_geometry_ood,selected,paired_cross,0.7713224718867253,0.7829727307603626,0.0,0.0,0,8,8,5,5,8,1600,ANALYTIC_PROXY_NOT_WALL_TIME
