rig_id,split_role,method,partition_name,iteration,normalized_residual_l2,field_relative_l2,solution_l2
fresh-03,fresh_geometry_ood,candidate,paired_cross,2,0.7971036064922444,0.917677136802758,0.23510450383179468
fresh-03,fresh_geometry_ood,candidate,paired_cross,4,0.5814119635458165,0.8364058304391111,0.5015534463775367
fresh-03,fresh_geometry_ood,candidate,paired_cross,8,0.36617696473435607,0.7464181589190518,0.8328026457210269
fresh-03,fresh_geometry_ood,selected,paired_cross,0,1.0,1.0,0.0
fresh-03,fresh_geometry_ood,selected,paired_cross,1,0.9132861639653197,0.9640696580110768,0.09939142361966972
fresh-03,fresh_geometry_ood,selected,paired_cross,2,0.7971036064922444,0.917677136802758,0.23510450383179468
fresh-03,fresh_geometry_ood,selected,paired_cross,4,0.5814119635458165,0.8364058304391111,0.5015534463775367
fresh-03,fresh_geometry_ood,selected,paired_cross,8,0.36617696473435607,0.7464181589190518,0.8328026457210269
fresh-04,fresh_geometry_ood,fallback,paired_cross,0,1.0,1.0,0.0
fresh-04,fresh_geometry_ood,fallback,paired_cross,1,0.8977003260926937,0.9535255281312729,0.12623499661046333
fresh-04,fresh_geometry_ood,fallback,paired_cross,2,0.762822771892128,0.8953435690124129,0.2953493923843726
fresh-04,fresh_geometry_ood,fallback,paired_cross,4,0.517568234266496,0.8001413106003674,0.6168891996763199
fresh-04,fresh_geometry_ood,fallback,paired_cross,8,0.2810200461371319,0.7133362902638536,0.989970923107411
fresh-04,fresh_geometry_ood,candidate,paired_local,0,1.0,1.0,0.0
fresh-04,fresh_geometry_ood,candidate,paired_local,1,0.9963921171983688,0.9982601211873536,0.0045628385357507845
fresh-04,fresh_geometry_ood,candidate,paired_local,2,0.9896039216499526,0.995004728796903,0.013137628142679127
fresh-04,fresh_geometry_ood,candidate,paired_local,4,0.968017339374004,0.9847706026858861,0.040374930742127245
fresh-04,fresh_geometry_ood,candidate,paired_local,8,0.9017739892725228,0.9543187212942531,0.1239643382102652
fresh-04,fresh_geometry_ood,selected,paired_cross,0,1.0,1.0,0.0
fresh-04,fresh_geometry_ood,selected,paired_cross,1,0.8977003260926937,0.9535255281312729,0.12623499661046333
fresh-04,fresh_geometry_ood,selected,paired_cross,2,0.762822771892128,0.8953435690124129,0.2953493923843726
fresh-04,fresh_geometry_ood,selected,paired_cross,4,0.517568234266496,0.8001413106003674,0.6168891996763199
fresh-04,fresh_geometry_ood,selected,paired_cross,8,0.2810200461371319,0.7133362902638536,0.989970923107411
fresh-05,fresh_geometry_ood,fallback,paired_cross,0,1.0,1.0,0.0
fresh-05,fresh_geometry_ood,fallback,paired_cross,1,0.9979240092377096,0.9991633961495884,0.002846165777518074
fresh-05,fresh_geometry_ood,fallback,paired_cross,2,0.9939576005132521,0.9975724618664614,0.008282207773222068
fresh-05,fresh_geometry_ood,fallback,paired_cross,4,0.9810438326045336,0.9924498166355521,0.025981976543840955
fresh-05,fresh_geometry_ood,fallback,paired_cross,8,0.9395718962109736,0.9765414179931735,0.08293313117265982
fresh-05,fresh_geometry_ood,candidate,paired_cross,0,1.0,1.0,0.0
fresh-05,fresh_geometry_ood,candidate,paired_cross,1,0.9979240092377096,0.9991633961495884,0.002846165777518074
