method,split,seed_count,alpha_mean,alpha_mean_seed_std,alpha_mean_seed_ci95_t,rel_l2_mean,rel_l2_mean_seed_std,rel_l2_mean_seed_ci95_t,gradient_rel_l2_mean,gradient_rel_l2_mean_seed_std,gradient_rel_l2_mean_seed_ci95_t,support_reprojection_rel_l2_mean,support_reprojection_rel_l2_mean_seed_std,support_reprojection_rel_l2_mean_seed_ci95_t,heldout_reprojection_rel_l2_mean,heldout_reprojection_rel_l2_mean_seed_std,heldout_reprojection_rel_l2_mean_seed_ci95_t,selected_query_noisy_residual_mean,selected_query_noisy_residual_mean_seed_std,selected_query_noisy_residual_mean_seed_ci95_t,all_query_noisy_residual_mean,all_query_noisy_residual_mean_seed_std,all_query_noisy_residual_mean_seed_ci95_t,support_correction_leakage_mean,support_correction_leakage_mean_seed_std,support_correction_leakage_mean_seed_ci95_t,field_improvement_vs_base_pct_mean,field_improvement_vs_base_pct_mean_seed_std,field_improvement_vs_base_pct_mean_seed_ci95_t,field_better_than_base_fraction,field_better_than_base_fraction_seed_std,field_better_than_base_fraction_seed_ci95_t
support_fit_base,test_iid,3,0.0,0.0,0.0,0.2505150750230642,0.0023426127726986923,0.005819372732688826,0.40500565633618324,0.006383360602225286,0.015857146799689133,0.23073698304703627,0.001002962910107847,0.002491497988485759,0.29368661934981505,0.005490510742834227,0.013639184793044821,0.288768888383981,0.008957118113938692,0.022250714895437094,0.295941883630563,0.005493907603419514,0.013647623062526293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
support_fit_base,test_view_ood,3,0.0,0.0,0.0,0.33784577021490075,0.007515526444565195,0.01866960266460128,0.5336785802204571,0.008795185832101109,0.021848452807374574,0.25960600381298676,0.010834688703715394,0.026914858803974706,0.4174477519685927,0.008802808357042509,0.021867388209040262,0.4077719680915091,0.012153220616059814,0.030190273651575762,0.4187642760625607,0.008783287229598341,0.02181889504018032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
support_fit_base,test_noise_ood,3,0.0,0.0,0.0,0.27855279915378195,0.007189158405863697,0.017858859511752895,0.4560094261816716,0.0048732333411222635,0.012105782720840876,0.25491385413096695,0.005517600358654289,0.013706479129300266,0.32758722013340513,0.014362717121682826,0.03567896724517446,0.33273831506307505,0.016580930190401796,0.041189313981876675,0.3417183470346988,0.013355682762360321,0.033177355216153094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
support_fit_base,test_joint_ood,3,0.0,0.0,0.0,0.3589854375883017,0.009969263980219044,0.024765024611656323,0.5397833490903259,0.006572588971613672,0.016327216128219843,0.2542087746341054,0.010279907496264564,0.025536705884775718,0.4203300518611475,0.010171283687812789,0.02526686938580672,0.4236842676415531,0.021861960133653133,0.05430811962079003,0.43179452381150335,0.009843941151976947,0.024453705447876922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
support_fit_base,test_family_ood,3,0.0,0.0,0.0,0.6928172332040189,0.002074324985928745,0.005152908923971568,0.8912397873758202,0.0016002762235888656,0.003975306516234504,0.5666119604711731,0.0016930334171768077,0.004205728158862437,0.7027528257659682,0.014305303372726248,0.03553634358621846,0.6988631567945416,0.01229441322969287,0.03054101554772223,0.7032039042831663,0.014275626077900049,0.03546262109895797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_null_correction,test_iid,3,1.0,0.0,0.0,0.24912029897847177,0.002728847939199891,0.0067788340753986214,0.4077227374456997,0.006416284039401689,0.015938933151579477,0.23073698305229762,0.0010029629336870995,0.002491498047059869,0.2920798752477072,0.0050722159164307565,0.012600082840145903,0.28665039009497656,0.007357193773770657,0.018276282506078413,0.2943764285659345,0.005057009421766707,0.012562307813287406,8.609321060930576e-10,9.211485660505627e-11,2.2882598910509426e-10,-0.2707571745453609,0.22020448067613657,0.5470182547439877,0.5666666666666667,0.07637626158259735,0.189729151679838
full_null_correction,test_view_ood,3,1.0,0.0,0.0,0.33893613271159334,0.008296457029557338,0.020609541781039502,0.5401068483225538,0.009344740082284683,0.023213621244908268,0.25960600378771,0.01083468870334476,0.026914858803053998,0.41786517945605217,0.009410633181817995,0.02337730877840308,0.40543860589554676,0.012873326155377555,0.031979114978235273,0.41920992961195663,0.009351621796710436,0.02323071637123477,1.4410381777768931e-09,8.626999100005935e-11,2.14306538035609e-10,-1.285700102870324,1.1150970538456462,2.770054643719658,0.375,0.10825317547305482,0.26891579560934137
full_null_correction,test_noise_ood,3,1.0,0.0,0.0,0.2748662403594415,0.006869067752040229,0.0170637102474112,0.45888363343701305,0.004822687423457915,0.01198021970059584,0.2549138541248875,0.005517600349470387,0.013706479106486189,0.3256645319925242,0.014653759458016627,0.03640195648857718,0.33162633799466396,0.020714748552984674,0.05145828806989481,0.33941675462053283,0.013682160158170085,0.033988370027118166,8.849623317294214e-10,7.179192819253897e-11,1.7834103622235779e-10,1.156535922106949,1.515841962745876,3.7655601847106692,0.7083333333333334,0.20090939085401988,0.4990865944652576
full_null_correction,test_joint_ood,3,1.0,0.0,0.0,0.3617093822737121,0.008051615237208366,0.02000132105125288,0.5484221513945015,0.004553039827057335,0.011310377937494327,0.254208774682711,0.010279907508118215,0.025536705914221823,0.4269278337996887,0.007140242678162612,0.01773734610787292,0.4418057019097268,0.013741794061560168,0.03413650885542835,0.43845329939362343,0.006795465582987617,0.01688087232360098,1.4873645739848324e-09,1.309059873301722e-10,3.2518849982079166e-10,-0.7752210949194064,0.7388156720572072,1.835319872989473,0.3958333333333333,0.09547032697824666,0.23716143959979746
full_null_correction,test_family_ood,3,1.0,0.0,0.0,0.689839618004006,0.0019540946050425486,0.004854240100714061,0.8890926666451439,0.0013306918148728913,0.003305621720043238,0.5666119604688079,0.0016930334131078945,0.004205728148754697,0.690360473471633,0.014581109053550879,0.0362214828790699,0.691149105835566,0.013381473104133644,0.03324142197675114,0.6908357218848371,0.014559680751017195,0.03616825202464718,8.108011773819205e-10,6.472590558297196e-11,1.607880629858519e-10,0.4411245835401226,0.10437246560872268,0.2592755778869924,0.9333333333333332,0.028867513459481253,0.07171087882915761
