seed,split,sample_index,sample_seed,family_id,view_count,noise_level,support_fit_residual_weight,selected_query_index,available_query_views,method,alpha,rel_l2,gradient_rel_l2,support_reprojection_rel_l2,heldout_reprojection_rel_l2,selected_query_noisy_residual,all_query_noisy_residual,support_correction_leakage,field_improvement_vs_base_pct
20260710,test_iid,80,20460710,0,5,0.02,0.5595802664756775,5,4,support_fit_base,0.0,0.16355053871176697,0.2678409123601921,0.1845803871503902,0.19897870068777715,0.25846467215111724,0.19952021404389866,0.0,0.0
20260710,test_iid,80,20460710,0,5,0.02,0.5595802664756775,5,4,full_null_correction,1.0,0.1774508129683598,0.2864804638590637,0.18458038720496966,0.2133931510079639,0.31753886661519604,0.2142282522586629,9.176272488419944e-10,-8.49906968573485
20260710,test_iid,80,20460710,0,5,0.02,0.5595802664756775,5,4,query_binary_one,0.0,0.16355053871176697,0.2678409123601921,0.1845803871503902,0.19897870068777715,0.25846467215111724,0.19952021404389866,0.0,0.0
20260710,test_iid,80,20460710,0,5,0.02,0.5595802664756775,5,4,query_line_search_one,0.0,0.16355053871176697,0.2678409123601921,0.1845803871503902,0.19897870068777715,0.25846467215111724,0.19952021404389866,0.0,0.0
20260710,test_iid,80,20460710,0,5,0.02,0.5595802664756775,5,4,query_line_search_all,0.0,0.16355053871176697,0.2678409123601921,0.1845803871503902,0.19897870068777715,0.25846467215111724,0.19952021404389866,0.0,0.0
20260710,test_iid,80,20460710,0,5,0.02,0.5595802664756775,5,4,field_oracle_line_search,0.0,0.16355053871176697,0.2678409123601921,0.1845803871503902,0.19897870068777715,0.25846467215111724,0.19952021404389866,0.0,0.0
20260710,test_iid,81,20460711,0,5,0.05,0.32091888785362244,3,4,support_fit_base,0.0,0.20935812209038443,0.30785122110145324,0.21510811964516702,0.2507276888564854,0.26191438716361914,0.256894454085163,0.0,0.0
20260710,test_iid,81,20460711,0,5,0.05,0.32091888785362244,3,4,full_null_correction,1.0,0.21576243971143969,0.3195859704963226,0.21510811962740575,0.25492087134406544,0.26635096707959416,0.2611511952365447,9.251264463081462e-10,-3.05902515607194
20260710,test_iid,81,20460711,0,5,0.05,0.32091888785362244,3,4,query_binary_one,0.0,0.20935812209038443,0.30785122110145324,0.21510811964516702,0.2507276888564854,0.26191438716361914,0.256894454085163,0.0,0.0
20260710,test_iid,81,20460711,0,5,0.05,0.32091888785362244,3,4,query_line_search_one,0.3513114287084892,0.21033990742618403,0.30972608549122455,0.21510811963892726,0.25041701796981636,0.26005085959408003,0.25664908114998874,3.250074899300969e-10,-0.4689502016888783
20260710,test_iid,81,20460711,0,5,0.05,0.32091888785362244,3,4,query_line_search_all,0.2210312648420954,0.20981248252745707,0.30873990034456245,0.21510811964124124,0.2503050639994015,0.2603079267269631,0.2565183565730878,2.044818701195877e-10,-0.21702546456464458
20260710,test_iid,81,20460711,0,5,0.05,0.32091888785362244,3,4,field_oracle_line_search,0.0,0.20935812209038443,0.30785122110145324,0.21510811964516702,0.2507276888564854,0.26191438716361914,0.256894454085163,0.0,0.0
20260710,test_iid,82,20460712,0,7,0.02,0.6406689882278442,6,2,support_fit_base,0.0,0.16876580964379345,0.25648555132236334,0.20129400487747484,0.19272892661814625,0.18333812449968998,0.1930402790978576,0.0,0.0
20260710,test_iid,82,20460712,0,7,0.02,0.6406689882278442,6,2,full_null_correction,1.0,0.173631293782618,0.25872115603132734,0.20129400490126184,0.18890334687169072,0.17009668869989883,0.18909556876281292,6.6083052955035e-10,-2.8829797629419556
20260710,test_iid,82,20460712,0,7,0.02,0.6406689882278442,6,2,query_binary_one,1.0,0.173631293782618,0.25872115603132734,0.20129400490126184,0.18890334687169072,0.17009668869989883,0.18909556876281292,6.6083052955035e-10,-2.8829797629419556
20260710,test_iid,82,20460712,0,7,0.02,0.6406689882278442,6,2,query_line_search_one,1.0,0.173631293782618,0.25872115603132734,0.20129400490126184,0.18890334687169072,0.17009668869989883,0.18909556876281292,6.6083052955035e-10,-2.8829797629419556
20260710,test_iid,82,20460712,0,7,0.02,0.6406689882278442,6,2,query_line_search_all,1.0,0.173631293782618,0.25872115603132734,0.20129400490126184,0.18890334687169072,0.17009668869989883,0.18909556876281292,6.6083052955035e-10,-2.8829797629419556
20260710,test_iid,82,20460712,0,7,0.02,0.6406689882278442,6,2,field_oracle_line_search,0.0,0.16876580964379345,0.25648555132236334,0.20129400487747484,0.19272892661814625,0.18333812449968998,0.1930402790978576,0.0,0.0
20260710,test_iid,83,20460713,0,7,0.05,0.4492911398410797,2,2,support_fit_base,0.0,0.12588025897437197,0.24460984170788302,0.14914020789417293,0.1326706736615768,0.14069191400527453,0.1346973558079687,0.0,0.0
20260710,test_iid,83,20460713,0,7,0.05,0.4492911398410797,2,2,full_null_correction,1.0,0.11669739180984735,0.2477874558727955,0.14914020792605304,0.13683712636037423,0.13894019118456283,0.13823214008475168,8.176854702034156e-10,7.2949223645315255
20260710,test_iid,83,20460713,0,7,0.05,0.4492911398410797,2,2,query_binary_one,1.0,0.11669739180984735,0.2477874558727955,0.14914020792605304,0.13683712636037423,0.13894019118456283,0.13823214008475168,8.176854702034156e-10,7.2949223645315255
20260710,test_iid,83,20460713,0,7,0.05,0.4492911398410797,2,2,query_line_search_one,0.7439976218615877,0.11792355221608797,0.2460919877965084,0.14914020791789168,0.13515043220324233,0.13870325171647718,0.13670460894393824,6.083560467321544e-10,6.320853502407157
20260710,test_iid,83,20460713,0,7,0.05,0.4492911398410797,2,2,query_line_search_all,0.0,0.12588025897437197,0.24460984170788302,0.14914020789417293,0.1326706736615768,0.14069191400527453,0.1346973558079687,0.0,0.0
20260710,test_iid,83,20460713,0,7,0.05,0.4492911398410797,2,2,field_oracle_line_search,1.0,0.11669739180984735,0.2477874558727955,0.14914020792605304,0.13683712636037423,0.13894019118456283,0.13823214008475168,8.176854702034156e-10,7.2949223645315255
20260710,test_iid,84,20460714,1,5,0.02,1.0,5,4,support_fit_base,0.0,0.39857204861389545,0.6740447803707533,0.2733810115800704,0.4285587015094093,0.3924379696774353,0.4288757130392106,0.0,0.0
20260710,test_iid,84,20460714,1,5,0.02,1.0,5,4,full_null_correction,1.0,0.39403296450381,0.6719762952652627,0.273381011513292,0.41805113749790146,0.36635878400687666,0.418321857951378,1.5536654572556481e-09,1.1388365355422048
20260710,test_iid,84,20460714,1,5,0.02,1.0,5,4,query_binary_one,1.0,0.39403296450381,0.6719762952652627,0.273381011513292,0.41805113749790146,0.36635878400687666,0.418321857951378,1.5536654572556481e-09,1.1388365355422048
20260710,test_iid,84,20460714,1,5,0.02,1.0,5,4,query_line_search_one,1.0,0.39403296450381,0.6719762952652627,0.273381011513292,0.41805113749790146,0.36635878400687666,0.418321857951378,1.5536654572556481e-09,1.1388365355422048
20260710,test_iid,84,20460714,1,5,0.02,1.0,5,4,query_line_search_all,0.8798981421565136,0.39378496782425443,0.6715450352427522,0.2733810115213123,0.4178414219755842,0.3674660459253331,0.4181189201658879,1.3670673510222223e-09,1.2010578278825434
20260710,test_iid,84,20460714,1,5,0.02,1.0,5,4,field_oracle_line_search,0.8029607974499932,0.3937403386878338,0.6713662578476796,0.27338101152645,0.4179205294144767,0.3684782018423942,0.41820221153102605,1.2475324578329685e-09,1.212255084834131
20260710,test_iid,85,20460715,1,5,0.05,0.865770161151886,5,4,support_fit_base,0.0,0.37933609677956504,0.6131707476091315,0.3655470851769005,0.48682013602002777,0.38541816887565417,0.48862422408753026,0.0,0.0
20260710,test_iid,85,20460715,1,5,0.05,0.865770161151886,5,4,full_null_correction,1.0,0.369790616296477,0.6075693758752424,0.36554708523345936,0.4610826150570142,0.3652629111406116,0.4630642966664988,1.1013908935533831e-09,2.516364923902772
20260710,test_iid,85,20460715,1,5,0.05,0.865770161151886,5,4,query_binary_one,1.0,0.369790616296477,0.6075693758752424,0.36554708523345936,0.4610826150570142,0.3652629111406116,0.4630642966664988,1.1013908935533831e-09,2.516364923902772
20260710,test_iid,85,20460715,1,5,0.05,0.865770161151886,5,4,query_line_search_one,1.0,0.369790616296477,0.6075693758752424,0.36554708523345936,0.4610826150570142,0.3652629111406116,0.4630642966664988,1.1013908935533831e-09,2.516364923902772
20260710,test_iid,85,20460715,1,5,0.05,0.865770161151886,5,4,query_line_search_all,1.0,0.369790616296477,0.6075693758752424,0.36554708523345936,0.4610826150570142,0.3652629111406116,0.4630642966664988,1.1013908935533831e-09,2.516364923902772
20260710,test_iid,85,20460715,1,5,0.05,0.865770161151886,5,4,field_oracle_line_search,1.0,0.369790616296477,0.6075693758752424,0.36554708523345936,0.4610826150570142,0.3652629111406116,0.4630642966664988,1.1013908935533831e-09,2.516364923902772
20260710,test_iid,86,20460716,1,7,0.02,0.5896209478378296,6,2,support_fit_base,0.0,0.2745816625297742,0.4830844550889875,0.24877610115237797,0.35053527262590045,0.33058407433039183,0.3509123303823096,0.0,0.0
20260710,test_iid,86,20460716,1,7,0.02,0.5896209478378296,6,2,full_null_correction,1.0,0.2710406919750884,0.4758120029308627,0.2487761011447767,0.32852878296713417,0.2998626050115075,0.32931323555369746,6.788993923662015e-10,1.2895874116462218
20260710,test_iid,86,20460716,1,7,0.02,0.5896209478378296,6,2,query_binary_one,1.0,0.2710406919750884,0.4758120029308627,0.2487761011447767,0.32852878296713417,0.2998626050115075,0.32931323555369746,6.788993923662015e-10,1.2895874116462218
20260710,test_iid,86,20460716,1,7,0.02,0.5896209478378296,6,2,query_line_search_one,1.0,0.2710406919750884,0.4758120029308627,0.2487761011447767,0.32852878296713417,0.2998626050115075,0.32931323555369746,6.788993923662015e-10,1.2895874116462218
20260710,test_iid,86,20460716,1,7,0.02,0.5896209478378296,6,2,query_line_search_all,1.0,0.2710406919750884,0.4758120029308627,0.2487761011447767,0.32852878296713417,0.2998626050115075,0.32931323555369746,6.788993923662015e-10,1.2895874116462218
20260710,test_iid,86,20460716,1,7,0.02,0.5896209478378296,6,2,field_oracle_line_search,1.0,0.2710406919750884,0.4758120029308627,0.2487761011447767,0.32852878296713417,0.2998626050115075,0.32931323555369746,6.788993923662015e-10,1.2895874116462218
20260710,test_iid,87,20460717,1,7,0.05,0.6123316287994385,6,2,support_fit_base,0.0,0.31907075258767953,0.5415077822899781,0.29609144391728714,0.3770334327172558,0.44232417873417984,0.37871676646599034,0.0,0.0
20260710,test_iid,87,20460717,1,7,0.05,0.6123316287994385,6,2,full_null_correction,1.0,0.31596100688306955,0.539693144078766,0.2960914439708711,0.3628494047199425,0.4139390562797694,0.3641114511412271,6.453123560828907e-10,0.9746257466032351
20260710,test_iid,87,20460717,1,7,0.05,0.6123316287994385,6,2,query_binary_one,1.0,0.31596100688306955,0.539693144078766,0.2960914439708711,0.3628494047199425,0.4139390562797694,0.3641114511412271,6.453123560828907e-10,0.9746257466032351
20260710,test_iid,87,20460717,1,7,0.05,0.6123316287994385,6,2,query_line_search_one,1.0,0.31596100688306955,0.539693144078766,0.2960914439708711,0.3628494047199425,0.4139390562797694,0.3641114511412271,6.453123560828907e-10,0.9746257466032351
20260710,test_iid,87,20460717,1,7,0.05,0.6123316287994385,6,2,query_line_search_all,1.0,0.31596100688306955,0.539693144078766,0.2960914439708711,0.3628494047199425,0.4139390562797694,0.3641114511412271,6.453123560828907e-10,0.9746257466032351
20260710,test_iid,87,20460717,1,7,0.05,0.6123316287994385,6,2,field_oracle_line_search,1.0,0.31596100688306955,0.539693144078766,0.2960914439708711,0.3628494047199425,0.4139390562797694,0.3641114511412271,6.453123560828907e-10,0.9746257466032351
20260710,test_iid,88,20460718,0,5,0.02,0.4763384461402893,5,4,support_fit_base,0.0,0.12629506131275414,0.23687054304394453,0.15256099209839716,0.1603486456938999,0.08888763877152744,0.16020428502994705,0.0,0.0
20260710,test_iid,88,20460718,0,5,0.02,0.4763384461402893,5,4,full_null_correction,1.0,0.13294360456071722,0.2586579509313353,0.15256099223355427,0.17429427765366798,0.13291081223238654,0.17395464335969318,1.1406024995426445e-09,-5.264293931055731
20260710,test_iid,88,20460718,0,5,0.02,0.4763384461402893,5,4,query_binary_one,0.0,0.12629506131275414,0.23687054304394453,0.15256099209839716,0.1603486456938999,0.08888763877152744,0.16020428502994705,0.0,0.0
20260710,test_iid,88,20460718,0,5,0.02,0.4763384461402893,5,4,query_line_search_one,0.057347949975390985,0.12603991320899863,0.23714166079647683,0.15256099210614815,0.1601574925284766,0.08868336569805371,0.15999963535402376,6.541121372002729e-11,0.20202540075708242
