method,model_seed,split,row_index,rig_id,family,field_uid,target_view,whitened_target_residual_rmse
sp_gc_rio_no_target_geometry,3101,train,0,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:0,1,2.7608731930278867
sp_gc_rio_no_target_geometry,3101,train,1,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:0,5,1.67422028237838
sp_gc_rio_no_target_geometry,3101,train,2,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:1,1,1.8655768634484364
sp_gc_rio_no_target_geometry,3101,train,3,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:1,5,1.9368187052829575
sp_gc_rio_no_target_geometry,3101,train,4,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:2,1,1.3724710369645583
sp_gc_rio_no_target_geometry,3101,train,5,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:2,5,1.640951106353655
sp_gc_rio_no_target_geometry,3101,train,6,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:3,1,2.6528767539126274
sp_gc_rio_no_target_geometry,3101,train,7,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:3,5,2.8097509919189467
sp_gc_rio_no_target_geometry,3101,train,8,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:4,1,1.533093124276946
sp_gc_rio_no_target_geometry,3101,train,9,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:4,5,3.0824956921031292
sp_gc_rio_no_target_geometry,3101,train,10,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:5,1,2.1184382538080295
sp_gc_rio_no_target_geometry,3101,train,11,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:5,5,2.395298999038272
sp_gc_rio_no_target_geometry,3101,train,12,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:6,1,2.5303380942662197
sp_gc_rio_no_target_geometry,3101,train,13,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:6,5,1.9668679158674867
sp_gc_rio_no_target_geometry,3101,train,14,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:7,1,2.3964621110431463
sp_gc_rio_no_target_geometry,3101,train,15,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:7,5,3.0894675429826597
sp_gc_rio_no_target_geometry,3101,train,16,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:8,1,2.85899455617299
sp_gc_rio_no_target_geometry,3101,train,17,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:8,5,2.4465725322014005
sp_gc_rio_no_target_geometry,3101,train,18,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:9,1,2.151021197371963
sp_gc_rio_no_target_geometry,3101,train,19,train-rig-a,expanding_kernel,train-rig-a:expanding_kernel:9,5,2.5296093749655073
sp_gc_rio_no_target_geometry,3101,train,20,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:0,1,3.648235563423144
sp_gc_rio_no_target_geometry,3101,train,21,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:0,5,2.818084053577499
sp_gc_rio_no_target_geometry,3101,train,22,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:1,1,3.8450869172271234
sp_gc_rio_no_target_geometry,3101,train,23,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:1,5,2.4545900218125296
sp_gc_rio_no_target_geometry,3101,train,24,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:2,1,3.94975313518143
sp_gc_rio_no_target_geometry,3101,train,25,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:2,5,3.6233583493547026
sp_gc_rio_no_target_geometry,3101,train,26,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:3,1,4.066944646803709
sp_gc_rio_no_target_geometry,3101,train,27,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:3,5,2.6626784882166223
sp_gc_rio_no_target_geometry,3101,train,28,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:4,1,4.565442160667412
sp_gc_rio_no_target_geometry,3101,train,29,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:4,5,2.363061215825191
sp_gc_rio_no_target_geometry,3101,train,30,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:5,1,4.034934050451256
sp_gc_rio_no_target_geometry,3101,train,31,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:5,5,2.4513228013264414
sp_gc_rio_no_target_geometry,3101,train,32,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:6,1,3.615530945053459
sp_gc_rio_no_target_geometry,3101,train,33,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:6,5,2.853466891824511
sp_gc_rio_no_target_geometry,3101,train,34,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:7,1,3.1140686430277325
sp_gc_rio_no_target_geometry,3101,train,35,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:7,5,2.3033519172759562
sp_gc_rio_no_target_geometry,3101,train,36,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:8,1,2.7216208828956856
sp_gc_rio_no_target_geometry,3101,train,37,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:8,5,4.187476771822891
sp_gc_rio_no_target_geometry,3101,train,38,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:9,1,3.337086230934619
sp_gc_rio_no_target_geometry,3101,train,39,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:9,5,4.230601659618776
sp_gc_rio_no_target_geometry,3101,train,40,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:0,0,3.867105780279444
sp_gc_rio_no_target_geometry,3101,train,41,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:0,4,2.463320549073351
sp_gc_rio_no_target_geometry,3101,train,42,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:1,0,2.7054342726097045
sp_gc_rio_no_target_geometry,3101,train,43,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:1,4,2.928331403478309
sp_gc_rio_no_target_geometry,3101,train,44,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:2,0,3.1966830257564998
sp_gc_rio_no_target_geometry,3101,train,45,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:2,4,2.9562553768692337
sp_gc_rio_no_target_geometry,3101,train,46,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:3,0,3.4800349672921826
sp_gc_rio_no_target_geometry,3101,train,47,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:3,4,1.8417231115593644
sp_gc_rio_no_target_geometry,3101,train,48,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:4,0,2.090789732033605
sp_gc_rio_no_target_geometry,3101,train,49,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:4,4,2.634488359808073
sp_gc_rio_no_target_geometry,3101,train,50,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:5,0,2.266540114603165
sp_gc_rio_no_target_geometry,3101,train,51,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:5,4,2.0538644942836357
sp_gc_rio_no_target_geometry,3101,train,52,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:6,0,3.5054504196347924
sp_gc_rio_no_target_geometry,3101,train,53,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:6,4,2.7305094923010045
sp_gc_rio_no_target_geometry,3101,train,54,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:7,0,2.438057718820264
sp_gc_rio_no_target_geometry,3101,train,55,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:7,4,2.0169225502677612
sp_gc_rio_no_target_geometry,3101,train,56,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:8,0,2.9909461875499677
sp_gc_rio_no_target_geometry,3101,train,57,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:8,4,2.3346834288935376
sp_gc_rio_no_target_geometry,3101,train,58,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:9,0,2.4421458060774195
sp_gc_rio_no_target_geometry,3101,train,59,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:9,4,1.6793903473180305
