method,model_seed,epoch,train_total,train_target,validation_cluster_whitened_rmse
sp_gc_rio_no_target_geometry,3101,1,13.98081579208374,13.831999921798706,3.6834939243712848
sp_gc_rio_no_target_geometry,3101,2,13.937358283996582,13.788531589508057,3.680799641487205
sp_gc_rio_no_target_geometry,3101,3,13.864267158508301,13.715420579910278,3.6767709503176116
sp_gc_rio_no_target_geometry,3101,4,13.775419902801513,13.626566457748414,3.673688286655554
sp_gc_rio_no_target_geometry,3101,5,13.733253765106202,13.584377002716064,3.672748934336973
sp_gc_rio_no_target_geometry,3101,6,13.699653625488281,13.550758266448975,3.671499475148007
sp_gc_rio_no_target_geometry,3101,7,13.675157070159912,13.526249504089355,3.6678029118809388
sp_gc_rio_no_target_geometry,3101,8,13.660736417770385,13.511825466156006,3.6692682260739002
sp_gc_rio_no_target_geometry,3101,9,13.651837253570557,13.502919578552246,3.668539456300974
sp_gc_rio_no_target_geometry,3101,10,13.644023990631103,13.495102834701537,3.66788291504798
sp_gc_rio_no_target_geometry,3101,11,13.635588884353638,13.486665201187133,3.6695938004547117
sp_gc_rio_no_target_geometry,3101,12,13.6306143283844,13.481692171096801,3.6671953613806414
sp_gc_rio_no_target_geometry,3101,13,13.62697458267212,13.478050661087035,3.6648662791295394
sp_gc_rio_no_target_geometry,3101,14,13.623447895050049,13.4745201587677,3.665329193623836
sp_gc_rio_no_target_geometry,3101,15,13.619691562652587,13.470766830444337,3.6661089749830884
sp_gc_rio_no_target_geometry,3101,16,13.61833667755127,13.469407176971435,3.667365636883702
sp_gc_rio_no_target_geometry,3101,17,13.61456127166748,13.465636730194092,3.6647582403784
sp_gc_rio_no_target_geometry,3101,18,13.61353268623352,13.464600896835327,3.662041593431588
sp_gc_rio_no_target_geometry,3101,19,13.613656711578368,13.464729261398315,3.6623336645775257
sp_gc_rio_no_target_geometry,3101,20,13.609073686599732,13.460147047042847,3.663134754082944
sp_gc_rio_no_target_geometry,3101,21,13.608348560333251,13.459419965744019,3.664614266665622
sp_gc_rio_no_target_geometry,3101,22,13.606688022613525,13.457761240005492,3.6632998029122863
sp_gc_rio_no_target_geometry,3101,23,13.60630989074707,13.457379579544067,3.666450137617209
sp_gc_rio_no_target_geometry,3101,24,13.60402183532715,13.455094051361083,3.667401148386601
sp_gc_rio_no_target_geometry,3101,25,13.601330661773682,13.45240330696106,3.666176094891509
sp_gc_rio_no_target_geometry,3101,26,13.60130434036255,13.452376747131348,3.66764629831658
sp_gc_rio_no_target_geometry,3101,27,13.603286647796631,13.454361772537231,3.6677233318671827
sp_gc_rio_no_target_geometry,3101,28,13.602581024169922,13.453648948669434,3.6678340912685625
sp_gc_rio_no_target_geometry,3101,29,13.602600288391113,13.453676748275758,3.6692282804028005
sp_gc_rio_no_target_geometry,3101,30,13.59804983139038,13.449121284484864,3.6649201753683807
sp_gc_rio_no_target_geometry,3101,31,13.598083019256592,13.449154663085938,3.6646286314930587
sp_gc_rio_no_target_geometry,3101,32,13.597221946716308,13.44829535484314,3.6727669376639724
sp_gc_rio_no_target_geometry,3101,33,13.597574949264526,13.448646783828735,3.669853567658505
sp_gc_rio_no_target_geometry,3101,34,13.595072746276855,13.446141910552978,3.668038339429903
sp_gc_rio_no_target_geometry,3101,35,13.594861459732055,13.44593424797058,3.6699179209980515
sp_gc_rio_no_target_geometry,3101,36,13.593619251251221,13.444690179824828,3.6673817329541314
sp_gc_rio_no_target_geometry,3101,37,13.59306025505066,13.444128513336182,3.6674505307454464
sp_gc_rio_no_target_geometry,3101,38,13.591842317581177,13.442912387847901,3.667184174925976
sp_gc_rio_no_target_geometry,3102,1,13.982449531555176,13.833631992340088,3.6831623238710254
sp_gc_rio_no_target_geometry,3102,2,13.928071022033691,13.779238891601562,3.679693581510133
sp_gc_rio_no_target_geometry,3102,3,13.855660533905029,13.706811237335206,3.676155880042822
sp_gc_rio_no_target_geometry,3102,4,13.768207454681397,13.619345903396606,3.6730656361264846
sp_gc_rio_no_target_geometry,3102,5,13.734325885772705,13.585447883605957,3.6674298295797807
sp_gc_rio_no_target_geometry,3102,6,13.697244882583618,13.548354387283325,3.6715992238982738
sp_gc_rio_no_target_geometry,3102,7,13.6778076171875,13.528895902633668,3.668337540121471
sp_gc_rio_no_target_geometry,3102,8,13.66521167755127,13.516303110122681,3.664493840217309
sp_gc_rio_no_target_geometry,3102,9,13.655929660797119,13.50701446533203,3.6687255767612026
sp_gc_rio_no_target_geometry,3102,10,13.647743034362794,13.498825073242188,3.664562295624046
sp_gc_rio_no_target_geometry,3102,11,13.639857769012451,13.49093770980835,3.6684372107995715
sp_gc_rio_no_target_geometry,3102,12,13.635651874542237,13.486729717254638,3.66490501765629
sp_gc_rio_no_target_geometry,3102,13,13.631179523468017,13.482256317138672,3.6653753907367994
sp_gc_rio_no_target_geometry,3102,14,13.63128604888916,13.482360935211181,3.6634989869826566
sp_gc_rio_no_target_geometry,3102,15,13.625226020812988,13.476300191879272,3.665256786872794
sp_gc_rio_no_target_geometry,3102,16,13.621137619018555,13.472214555740356,3.6642866401890553
sp_gc_rio_no_target_geometry,3102,17,13.617832851409911,13.468909549713135,3.6672251605036115
sp_gc_rio_no_target_geometry,3102,18,13.617212677001953,13.46828875541687,3.6641781634873993
sp_gc_rio_no_target_geometry,3102,19,13.615947675704955,13.467019748687743,3.6667101249657827
sp_gc_rio_no_target_geometry,3102,20,13.617515468597412,13.468590307235718,3.6658065417630965
sp_gc_rio_no_target_geometry,3102,21,13.613266468048096,13.464340543746948,3.663619399361863
sp_gc_rio_no_target_geometry,3102,22,13.607831954956055,13.458903884887695,3.665563930980711
sp_gc_rio_no_target_geometry,3102,23,13.606250286102295,13.457324409484864,3.664110032811385
sp_gc_rio_no_target_geometry,3102,24,13.604939699172974,13.45601167678833,3.6619225936041664
sp_gc_rio_no_target_geometry,3102,25,13.603979301452636,13.455049419403077,3.6623252693930013
sp_gc_rio_no_target_geometry,3102,26,13.604807233810424,13.455876350402832,3.664751698443464
sp_gc_rio_no_target_geometry,3102,27,13.601579189300537,13.452648782730103,3.6639544998149844
sp_gc_rio_no_target_geometry,3102,28,13.60122766494751,13.452297496795655,3.6630965358239647
sp_gc_rio_no_target_geometry,3102,29,13.602742671966553,13.45381293296814,3.66276157153927
sp_gc_rio_no_target_geometry,3102,30,13.599737691879273,13.45080633163452,3.6604229093173783
sp_gc_rio_no_target_geometry,3102,31,13.599002695083618,13.450070190429688,3.6646294329994205
sp_gc_rio_no_target_geometry,3102,32,13.597244167327881,13.448311519622802,3.662019670600091
sp_gc_rio_no_target_geometry,3102,33,13.59625244140625,13.447319507598877,3.6625163633695617
sp_gc_rio_no_target_geometry,3102,34,13.595358657836915,13.446424627304078,3.6622434834558786
sp_gc_rio_no_target_geometry,3102,35,13.594309329986572,13.445374965667725,3.6607663754420754
sp_gc_rio_no_target_geometry,3102,36,13.594047546386719,13.445113801956177,3.6626027677836435
sp_gc_rio_no_target_geometry,3102,37,13.59315104484558,13.444215965270995,3.6608043335324245
sp_gc_rio_no_target_geometry,3102,38,13.592477798461914,13.44354248046875,3.6617119948046017
sp_gc_rio_no_target_geometry,3102,39,13.592579650878907,13.44364628791809,3.6605732277653824
sp_gc_rio_no_target_geometry,3102,40,13.592827033996581,13.443892288208009,3.6631128892292595
sp_gc_rio_no_target_geometry,3102,41,13.593698024749756,13.444763946533204,3.6615226674893275
sp_gc_rio_no_target_geometry,3102,42,13.595447397232055,13.446515417098999,3.657986818400405
sp_gc_rio_no_target_geometry,3102,43,13.59347972869873,13.444546842575074,3.661351318797114
sp_gc_rio_no_target_geometry,3102,44,13.594140720367431,13.445207405090333,3.659514431174247
sp_gc_rio_no_target_geometry,3102,45,13.59263710975647,13.443704795837402,3.6608154095201346
sp_gc_rio_no_target_geometry,3102,46,13.59333095550537,13.444396591186523,3.6607078674666704
sp_gc_rio_no_target_geometry,3102,47,13.59288568496704,13.443953609466552,3.661586603997814
sp_gc_rio_no_target_geometry,3102,48,13.592974138259887,13.444041013717651,3.6604198612337884
sp_gc_rio_no_target_geometry,3102,49,13.59361972808838,13.444684410095215,3.66362132591731
sp_gc_rio_no_target_geometry,3102,50,13.593368339538575,13.444434928894044,3.6612981056782536
sp_gc_rio_no_target_geometry,3102,51,13.592194986343383,13.443260860443115,3.6607656800319046
sp_gc_rio_no_target_geometry,3102,52,13.590940475463867,13.442005586624145,3.662100569113452
sp_gc_rio_no_target_geometry,3102,53,13.5901047706604,13.44117021560669,3.6597806123159726
sp_gc_rio_no_target_geometry,3102,54,13.589696550369263,13.440761375427247,3.6621155949492126
sp_gc_rio_no_target_geometry,3102,55,13.58910093307495,13.440166568756103,3.661308553000848
sp_gc_rio_no_target_geometry,3102,56,13.58921422958374,13.440278959274291,3.6611090698426674
sp_gc_rio_no_target_geometry,3102,57,13.58838791847229,13.439451885223388,3.6614777937665632
sp_gc_rio_no_target_geometry,3102,58,13.587925672531128,13.43898959159851,3.661110969672131
sp_gc_rio_no_target_geometry,3102,59,13.587745571136475,13.438809776306153,3.661043262282098
sp_gc_rio_no_target_geometry,3102,60,13.587523412704467,13.43858699798584,3.660269948945535
sp_gc_rio_no_target_geometry,3102,61,13.587474584579468,13.438538551330566,3.6603324145057035
sp_gc_rio_no_target_geometry,3102,62,13.587387084960938,13.438450908660888,3.659906804068078
sp_gc_rio_no_target_geometry,3103,1,13.982389736175538,13.833574247360229,3.6835600454121082
sp_gc_rio_no_target_geometry,3103,2,13.919676113128663,13.770849990844727,3.679678022093748
sp_gc_rio_no_target_geometry,3103,3,13.83347315788269,13.684630155563354,3.6721731247509997
sp_gc_rio_no_target_geometry,3103,4,13.76147780418396,13.6126118183136,3.670246855119185
sp_gc_rio_no_target_geometry,3103,5,13.712061882019043,13.563175678253174,3.6714031773045233
sp_gc_rio_no_target_geometry,3103,6,13.692579698562621,13.543683338165284,3.6701343761444862
sp_gc_rio_no_target_geometry,3103,7,13.669174289703369,13.520262336730957,3.668986121653118
sp_gc_rio_no_target_geometry,3103,8,13.65747618675232,13.508565092086792,3.671640408369619
sp_gc_rio_no_target_geometry,3103,9,13.655990314483642,13.507071399688721,3.6680125832662664
sp_gc_rio_no_target_geometry,3103,10,13.642751502990723,13.493832302093505,3.668045187374459
sp_gc_rio_no_target_geometry,3103,11,13.634855461120605,13.485928726196288,3.671247441720136
sp_gc_rio_no_target_geometry,3103,12,13.630088996887206,13.481164455413818,3.670190626322459
sp_gc_rio_no_target_geometry,3103,13,13.629377508163453,13.480454444885254,3.6696877468533655
sp_gc_rio_no_target_geometry,3103,14,13.628194332122803,13.479267406463624,3.6684928424671557
sp_gc_rio_no_target_geometry,3103,15,13.624274921417236,13.475348472595215,3.670530662113055
sp_gc_rio_no_target_geometry,3103,16,13.620383834838867,13.471454048156739,3.6698375716164473
sp_gc_rio_no_target_geometry,3103,17,13.616297149658203,13.467366266250611,3.6709404341693035
sp_gc_rio_no_target_geometry,3103,18,13.61380558013916,13.46487536430359,3.668543011265812
sp_gc_rio_no_target_geometry,3103,19,13.612187242507934,13.463257074356079,3.667312762853036
sp_gc_rio_no_target_geometry,3103,20,13.609328746795654,13.46039605140686,3.6690966616669485
sp_gc_rio_no_target_geometry,3103,21,13.608510446548461,13.459579992294312,3.6669096026147945
sp_gc_rio_no_target_geometry,3103,22,13.606109809875488,13.457181787490844,3.668270344255256
sp_gc_rio_no_target_geometry,3103,23,13.605158281326293,13.456226205825805,3.663643483788377
sp_gc_rio_no_target_geometry,3103,24,13.605986022949219,13.457054901123048,3.6696064427500197
sp_gc_rio_no_target_geometry,3103,25,13.604188537597656,13.455262708663941,3.66563578960324
sp_gc_rio_no_target_geometry,3103,26,13.604157161712646,13.455228519439697,3.6681649464180586
sp_gc_rio_no_target_geometry,3103,27,13.600114011764527,13.451183557510376,3.6664313990769815
sp_gc_rio_no_target_geometry,3103,28,13.600246715545655,13.451317739486694,3.66552545005627
sp_gc_rio_no_target_geometry,3103,29,13.597586107254028,13.448657751083374,3.6641351137600795
sp_gc_rio_no_target_geometry,3103,30,13.597331237792968,13.448402309417725,3.6661674781801326
sp_gc_rio_no_target_geometry,3103,31,13.596204805374146,13.447273778915406,3.665834729610966
sp_gc_rio_no_target_geometry,3103,32,13.594555187225343,13.445623683929444,3.664960066571119
sp_gc_rio_no_target_geometry,3103,33,13.593772506713867,13.444840717315675,3.667219442316447
sp_gc_rio_no_target_geometry,3103,34,13.594862699508667,13.445931005477906,3.6674217276192165
sp_gc_rio_no_target_geometry,3103,35,13.594744348526001,13.445812892913818,3.666446014354127
sp_gc_rio_no_target_geometry,3103,36,13.595144367218017,13.446214056015014,3.6711952286825147
sp_gc_rio_no_target_geometry,3103,37,13.595647048950195,13.446718311309814,3.6689389000371033
sp_gc_rio_no_target_geometry,3103,38,13.59469108581543,13.445760822296142,3.670281125229442
sp_gc_rio_no_target_geometry,3103,39,13.59396743774414,13.445037412643433,3.6690905674260055
sp_gc_rio_no_target_geometry,3103,40,13.593120288848876,13.444189643859863,3.6654055775596506
sp_gc_rio_no_target_geometry,3103,41,13.593121480941772,13.444190549850465,3.6670652547314844
sp_gc_rio_no_target_geometry,3103,42,13.592256832122803,13.443327808380127,3.6676372890001545
sp_gc_rio_no_target_geometry,3103,43,13.591014671325684,13.442083406448365,3.6655962577763948
sp_gc_rio_correct_target_geometry,3101,1,13.977408313751221,13.828592491149902,3.6834584243798774
sp_gc_rio_correct_target_geometry,3101,2,13.923568677902221,13.774741268157959,3.6810151843575447
sp_gc_rio_correct_target_geometry,3101,3,13.861863946914672,13.71301555633545,3.6786654824297513
sp_gc_rio_correct_target_geometry,3101,4,13.79546103477478,13.646600770950318,3.6766972254759795
sp_gc_rio_correct_target_geometry,3101,5,13.733163738250733,13.584282779693604,3.676090082924269
sp_gc_rio_correct_target_geometry,3101,6,13.681483364105224,13.53259210586548,3.6702387101763088
sp_gc_rio_correct_target_geometry,3101,7,13.643650722503661,13.494745588302612,3.666934183349388
sp_gc_rio_correct_target_geometry,3101,8,13.62028260231018,13.471364784240723,3.6662863412016296
sp_gc_rio_correct_target_geometry,3101,9,13.609310054779053,13.460381889343262,3.6674811139790577
sp_gc_rio_correct_target_geometry,3101,10,13.597853994369506,13.44892601966858,3.671287247509997
sp_gc_rio_correct_target_geometry,3101,11,13.604193830490113,13.455254411697387,3.6655943427944044
sp_gc_rio_correct_target_geometry,3101,12,13.584778022766113,13.435843420028686,3.667079306790146
sp_gc_rio_correct_target_geometry,3101,13,13.575138568878174,13.426198482513428,3.664646884762635
sp_gc_rio_correct_target_geometry,3101,14,13.57546067237854,13.426527118682861,3.6657998883066085
sp_gc_rio_correct_target_geometry,3101,15,13.571040916442872,13.422099399566651,3.6659442182093427
sp_gc_rio_correct_target_geometry,3101,16,13.561861610412597,13.412914657592774,3.670574514447713
sp_gc_rio_correct_target_geometry,3101,17,13.55502986907959,13.406078815460205,3.6673088159834126
sp_gc_rio_correct_target_geometry,3101,18,13.550597667694092,13.40164361000061,3.6681343123602135
sp_gc_rio_correct_target_geometry,3101,19,13.545923852920533,13.39696807861328,3.669812817859238
sp_gc_rio_correct_target_geometry,3101,20,13.542586708068848,13.393624401092529,3.6693187449307363
sp_gc_rio_correct_target_geometry,3101,21,13.54030351638794,13.391341018676759,3.670878350973685
sp_gc_rio_correct_target_geometry,3101,22,13.538201808929443,13.389236545562744,3.670137096295856
sp_gc_rio_correct_target_geometry,3101,23,13.536480379104614,13.387516260147095,3.670116468441897
sp_gc_rio_correct_target_geometry,3101,24,13.534886741638184,13.385923385620117,3.6728627121295103
sp_gc_rio_correct_target_geometry,3101,25,13.535094451904296,13.386129999160767,3.670022829901417
