base_seed,family,source,frame_index,mode,selected_step,relative_change,cancellation_ratio
211,smooth_plume,voxelized_teacher_same_forward_family,0,shift_v,0.05,0.0012099005258963845,95238998236.53952
211,wrinkled_density_interface,voxelized_teacher_same_forward_family,1,yaw,0.025,0.004205509730398214,35995271697.67134
211,wrinkled_density_interface,voxelized_teacher_same_forward_family,1,pitch,0.05,0.0017451038074304684,32868196427.13745
211,wrinkled_density_interface,voxelized_teacher_same_forward_family,1,roll,0.05,0.004224458778959498,55647663595.138084
211,wrinkled_density_interface,voxelized_teacher_same_forward_family,1,shift_u,0.025,0.001461462463171728,53604609080.76755
211,wrinkled_density_interface,voxelized_teacher_same_forward_family,1,shift_v,0.05,0.0027623841410899775,54247101912.18517
211,shock_expansion_pair,voxelized_teacher_same_forward_family,2,yaw,0.025,0.0048424675852191896,26895349433.79706
211,shock_expansion_pair,voxelized_teacher_same_forward_family,2,pitch,0.05,0.0017229432843405058,19765389559.271378
211,shock_expansion_pair,voxelized_teacher_same_forward_family,2,roll,0.025,0.0017626160886720305,20157200178.211357
211,shock_expansion_pair,voxelized_teacher_same_forward_family,2,shift_u,0.025,0.001400982090851677,44244592094.07772
211,shock_expansion_pair,voxelized_teacher_same_forward_family,2,shift_v,0.05,0.001379362273977953,50113026712.220955
307,smooth_plume,estimated_field_from_all_camera_pilot,0,yaw,0.00625,0.002641454192415113,7354281807.0862465
307,smooth_plume,estimated_field_from_all_camera_pilot,0,pitch,0.0125,0.0016252623428690686,8813289340.262978
307,smooth_plume,estimated_field_from_all_camera_pilot,0,roll,0.0125,0.0038770739913904315,10134268622.121584
307,smooth_plume,estimated_field_from_all_camera_pilot,0,shift_u,0.025,0.004234742643597826,51648250778.29999
307,smooth_plume,estimated_field_from_all_camera_pilot,0,shift_v,0.0125,0.0001915873105761028,23712299446.649292
307,wrinkled_density_interface,estimated_field_from_all_camera_pilot,1,yaw,0.00625,0.001799531728903097,9539364912.4387
307,wrinkled_density_interface,estimated_field_from_all_camera_pilot,1,pitch,0.0125,0.0014585203821245133,8690538680.472836
307,wrinkled_density_interface,estimated_field_from_all_camera_pilot,1,roll,0.0125,0.0035044077264792532,12729750267.52275
307,wrinkled_density_interface,estimated_field_from_all_camera_pilot,1,shift_u,0.025,0.004006793885401805,39932731483.82204
307,wrinkled_density_interface,estimated_field_from_all_camera_pilot,1,shift_v,0.0125,0.0013039516532006936,11001354963.909657
307,shock_expansion_pair,estimated_field_from_all_camera_pilot,2,yaw,0.00625,0.0016896638590473672,8802911088.320024
307,shock_expansion_pair,estimated_field_from_all_camera_pilot,2,pitch,0.0125,0.0016028561483041556,8328243430.860763
307,shock_expansion_pair,estimated_field_from_all_camera_pilot,2,roll,0.0125,0.004937737141595388,11490120244.924492
307,shock_expansion_pair,estimated_field_from_all_camera_pilot,2,shift_u,0.025,0.00399146536126885,38526244845.36575
