case_id,case_index,family,active_views,relative_noise,method,edge_tilt_ratio,warm_h1_iterations,correction_iterations,field_relative_l2,gradient_relative_l2,front_top10_f1,weighted_residual_relative_l2,heldout_clean_relative_l2,saved_residual_consistency_relative_l2,forward_calls,adjoint_calls,evaluator_forward_calls,edge_direction_uses,edge_direction_rejections,edge_backtracks,maximum_data_residual_increase,maximum_adjoint_identity_relative_defect,solve_wall_seconds,maximum_resident_set_bytes
dev-9v-multiplume,5,multi_plume,9,0.02,h19_c1_edge_200,2.0,19,1,0.8591403961181641,1.1561520099639893,0.42325296998023987,0.04761938005685806,,4.2544629650365096e-06,20,20,1,1,0,0,0.0,6.123455165152336e-08,0.13522887497674674,375160832
dev-9v-multiplume,5,multi_plume,9,0.02,h19_c1_edge_400,4.0,19,1,0.8590808510780334,1.1554862260818481,0.42325296998023987,0.04815540835261345,,3.858454419969348e-06,20,20,1,1,0,0,0.0,0.0,0.13603854191023856,375160832
dev-9v-multiplume,5,multi_plume,9,0.02,h18_c2_edge_000,0.0,18,2,0.8642382621765137,1.166456699371338,0.4195910692214966,0.04857479780912399,,3.960542017011903e-06,20,20,1,0,0,0,0.0,6.248720296753163e-08,0.13838849996682256,375160832
dev-9v-multiplume,5,multi_plume,9,0.02,h18_c2_edge_100,1.0,18,2,0.8632604479789734,1.1610242128372192,0.41989627480506897,0.049523916095495224,,3.889919753419235e-06,20,20,1,2,0,0,0.0,6.248721007295899e-08,0.14044579199980944,375160832
dev-9v-multiplume,5,multi_plume,9,0.02,h18_c2_edge_200,2.0,18,2,0.8625389933586121,1.157544493675232,0.4211168885231018,0.050049491226673126,,4.097861165064387e-06,20,20,1,2,0,0,0.0,0.0,0.14208966703154147,375177216
dev-9v-multiplume,5,multi_plume,9,0.02,h18_c2_edge_400,4.0,18,2,0.8622208833694458,1.1550559997558594,0.4211168885231018,0.05089152604341507,,3.7512832022912335e-06,20,20,1,2,0,0,0.0,6.676643238279212e-08,0.13895958301145583,375193600
dev-9v-multiplume,5,multi_plume,9,0.02,h16_c4_edge_000,0.0,16,4,0.8723771572113037,1.1757310628890991,0.4119621515274048,0.054772183299064636,,3.3656649520708015e-06,20,20,1,0,0,0,0.0,9.481078677708865e-08,0.14908100001048297,375193600
dev-9v-multiplume,5,multi_plume,9,0.02,h16_c4_edge_100,1.0,16,4,0.8703921437263489,1.1660374402999878,0.41318279504776,0.05607680231332779,,3.358090452820761e-06,20,20,1,4,0,0,0.0,1.6623299359252997e-07,0.16183524997904897,375209984
dev-9v-multiplume,5,multi_plume,9,0.02,h16_c4_edge_200,2.0,16,4,0.8687407374382019,1.1596357822418213,0.4159291982650757,0.05679246038198471,,3.285390903329244e-06,20,20,1,4,0,0,0.0,1.1072556560520752e-07,0.1579637910472229,375209984
dev-9v-multiplume,5,multi_plume,9,0.02,h16_c4_edge_400,4.0,16,4,0.8681432604789734,1.1551647186279297,0.4171498417854309,0.0581916943192482,,3.1414122076967033e-06,20,20,1,4,0,0,0.0,1.194829621908866e-07,0.15848395798821002,375209984
