seed,split,baseline,candidate_mean_relative_l2,baseline_mean_relative_l2,mean_gain_percent,p10_gain_percent,harm_rate_over_1_percent,candidate_mean_gradient_relative_l2,baseline_mean_gradient_relative_l2,candidate_mean_front_f1,baseline_mean_front_f1,acceptance_rate,certificate_violation_rate,forward_calls,adjoint_calls
91,validation,fixed_pg,0.47195276618003845,0.4722757339477539,0.06871531158685684,0.0048076193779706955,0.0,0.5958719253540039,0.5966076254844666,0.7250000238418579,0.7277777791023254,0.0,0.0,4,4
91,validation,projected_bb,0.47195276618003845,0.3878314197063446,-25.414302825927734,-37.81960678100586,1.0,0.5958719253540039,0.5244582891464233,0.7250000238418579,0.7527778148651123,0.0,0.0,4,4
91,validation,fista,0.47195276618003845,0.4330182671546936,-10.45857048034668,-14.82284927368164,1.0,0.5958719253540039,0.5657484531402588,0.7250000238418579,0.7361111640930176,0.0,0.0,4,4
91,independent_select,fixed_pg,0.5086893439292908,0.5096501708030701,0.17229776084423065,-0.24342389404773712,0.08333333333333333,0.6188374161720276,0.619901180267334,0.7669932842254639,0.7669932842254639,0.0,0.0,4,4
91,independent_select,projected_bb,0.5086893439292908,0.43904587626457214,-18.906896591186523,-32.37141418457031,1.0,0.6188374161720276,0.5503864884376526,0.7669932842254639,0.8024100661277771,0.0,0.0,4,4
91,independent_select,fista,0.5086893439292908,0.47534671425819397,-7.988585948944092,-13.438924789428711,0.9583333333333334,0.6188374161720276,0.5878393650054932,0.7669932842254639,0.7794933319091797,0.0,0.0,4,4
92,validation,fixed_pg,0.47195276618003845,0.4722757339477539,0.06871531158685684,0.0048076193779706955,0.0,0.5958719253540039,0.5966076254844666,0.7250000238418579,0.7277777791023254,0.0,0.0,4,4
92,validation,projected_bb,0.47195276618003845,0.3878314197063446,-25.414302825927734,-37.81960678100586,1.0,0.5958719253540039,0.5244582891464233,0.7250000238418579,0.7527778148651123,0.0,0.0,4,4
92,validation,fista,0.47195276618003845,0.4330182671546936,-10.45857048034668,-14.82284927368164,1.0,0.5958719253540039,0.5657484531402588,0.7250000238418579,0.7361111640930176,0.0,0.0,4,4
92,independent_select,fixed_pg,0.5086893439292908,0.5096501708030701,0.17229776084423065,-0.24342389404773712,0.08333333333333333,0.6188374161720276,0.619901180267334,0.7669932842254639,0.7669932842254639,0.0,0.0,4,4
92,independent_select,projected_bb,0.5086893439292908,0.43904587626457214,-18.906896591186523,-32.37141418457031,1.0,0.6188374161720276,0.5503864884376526,0.7669932842254639,0.8024100661277771,0.0,0.0,4,4
92,independent_select,fista,0.5086893439292908,0.47534671425819397,-7.988585948944092,-13.438924789428711,0.9583333333333334,0.6188374161720276,0.5878393650054932,0.7669932842254639,0.7794933319091797,0.0,0.0,4,4
93,validation,fixed_pg,0.47195276618003845,0.4722757339477539,0.06871531158685684,0.0048076193779706955,0.0,0.5958719253540039,0.5966076254844666,0.7250000238418579,0.7277777791023254,0.0,0.0,4,4
93,validation,projected_bb,0.47195276618003845,0.3878314197063446,-25.414302825927734,-37.81960678100586,1.0,0.5958719253540039,0.5244582891464233,0.7250000238418579,0.7527778148651123,0.0,0.0,4,4
93,validation,fista,0.47195276618003845,0.4330182671546936,-10.45857048034668,-14.82284927368164,1.0,0.5958719253540039,0.5657484531402588,0.7250000238418579,0.7361111640930176,0.0,0.0,4,4
93,independent_select,fixed_pg,0.5086893439292908,0.5096501708030701,0.17229776084423065,-0.24342389404773712,0.08333333333333333,0.6188374161720276,0.619901180267334,0.7669932842254639,0.7669932842254639,0.0,0.0,4,4
93,independent_select,projected_bb,0.5086893439292908,0.43904587626457214,-18.906896591186523,-32.37141418457031,1.0,0.6188374161720276,0.5503864884376526,0.7669932842254639,0.8024100661277771,0.0,0.0,4,4
93,independent_select,fista,0.5086893439292908,0.47534671425819397,-7.988585948944092,-13.438924789428711,0.9583333333333334,0.6188374161720276,0.5878393650054932,0.7669932842254639,0.7794933319091797,0.0,0.0,4,4
91,independent_lock,fixed_pg,0.49873587489128113,0.49932029843330383,0.0964251235127449,-0.7100287675857544,0.0625,0.623328685760498,0.6241087913513184,0.7581409811973572,0.7581409811973572,0.0,0.0,4,4
91,independent_lock,projected_bb,0.49873587489128113,0.43061211705207825,-17.902925491333008,-31.423980712890625,1.0,0.623328685760498,0.5611611008644104,0.7581409811973572,0.7676284909248352,0.0,0.0,4,4
91,independent_lock,fista,0.49873587489128113,0.4654596447944641,-7.891533851623535,-12.897789001464844,1.0,0.623328685760498,0.5946069955825806,0.7581409811973572,0.7629410028457642,0.0,0.0,4,4
92,independent_lock,fixed_pg,0.49873587489128113,0.49932029843330383,0.0964251235127449,-0.7100287675857544,0.0625,0.623328685760498,0.6241087913513184,0.7581409811973572,0.7581409811973572,0.0,0.0,4,4
92,independent_lock,projected_bb,0.49873587489128113,0.43061211705207825,-17.902925491333008,-31.423980712890625,1.0,0.623328685760498,0.5611611008644104,0.7581409811973572,0.7676284909248352,0.0,0.0,4,4
92,independent_lock,fista,0.49873587489128113,0.4654596447944641,-7.891533851623535,-12.897789001464844,1.0,0.623328685760498,0.5946069955825806,0.7581409811973572,0.7629410028457642,0.0,0.0,4,4
93,independent_lock,fixed_pg,0.49873587489128113,0.49932029843330383,0.0964251235127449,-0.7100287675857544,0.0625,0.623328685760498,0.6241087913513184,0.7581409811973572,0.7581409811973572,0.0,0.0,4,4
93,independent_lock,projected_bb,0.49873587489128113,0.43061211705207825,-17.902925491333008,-31.423980712890625,1.0,0.623328685760498,0.5611611008644104,0.7581409811973572,0.7676284909248352,0.0,0.0,4,4
93,independent_lock,fista,0.49873587489128113,0.4654596447944641,-7.891533851623535,-12.897789001464844,1.0,0.623328685760498,0.5946069955825806,0.7581409811973572,0.7629410028457642,0.0,0.0,4,4
