seed,split,sample_index,geometry_id,active_views,acceptance_gate,candidate_alpha,correction_ratio,candidate_bound,fallback_bound,certificate_violation,candidate_relative_l2,candidate_gradient_relative_l2,candidate_front_f1,candidate_whitened_residual_rms,fixed_pg_relative_l2,fixed_pg_gradient_relative_l2,fixed_pg_front_f1,fixed_pg_whitened_residual_rms,projected_bb_relative_l2,projected_bb_gradient_relative_l2,projected_bb_front_f1,projected_bb_whitened_residual_rms,fista_relative_l2,fista_gradient_relative_l2,fista_front_f1,fista_whitened_residual_rms,gain_vs_fixed_pg_percent,gain_vs_projected_bb_percent,gain_vs_fista_percent
91,validation,0,analytic_1001101,4,0.0,0.9860124588012695,1.4283640384674072,-1483.6787109375,-3409.232421875,False,0.5011610388755798,0.5692229866981506,0.75,13.938227653503418,0.5012604594230652,0.5693812966346741,0.75,13.93671703338623,0.3667161762714386,0.44830361008644104,0.8999999761581421,9.28460693359375,0.4449819028377533,0.5202050805091858,0.8000000715255737,11.930550575256348,0.019834108650684357,-36.66183090209961,-12.625039100646973
91,validation,1,analytic_1001111,5,0.0,0.976568877696991,1.2171932458877563,-489.93408203125,-1104.0865478515625,False,0.5856384634971619,0.718656063079834,0.75,7.030296802520752,0.5859706401824951,0.7191836833953857,0.75,7.030180931091309,0.480918288230896,0.6294413805007935,0.8500000238418579,4.866076946258545,0.5410194396972656,0.6829760074615479,0.8000000715255737,6.050286293029785,0.05668828263878822,-21.77504539489746,-8.247213363647461
91,validation,2,analytic_0101101,4,0.0,0.9480565786361694,1.0136206150054932,-640.05419921875,-1414.911376953125,False,0.20311255753040314,0.27476266026496887,0.8999999761581421,4.977106094360352,0.20293086767196655,0.2743757963180542,0.8999999761581421,4.973194599151611,0.12236990034580231,0.21814528107643127,0.8500000238418579,1.9990893602371216,0.15588778257369995,0.24421070516109467,0.8500000238418579,3.178969144821167,-0.08953288197517395,-65.9824447631836,-30.294082641601562
91,validation,3,analytic_1111001,5,0.0,0.9058617353439331,1.6729732751846313,-570.673828125,-1240.005615234375,False,0.7587267160415649,0.8542957305908203,0.6499999761581421,7.797361373901367,0.7588901519775391,0.85444176197052,0.6499999761581421,7.797030925750732,0.7082836627960205,0.8156141042709351,0.6499999761581421,5.944140911102295,0.7372867465019226,0.8388925790786743,0.6499999761581421,6.879267692565918,0.02153617888689041,-7.121871471405029,-2.9079554080963135
91,validation,4,analytic_1111000,4,0.0,0.9100102782249451,0.9348625540733337,-1361.44970703125,-3016.923583984375,False,0.3472139537334442,0.46070733666419983,0.75,8.262749671936035,0.3478914797306061,0.4624425172805786,0.75,8.22230052947998,0.2847578227519989,0.4195656478404999,0.75,4.241705417633057,0.3135165274143219,0.44100138545036316,0.75,5.90377950668335,0.19475211203098297,-21.933069229125977,-10.748213768005371
91,validation,5,analytic_1001111,5,0.0,0.9619423747062683,1.126948356628418,-497.4501953125,-1103.33837890625,False,0.5567336678504944,0.6901981234550476,0.6499999761581421,7.011031150817871,0.556851327419281,0.6903051137924194,0.6499999761581421,7.012557506561279,0.44649842381477356,0.5945714116096497,0.75,4.823688507080078,0.5099458694458008,0.6517835855484009,0.699999988079071,6.03112268447876,0.021129440516233444,-24.688831329345703,-9.17505168914795
91,validation,6,analytic_1100110,4,0.0,0.9134758114814758,1.7303544282913208,-1170.72998046875,-2626.260498046875,False,0.388974130153656,0.515462338924408,0.8000000715255737,7.866676330566406,0.388954758644104,0.5155742764472961,0.8000000715255737,7.843954086303711,0.34487372636795044,0.48261651396751404,0.8000000715255737,4.730623722076416,0.36604589223861694,0.5006473064422607,0.8000000715255737,5.928538799285889,-0.00498040160164237,-12.787405967712402,-6.263760566711426
91,validation,7,analytic_1111010,5,0.0,0.9325997829437256,1.4015676975250244,-487.40380859375,-1125.9818115234375,False,0.4988335967063904,0.6439364552497864,0.6499999761581421,5.981342315673828,0.499046266078949,0.6443014740943909,0.6499999761581421,5.979291915893555,0.4170001745223999,0.5672177076339722,0.6499999761581421,3.944148302078247,0.46137407422065735,0.6116346716880798,0.6499999761581421,4.944812297821045,0.04261516034603119,-19.624313354492188,-8.119121551513672
91,validation,8,analytic_0111100,4,0.0,0.9564688205718994,1.125726342201233,-794.81494140625,-1760.826171875,False,0.36791321635246277,0.4650038182735443,0.8500000238418579,7.633607864379883,0.3684366047382355,0.4657292366027832,0.8999999761581421,7.638724327087402,0.26737046241760254,0.3661155700683594,0.8999999761581421,4.423544883728027,0.32064294815063477,0.42195653915405273,0.8999999761581421,6.0280985832214355,0.14205656945705414,-37.604286193847656,-14.742339134216309
91,validation,9,analytic_1111001,5,0.0,0.9392690658569336,1.3032124042510986,-504.984375,-1133.567138671875,False,0.6119298934936523,0.7987363338470459,0.6499999761581421,5.846502304077148,0.612820029258728,0.8000102043151855,0.6499999761581421,5.831904411315918,0.556290328502655,0.7635096907615662,0.699999988079071,3.827420711517334,0.5856031179428101,0.7840396165847778,0.6499999761581421,4.7743377685546875,0.14525239169597626,-10.001893043518066,-4.495668411254883
