method,method_label,source_split,pair_index,source_index,sample_seed,geometry_id,geometry_partition,family_id,noise_level,field_rel_l2,audit_reprojection_rel_l2,used_noisy_reprojection_rel_l2,used_clean_reprojection_rel_l2,correction_vs_feasible_relative_l2,outside_support_relative_l2,negative_voxel_fraction
feasible_fno,FNO + hard support,val_tune,29,167,30360828,g_101011110,validation,1,0.05,0.27280204840674543,0.4659551436688205,0.12397068047117409,0.1216325280603472,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_tune,30,167,30360828,g_111001110,validation,1,0.05,0.49956894100004867,0.7152429825971393,0.2562996833678696,0.2563596296795245,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_tune,31,167,30360828,g_111010110,validation,1,0.05,0.3022250964157011,0.4745859403994611,0.17113075828114685,0.17142923034640226,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_tune,32,166,30360827,g_011010111,validation,1,0.02,0.24685996952375908,0.32561731950332,0.14485545303241468,0.14299579129176973,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_tune,33,166,30360827,g_101011110,validation,1,0.02,0.22563032524100096,0.3094047873072798,0.1014940528753975,0.10095704668576505,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_tune,34,166,30360827,g_111001110,validation,1,0.02,0.5741209615679825,0.6796914222134353,0.27293977250680596,0.27292604833641537,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_tune,35,166,30360827,g_111010110,validation,1,0.02,0.24531384163199016,0.3152870955872259,0.13816504268218094,0.1372280526388405,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_lock,36,169,30360830,g_011010111,validation,1,0.05,0.3789565397937263,0.45924142528857886,0.19111747321112438,0.188536985823359,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_lock,37,169,30360830,g_101011110,validation,1,0.05,0.2445800369144026,0.36141547349238906,0.12587745717066529,0.12330943416532078,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_lock,38,169,30360830,g_111001110,validation,1,0.05,0.5029684907984605,0.5956523541296634,0.23574147549378696,0.23058637392749123,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_lock,39,169,30360830,g_111010110,validation,1,0.05,0.38046425383687077,0.4550645970322635,0.186498559739201,0.1849784829352953,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_tune,40,197,30360858,g_011010111,validation,0,0.05,0.1510716921149586,0.16185716504055567,0.148178494188836,0.14688743251932196,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_tune,41,197,30360858,g_101011110,validation,0,0.05,0.08364248707880227,0.09263819734677277,0.08115708316866906,0.0753844331472782,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_tune,42,197,30360858,g_111001110,validation,0,0.05,0.22610333295419868,0.4033852656058155,0.15533339642544655,0.15077503039161963,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_tune,43,197,30360858,g_111010110,validation,0,0.05,0.14602602263060124,0.16816502488940754,0.13728313732452285,0.1342066061404361,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_tune,44,176,30360837,g_011010111,validation,0,0.02,0.20471231596920259,0.21671136081567574,0.20759259139516265,0.20707397773058187,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_tune,45,176,30360837,g_101011110,validation,0,0.02,0.1313004812560783,0.1447395612695002,0.116337568133566,0.11566884336955563,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_tune,46,176,30360837,g_111001110,validation,0,0.02,0.20028394329330043,0.3663282819369151,0.16700480963770625,0.16700380645312518,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_tune,47,176,30360837,g_111010110,validation,0,0.02,0.17754530635729163,0.18832370339806095,0.16473119388146562,0.16428861483729762,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_tune,48,186,30360847,g_011010111,validation,0,0.02,0.15527586692440778,0.14417903677705193,0.16302376547049682,0.1619590603302051,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_tune,49,186,30360847,g_101011110,validation,0,0.02,0.10564003638028775,0.09903845555347986,0.11307196271352306,0.11310449975286722,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_tune,50,186,30360847,g_111001110,validation,0,0.02,0.18115714532254984,0.2760244205626924,0.15007970658174616,0.1497112675034905,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_tune,51,186,30360847,g_111010110,validation,0,0.02,0.13993982878120476,0.13733019954601122,0.14321516665808864,0.1429653384662344,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_lock,52,165,30360826,g_011010111,validation,0,0.05,0.21065555953937412,0.19725730868357558,0.21661906574967693,0.21579037765853493,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_lock,53,165,30360826,g_101011110,validation,0,0.05,0.14103000666714335,0.12120091486886655,0.15006832875130013,0.15062350590108148,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_lock,54,165,30360826,g_111001110,validation,0,0.05,0.17577802579703142,0.2051184217816024,0.16756945427441558,0.16838036905727338,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_lock,55,165,30360826,g_111010110,validation,0,0.05,0.16766004739614676,0.15177491661673284,0.16713236170665083,0.16751462969500952,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_tune,56,199,30360860,g_011010111,validation,0,0.05,0.2173303261967652,0.2135482186592526,0.20720224773964607,0.20672051606977973,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_tune,57,199,30360860,g_101011110,validation,0,0.05,0.12903063405487444,0.10820277388501119,0.1299599221609274,0.1276609165372695,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_tune,58,199,30360860,g_111001110,validation,0,0.05,0.24609748773587747,0.3717017350550437,0.20722096887177277,0.2053174553674608,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_tune,59,199,30360860,g_111010110,validation,0,0.05,0.19276760472408308,0.1888795134095196,0.17871531688500292,0.1769645452609928,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_lock,60,193,30360854,g_011010111,validation,1,0.05,0.23582840426281762,0.28176086641293197,0.1506296934095575,0.14309122810646951,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_lock,61,193,30360854,g_101011110,validation,1,0.05,0.19798573250987944,0.25441762135473106,0.11064764125970321,0.10664520938930103,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_lock,62,193,30360854,g_111001110,validation,1,0.05,0.567147314395408,0.6680360206336036,0.25037830227337965,0.24718450214043983,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_lock,63,193,30360854,g_111010110,validation,1,0.05,0.23644906154383782,0.27009021962705904,0.15042910679739566,0.1434886814663656,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_lock,64,170,30360831,g_011010111,validation,1,0.02,0.2809000944931075,0.4685865004548176,0.19536348530576705,0.19540456100061757,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_lock,65,170,30360831,g_101011110,validation,1,0.02,0.1789740002868984,0.3776583717502711,0.11822311725384733,0.11757849797930948,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_lock,66,170,30360831,g_111001110,validation,1,0.02,0.3765005424073649,0.6155141257185263,0.19271353092510254,0.1923352285128839,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_lock,67,170,30360831,g_111010110,validation,1,0.02,0.2856794873248626,0.47459867951753054,0.19574085635131036,0.19601014061437363,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_tune,68,185,30360846,g_011010111,validation,0,0.05,0.13081759415849048,0.1160188599286491,0.1418721935685024,0.13612420979115925,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_tune,69,185,30360846,g_101011110,validation,0,0.05,0.1333148331318868,0.1373110567238597,0.14094911697121124,0.13407357105740123,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_tune,70,185,30360846,g_111001110,validation,0,0.05,0.1770293156819386,0.2647278162557351,0.16953431884734124,0.1618210123806789,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_tune,71,185,30360846,g_111010110,validation,0,0.05,0.13312006884671976,0.11015212706433394,0.15030789959530164,0.14267851865212863,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_tune,72,183,30360844,g_011010111,validation,1,0.05,0.27388799185759677,0.38903791374466135,0.20890324238340485,0.2039928179225008,0.0,0.0,0.0
feasible_fno,FNO + hard support,val_tune,73,183,30360844,g_101011110,validation,1,0.05,0.1792753419757256,0.318328295896769,0.11878139171121335,0.112861412144164,0.0,0.0,0.0
