source_split,candidate,comparator,independent_field_count,mean_field_gain_pct,field_cluster_ci95_low_pct,field_cluster_ci95_high_pct,median_field_gain_pct,p10_field_gain_pct,positive_field_fraction,harm_rate_gt_1pct,mean_audit_gain_pct,audit_cluster_ci95_low_pct,audit_cluster_ci95_high_pct
test_joint_ood,fno_pbb_truth_oracle,fno_geometry,32,12.285063966094143,11.43778679084722,13.120651350637864,12.517763718700191,8.601670093345074,1.0,0.0,16.37351119056985,15.09357569043555,17.660445716664928
test_joint_ood,fno_pbb_discrepancy,fno_pbb_fixed64,32,-0.3820644583774274,-0.9370236262511067,-0.026447314904487273,0.0,-0.7616826692492333,0.0,0.09375,-0.6993743191127002,-1.8497420431443683,-0.024576773326447917
test_joint_ood,fno_pbb_camera_discrepancy,fno_pbb_fixed64,32,-0.36999713737616263,-0.9125940773341585,-0.026447314904487273,0.0,-0.7616826692492333,0.0,0.09375,-0.6732127349762054,-1.755930259610627,-0.024576773326447917
test_joint_ood,fno_pbb_ncp,fno_pbb_fixed64,32,-12.099396722406752,-16.541879692128383,-7.946643961030833,-8.77623783941989,-27.721184752974256,0.0,0.65625,-16.90245488997391,-23.742473605118406,-10.660902071718466
test_joint_ood,fno_pbb_hybrid,fno_pbb_fixed64,32,-0.36999713737616263,-0.8912460193849115,-0.026447314904487273,0.0,-0.7616826692492333,0.0,0.09375,-0.6732127349762054,-1.7756262410659045,-0.024576773326447917
test_joint_ood,fno_pbb_generator_sigma,fno_pbb_fixed64,32,-0.4908043486943044,-1.1336257282601068,-0.03803528119480158,0.0,-0.6049834526296014,0.0,0.09375,-0.8668992186856852,-2.19503673356917,-0.03445889801181486
test_joint_ood,fno_pbb_truth_oracle,fno_pbb_fixed64,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_noise_ood,fno_pbb_fixed64,fno_geometry,32,-11.561051611929628,-15.897651953846255,-7.057282751908705,-17.859189407835267,-25.01972503779336,0.28125,0.625,-2.695517470312976,-8.043857802714777,2.5970834006996313
test_noise_ood,fno_pbb_discrepancy,fno_geometry,32,7.096517297274976,4.703452083827266,9.586678795240314,6.487484096086328,-1.115911756041056,0.8125,0.125,2.518050167977194,-0.25439718027065805,5.246048896292534
test_noise_ood,fno_pbb_camera_discrepancy,fno_geometry,32,7.0638574818552025,4.608675358596712,9.595366680179355,6.487484096086328,-1.2415137342977118,0.8125,0.15625,2.5367769542144707,-0.16632771601805182,5.259143480694729
test_noise_ood,fno_pbb_ncp,fno_geometry,32,-6.926606252621404,-11.198209196820384,-2.7319850282766036,-4.587222625569328,-24.527712514964406,0.34375,0.5625,-6.151787103755506,-11.085825550365792,-1.3237128346415965
test_noise_ood,fno_pbb_hybrid,fno_geometry,32,6.952158146410269,4.574282923631757,9.399673083141243,6.487484096086328,-1.2415137342977118,0.8125,0.15625,2.4524425886541046,-0.2714424919608398,5.225862832863228
test_noise_ood,fno_pbb_generator_sigma,fno_geometry,32,6.926879745959242,4.500105120183061,9.489595601604607,5.838357434913619,-2.1438341674060006,0.8125,0.15625,4.718808444583416,2.0818412627238407,7.3850951385903745
test_noise_ood,fno_pbb_truth_oracle,fno_geometry,32,10.898561576927115,8.785487217846457,13.076090528380883,10.757100385582577,3.4260087697632224,1.0,0.0,6.702723383475874,4.588097014494758,8.798280910383983
test_noise_ood,fno_pbb_discrepancy,fno_pbb_fixed64,32,15.094243646172346,9.815144619845151,20.24674473276179,16.418453254537226,-3.9675698333729343,0.78125,0.1875,2.7559753420317104,-3.352954061341412,8.531147072491699
test_noise_ood,fno_pbb_camera_discrepancy,fno_pbb_fixed64,32,15.06198686709232,9.953083189958791,20.189886989607004,16.418453254537226,-3.9675698333729343,0.75,0.1875,2.7793571326268824,-3.2525654955943835,8.699789320543067
test_noise_ood,fno_pbb_ncp,fno_pbb_fixed64,32,3.58818370336647,0.450458801295646,7.177341663963531,0.0,-5.140588851141389,0.34375,0.21875,-4.594395141577569,-10.111037197692747,0.2529781042545957
test_noise_ood,fno_pbb_hybrid,fno_pbb_fixed64,32,14.97088166972007,9.645296905516755,20.10396110057232,16.418453254537226,-3.9675698333729343,0.75,0.1875,2.7024031314192363,-3.465827992667923,8.628531784328235
test_noise_ood,fno_pbb_generator_sigma,fno_pbb_fixed64,32,14.95727222032125,9.876619521631998,20.062918469096374,18.924324068660933,-1.9792332065276204,0.75,0.15625,5.22257929231324,-0.04577219819431222,10.421324107024725
test_noise_ood,fno_pbb_truth_oracle,fno_pbb_fixed64,32,18.469773588249932,13.475839339698075,23.45938452734616,23.392395318492436,0.1273361448349235,0.9375,0.0,7.227359422165786,2.697492997258069,11.976667843113448
val_lock,fno_pbb_fixed64,fno_geometry,16,0.40876500236814817,-5.319750638041259,5.65912980047173,1.6372093342533942,-16.46819331368187,0.625,0.375,4.825172322500162,-1.19264254563615,10.390345632859233
val_lock,fno_pbb_discrepancy,fno_geometry,16,4.343660756926227,1.9634218009159705,6.782925360327824,3.9297283231622413,-1.9313422195101442,0.75,0.1875,3.882339227644422,-0.2929506161833761,7.879380411235137
val_lock,fno_pbb_camera_discrepancy,fno_geometry,16,4.343660756926227,1.9598563889573326,6.848719096460313,3.9297283231622413,-1.9313422195101442,0.75,0.1875,3.882339227644422,-0.3564298894839516,7.849832528655888
val_lock,fno_pbb_ncp,fno_geometry,16,1.0907713644332304,-4.330839417182786,6.068690152825976,3.6168463329884744,-16.46819331368187,0.5625,0.4375,2.895987240894497,-3.397394122514638,8.983865289564243
val_lock,fno_pbb_hybrid,fno_geometry,16,4.343660756926227,1.9046270809523356,6.812846190825594,3.9297283231622413,-1.9313422195101442,0.75,0.1875,3.882339227644422,-0.2702394928893895,7.8908427282679705
