source_split,geometry_id,candidate,comparator,source_field_count,mean_field_gain_pct,minimum_field_gain_pct,positive_field_fraction,harm_rate_gt_1pct,mean_audit_gain_pct
test_family_ood,g_100011111,fno_pbb_discrepancy,fno_geometry,32,15.350682997991907,9.299632610604833,1.0,0.0,19.11234367007891
test_family_ood,g_110001111,fno_pbb_discrepancy,fno_geometry,32,13.688498986747021,10.010678393668863,1.0,0.0,16.549317759397344
test_family_ood,g_111000111,fno_pbb_discrepancy,fno_geometry,32,12.973567050100453,6.465082158743644,1.0,0.0,17.5148199325638
test_family_ood,g_111010011,fno_pbb_discrepancy,fno_geometry,32,17.80668502571764,11.571764953557429,1.0,0.0,20.578755480192186
test_iid,g_010011111,fno_pbb_discrepancy,fno_geometry,32,1.7709085218219984,-10.078944681705305,0.5,0.40625,-0.6261461453528774
test_iid,g_011011101,fno_pbb_discrepancy,fno_geometry,32,3.9398114730566687,-10.002736919503702,0.6875,0.25,1.296840009846674
test_iid,g_111001101,fno_pbb_discrepancy,fno_geometry,32,7.347113874975777,-6.019457119940282,0.875,0.09375,12.458633408424706
test_iid,g_111011010,fno_pbb_discrepancy,fno_geometry,32,5.0203727191826175,-4.2673157246213504,0.75,0.0625,8.069883710928714
test_joint_ood,g_100011111,fno_pbb_discrepancy,fno_geometry,32,12.930497911289944,7.0719389886906665,1.0,0.0,17.699836081888137
test_joint_ood,g_110001111,fno_pbb_discrepancy,fno_geometry,32,10.92836684759433,5.696269213743298,1.0,0.0,14.06061046295962
test_joint_ood,g_111000111,fno_pbb_discrepancy,fno_geometry,32,10.003024949009406,-0.47675410284694375,0.96875,0.0,14.79351496735206
test_joint_ood,g_111010011,fno_pbb_discrepancy,fno_geometry,32,14.358915369934856,6.437011391680973,1.0,0.0,17.677501578055676
test_noise_ood,g_010011111,fno_pbb_discrepancy,fno_geometry,32,7.59154562058861,-14.712184937386672,0.5625,0.375,-1.6178429503173466
test_noise_ood,g_011011101,fno_pbb_discrepancy,fno_geometry,32,11.895830947901679,-8.37323684374471,0.6875,0.25,4.856534726196317
test_noise_ood,g_111001101,fno_pbb_discrepancy,fno_geometry,32,3.0527820016625062,-25.146567314659308,0.84375,0.15625,2.7946867435802125
test_noise_ood,g_111011010,fno_pbb_discrepancy,fno_geometry,32,4.629829394250404,-25.306149708282682,0.78125,0.21875,4.647332172108719
val_lock,g_011010111,fno_pbb_discrepancy,fno_geometry,16,5.232684221499987,-4.857391991271654,0.6875,0.25,3.6026214895469386
val_lock,g_101011110,fno_pbb_discrepancy,fno_geometry,16,-0.05904352418879277,-9.114592331823937,0.5,0.4375,-0.9310455511762656
val_lock,g_111001110,fno_pbb_discrepancy,fno_geometry,16,4.118695776158409,-7.834955744831449,0.625,0.1875,5.6002772575074085
val_lock,g_111010110,fno_pbb_discrepancy,fno_geometry,16,5.548172984753567,-2.1809776725793775,0.75,0.25,5.474798669536585
val_tune,g_011010111,fno_pbb_discrepancy,fno_geometry,24,5.425047444738141,-2.037859199043697,0.875,0.041666666666666664,7.840178086051519
val_tune,g_101011110,fno_pbb_discrepancy,fno_geometry,24,1.70320460606119,-12.410081332076478,0.75,0.20833333333333334,0.48455593773312655
val_tune,g_111001110,fno_pbb_discrepancy,fno_geometry,24,6.882670025999495,-0.6672580790694898,0.7916666666666666,0.0,11.392851125995676
val_tune,g_111010110,fno_pbb_discrepancy,fno_geometry,24,4.917345460358835,-4.2266827077982425,0.75,0.125,7.867972910319871
