source_split,method,method_label,source_index,sample_seed,pair_index,geometry_id,noise_level,stop_iteration,last_residual_check_iteration,forced_cap,a_calls,at_calls,total_operator_calls,discrepancy_pooled_at_last_check,discrepancy_camera_max_at_last_check,ncp_camera_mean_at_last_check,ncp_camera_max_at_last_check,deployable_input_only,oracle,decision_input,audit_execution_precomputed_full_path
val_tune,fno_pbb_fixed64,FNO + fixed PBB-64,180,30360841,0,g_011010111,0.02,64,63,1,64,64,128,0.7287729156675616,0.8014814952290027,0.2103029078529571,0.3451688154913056,True,False,fixed cap,True
val_tune,fno_pbb_fixed64,FNO + fixed PBB-64,180,30360841,1,g_101011110,0.02,64,63,1,64,64,128,0.6409766756691126,0.6865185667150943,0.20665329601786442,0.26913134899847835,True,False,fixed cap,True
val_tune,fno_pbb_fixed64,FNO + fixed PBB-64,180,30360841,2,g_111001110,0.02,64,63,1,64,64,128,0.9902870313524581,1.12347429917309,0.2619861705875011,0.38960554485420185,True,False,fixed cap,True
val_tune,fno_pbb_fixed64,FNO + fixed PBB-64,180,30360841,3,g_111010110,0.02,64,63,1,64,64,128,0.7890991703690299,0.8508440673241918,0.24763489434890998,0.39099792776449727,True,False,fixed cap,True
val_lock,fno_pbb_fixed64,FNO + fixed PBB-64,171,30360832,4,g_011010111,0.05,64,63,1,64,64,128,0.7026422473852114,0.8618012628746076,0.14166242876755897,0.2462551255842682,True,False,fixed cap,True
val_lock,fno_pbb_fixed64,FNO + fixed PBB-64,171,30360832,5,g_101011110,0.05,64,63,1,64,64,128,0.5938140040650468,0.6894617938956474,0.1586209239750017,0.25828387341586145,True,False,fixed cap,True
val_lock,fno_pbb_fixed64,FNO + fixed PBB-64,171,30360832,6,g_111001110,0.05,64,63,1,64,64,128,0.6499543765410456,0.7587893039623864,0.1430175348999071,0.2570553954612085,True,False,fixed cap,True
val_lock,fno_pbb_fixed64,FNO + fixed PBB-64,171,30360832,7,g_111010110,0.05,64,63,1,64,64,128,0.7309853108657463,0.8397429060786221,0.15415265970049863,0.2675752323044269,True,False,fixed cap,True
val_lock,fno_pbb_fixed64,FNO + fixed PBB-64,160,30360821,8,g_011010111,0.02,64,63,1,64,64,128,0.5961782686957887,0.6703091636339564,0.16304052002754285,0.29253882667249054,True,False,fixed cap,True
val_lock,fno_pbb_fixed64,FNO + fixed PBB-64,160,30360821,9,g_101011110,0.02,64,63,1,64,64,128,0.6189063840251664,0.668280139821249,0.13155618931768873,0.20488663162423731,True,False,fixed cap,True
val_lock,fno_pbb_fixed64,FNO + fixed PBB-64,160,30360821,10,g_111001110,0.02,64,63,1,64,64,128,0.6329329664713762,0.6641871892352821,0.13762899014212715,0.1933844389113214,True,False,fixed cap,True
